Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,64,21,156,0.276,58,2,13,75,5,2,6,2,71.0,6,South Dakota,255.32,257.53,104.68,97.12,673.42,728.53,0.53,0.53,344.54,275.6,37.91,34.5,55.36,48.82,309.53,389.93,29.79,35.5,19.18,11.1,74.0,76.75,15.0,18.3,374.81,335.22,11.91,15.88
0,5,83/,28,214/,0.257,74,2,12,88,1,0,14,7,92.0/,1,Tulsa,255.32,306.88,104.68,129.31,673.42,920.75,0.53,0.46,344.54,354.77,37.91,38.4,55.36,60.55,309.53,487.79,29.79,28.0,19.18,13.64,74.0,119.7,15.0,13.31,374.81,431.61,11.91,19.44
1,3,42,18,108,0.222,37,5,9,46,1,1,8,1,52.0,2,Samford,255.32,296.76,104.68,116.47,673.42,797.71,0.53,0.71,344.54,334.57,37.91,34.58,55.36,57.64,309.53,375.8,29.79,43.78,19.18,13.1,74.0,110.36,15.0,17.0,374.81,387.38,11.91,17.12
1,5,56,27,151,0.192,48,5,7,57,5,5,8,1,70.0,7/,Virginia Tech,255.32,214.1,104.68,88.65,673.42,596.9,0.53,0.55,344.54,233.47,37.91,27.29,55.36,43.18,309.53,273.37,29.79,39.0,19.18,13.15,74.0,77.14,15.0,13.0,374.81,298.61,11.91,15.3
0,5,69,25,162,0.272,64,7,12,48,1,2,14,6,85.0,0,Florida St.,255.32,327.0,104.68,130.73,673.42,871.53,0.53,0.51,344.54,329.21,37.91,28.23,55.36,40.38,309.53,390.64,29.79,36.1,19.18,19.1,74.0,134.64,15.0,12.23,374.81,443.11,11.91,13.8
1,4,64,26,149,0.255,58,2,3,64,4,2,14,2,75.0,0,Temple,255.32,312.4,104.68,121.33,673.42,822.93,0.53,0.6,344.54,314.07,37.91,34.25,55.36,55.17,309.53,364.93,29.79,42.67,19.18,12.5,74.0,87.92,15.0,11.08,374.81,415.61,11.91,10.78
1,4,47,17,112,0.268,41,9,13,57,9,2,12,2,64.0,2,Northwestern St.,255.32,263.38,104.68,130.25,673.42,809.12,0.53,0.44,344.54,279.86,37.91,41.36,55.36,62.0,309.53,385.73,29.79,36.5,19.18,12.67,74.0,97.45,15.0,12.18,374.81,354.6,11.91,17.0
1,5,65,22,164,0.262,61,1,9,57,4,5,10,2,76.0,2,Southern Miss.,255.32,238.47,104.68,98.58,673.42,626.16,0.53,0.61,344.54,385.73,37.91,37.91,55.36,48.25,309.53,314.6,29.79,44.75,19.18,25.0,74.0,75.21,15.0,15.45,374.81,333.79,11.91,15.12
1,3,40,7,88,0.375,36,6,9,38,3,1,10,0,52.0,1,Lehigh,255.32,238.35,104.68,109.06,673.42,671.18,0.53,0.55,344.54,237.94,37.91,32.5,55.36,44.07,309.53,294.44,29.79,32.21,19.18,20.8,74.0,62.93,15.0,10.67,374.81,322.22,11.91,9.5
1,4,51,18,130,0.254,45,6,4,65,7,5,12,4,68.0,3,ETSU,255.32,267.75,104.68,106.5,673.42,729.38,0.53,0.61,344.54,267.13,37.91,31.58,55.36,47.5,309.53,330.27,29.79,25.54,19.18,15.44,74.0,87.5,15.0,18.82,374.81,355.13,11.91,14.67
1,5,66,32,169,0.201,64,6,8,81,8,5,12,4,83.0,4,Presbyterian,255.32,260.33,104.68,123.67,673.42,788.33,0.53,0.14,344.54,258.43,37.91,38.38,55.36,52.08,309.53,369.86,29.79,38.93,19.18,16.2,74.0,69.27,15.0,13.1,374.81,353.36,11.91,18.91
1,3,44,14,102,0.294,40,4,8,42,3,4,8,1,56.0,0,Ga. Southern,255.32,205.09,104.68,95.18,673.42,586.09,0.53,0.42,344.54,261.75,37.91,35.57,55.36,46.19,309.53,276.55,29.79,30.75,19.18,19.56,74.0,83.08,15.0,13.18,374.81,301.37,11.91,18.42
1,5,68,29,166,0.235,65,6,2,62,6,2,12,1,82.0,0,Texas A&M,255.32,235.47,104.68,95.95,673.42,603.95,0.53,0.51,344.54,260.94,37.91,21.4,55.36,34.29,309.53,267.12,29.79,24.86,19.18,16.33,74.0,118.33,15.0,16.1,374.81,314.0,11.91,8.57
0,3,36,17,97,0.196,33,0,4,32,5,0,6,3,39.0,0,Florida,255.32,213.2,104.68,69.95,673.42,515.1,0.53,0.61,344.54,337.08,37.91,24.62,55.36,41.43,309.53,237.06,29.79,25.6,19.18,13.4,74.0,89.08,15.0,13.75,374.81,311.59,11.91,19.4
1,4,68,22,150,0.307,62,3,9,55,7,1,18,2,81.0,1,Georgia,255.32,251.76,104.68,102.29,673.42,670.18,0.53,0.63,344.54,266.33,37.91,34.46,55.36,47.53,309.53,286.06,29.79,37.17,19.18,9.82,74.0,94.75,15.0,14.92,374.81,337.78,11.91,8.88
0,5,50,30,138,0.145,48,2,7,51,3,1,18,2,62.0,0,Mississippi St.,255.32,301.75,104.68,130.62,673.42,776.88,0.53,0.6,344.54,324.07,37.91,41.64,55.36,60.0,309.53,314.67,29.79,33.54,19.18,19.0,74.0,106.42,15.0,14.82,374.81,406.37,11.91,4.0
