Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
243.47,263.38,98.21,130.25,658.63,809.12,0.43,0.44,270.25,279.86,32.45,41.36,41.0,62.0,339.38,385.73,29.7,36.5,19.64,12.67,71.82,97.45,11.1,12.18,310.78,354.6,12.12,17.0,1,3,48,12,114,0.316,43,2,9,62,2,3,4,0,55.0,0
243.47,247.47,98.21,93.41,658.63,700.0,0.43,0.61,270.25,324.33,32.45,35.0,41.0,53.91,339.38,433.75,29.7,34.78,19.64,11.0,71.82,114.0,11.1,18.45,310.78,375.79,12.12,13.44,0,5,70,33,193,0.192,61,2,7,75,5,2,4,2,76.0,1
243.47,279.53,98.21,115.18,658.63,762.12,0.43,0.58,270.25,281.88,32.45,36.18,41.0,54.38,339.38,346.38,29.7,30.83,19.64,9.0,71.82,115.92,11.1,14.0,310.78,372.09,12.12,13.62,1,3,46,15,125,0.248,41,3,4,59,6,4,14,2,60.0,1
243.47,234.47,98.21,100.63,658.63,600.68,0.43,0.58,270.25,245.24,32.45,36.93,41.0,51.47,339.38,246.06,29.7,34.64,19.64,12.25,71.82,85.07,11.1,15.77,310.78,314.75,12.12,12.75,1,4,53,21,122,0.262,53,3,16,43,7,3,10,1,64.0,1
243.47,317.8,98.21,106.2,658.63,791.93,0.43,0.57,270.25,374.67,32.45,46.0,41.0,75.9,339.38,374.54,29.7,50.88,19.64,28.11,71.82,91.8,11.1,18.11,310.78,424.21,12.12,13.38,0,4,61,30,151,0.205,58,3,4,62,3,2,0,2,66.0,2
243.47,226.89,98.21,88.39,658.63,591.22,0.43,0.56,270.25,274.29,32.45,34.9,41.0,42.36,339.38,275.62,29.7,32.7,19.64,17.67,71.82,84.09,11.1,17.0,310.78,361.04,12.12,8.43,1,5,72,35,186,0.199,67,4,8,79,3,3,6,1,82.0,2
243.47,281.29,98.21,119.12,658.63,769.0,0.43,0.54,270.25,317.86,32.45,29.0,41.0,51.85,339.38,373.2,29.7,32.55,19.64,20.8,71.82,96.64,11.1,16.22,310.78,393.23,12.12,15.67,0,4,51,23,143,0.196,49,7,9,46,4,1,6,2,62.0,1
243.47,221.79,98.21,100.63,658.63,612.68,0.43,0.47,270.25,278.57,32.45,39.83,41.0,48.93,339.38,269.72,29.7,32.86,19.64,11.0,71.82,93.85,11.1,12.8,310.78,338.25,12.12,8.56,1,3,47,23,114,0.211,42,7,6,45,1,3,2,0,58.0,1
243.47,271.13,98.21,126.8,658.63,760.07,0.43,0.67,270.25,291.92,32.45,32.54,41.0,46.5,339.38,329.79,29.7,40.5,19.64,16.0,71.82,77.0,11.1,26.7,310.78,364.0,12.12,10.0,1,3,47,10,80,0.463,45,3,6,30,1,2,4,1,54.0,0
243.47,306.88,98.21,129.31,658.63,920.75,0.43,0.46,270.25,354.77,32.45,38.4,41.0,60.55,339.38,487.79,29.7,28.0,19.64,13.64,71.82,119.7,11.1,13.31,310.78,431.61,12.12,19.44,0,3,42,19,143,0.161,41,1,3,59,7,0,10,1,48.0,0
243.47,249.33,98.21,95.76,658.63,695.38,0.43,0.47,270.25,327.27,32.45,37.45,41.0,45.27,339.38,325.5,29.7,32.36,19.64,20.38,71.82,76.64,11.1,11.55,310.78,317.38,12.12,19.67,0,4,56,29,149,0.181,52,1,6,48,4,1,10,2,63.0,1
243.47,234.33,98.21,99.44,658.63,559.61,0.43,0.2,270.25,256.53,32.45,36.46,41.0,69.5,339.38,202.76,29.7,36.0,19.64,15.38,71.82,66.86,11.1,9.09,310.78,315.29,12.12,11.71,1,4,57,19,137,0.277,53,6,10,62,6,4,10,1,72.0,2
243.47,265.94,98.21,106.12,658.63,754.0,0.43,0.6,270.25,333.0,32.45,35.27,41.0,41.45,339.38,405.31,29.7,39.18,19.64,16.18,71.82,81.58,11.1,12.5,310.78,354.03,12.12,12.5,1,3,51,15,96,0.375,42,2,4,39,3,0,8,3,57.0,2
243.47,275.12,98.21,111.71,658.63,714.47,0.43,0.55,270.25,335.92,32.45,35.64,41.0,46.23,339.38,307.44,29.7,35.82,19.64,20.25,71.82,103.25,11.1,19.91,310.78,365.66,12.12,15.5,0,4,58,33,159,0.157,53,5,10,61,5,4,4,0,69.0,1
