Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
276.56,286.89,117.28,119.94,775.61,815.11,0.53,0.49,331.71,371.15,35.67,44.45,47.87,62.58,348.0,448.86,35.17,47.0,12.7,14.56,138.42,144.73,14.75,13.67,397.72,470.0,7.0,12.33,0,4,65,24,172,0.238,61,3,7,80,5,0,18,2,77.0,0
276.56,173.11,117.28,95.63,775.61,499.84,0.53,0.41,331.71,170.17,35.67,29.87,47.87,34.56,348.0,207.83,35.17,30.5,12.7,13.5,138.42,43.69,14.75,7.3,397.72,234.53,7.0,10.42,1,3,39,13,88,0.295,37,10,6,36,2,0,20,2,59.0,0
276.56,257.39,117.28,102.67,775.61,719.56,0.53,0.45,331.71,253.53,35.67,34.73,47.87,43.57,348.0,331.59,35.17,28.29,12.7,15.73,138.42,101.0,14.75,11.62,397.72,362.12,7.0,12.33,1,4,48,22,123,0.211,45,5,9,52,5,3,18,5,65.0,0
276.56,216.76,117.28,95.81,775.61,608.67,0.53,0.45,331.71,283.67,35.67,28.35,47.87,45.71,348.0,278.58,35.17,31.67,12.7,10.54,138.42,103.77,14.75,15.25,397.72,307.66,7.0,14.11,1,4,53,20,145,0.228,51,4,7,68,2,1,21,2,68.5,3
276.56,231.11,117.28,90.28,775.61,624.94,0.53,0.54,331.71,242.94,35.67,29.07,47.87,43.31,348.0,279.65,35.17,27.85,12.7,16.15,138.42,76.08,14.75,9.42,397.72,311.79,7.0,7.88,0,3,31,14,98,0.173,30,3,4,33,7,2,10,3,41.0,1
276.56,269.06,117.28,103.5,775.61,677.5,0.53,0.55,331.71,366.55,35.67,29.23,47.87,49.64,348.0,273.67,35.17,35.2,12.7,22.11,138.42,150.5,14.75,16.44,397.72,402.61,7.0,6.73,0,4,56,24,140,0.229,50,3,6,52,4,0,20,1,69.0,2
276.56,226.28,117.28,108.61,775.61,648.61,0.53,0.46,331.71,239.75,35.67,37.31,47.87,48.4,348.0,304.88,35.17,41.27,12.7,13.56,138.42,81.0,14.75,17.1,397.72,308.65,7.0,11.67,1,3,35,18,99,0.172,33,3,3,43,3,0,24,1,50.0,1
276.56,327.0,117.28,130.73,775.61,871.53,0.53,0.51,331.71,329.21,35.67,28.23,47.87,40.38,348.0,390.64,35.17,36.1,12.7,19.1,138.42,134.64,14.75,12.23,397.72,443.11,7.0,13.8,0,5,57,24,144,0.229,51,5,12,60,7,2,13,3,70.5,3
276.56,254.0,117.28,107.0,775.61,728.31,0.53,0.51,331.71,253.67,35.67,38.25,47.87,42.46,348.0,320.87,35.17,37.85,12.7,19.78,138.42,139.7,14.75,31.22,397.72,415.35,7.0,12.0,1,3,42,18,109,0.220,40,9,4,48,4,0,16,2,59.0,1
276.56,236.6,117.28,104.93,775.61,645.6,0.53,0.51,331.71,254.62,35.67,43.0,47.87,43.92,348.0,298.46,35.17,34.73,12.7,19.0,138.42,60.83,14.75,11.45,397.72,350.62,7.0,24.89,1,3,38,22,100,0.160,37,6,5,41,3,3,12,1,53.0,0
