Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,37,13,86,0.279,34,10,4,34,1,2,8,1,53.0,1,Presbyterian,255.41,260.33,110.76,123.67,737.12,788.33,0.55,0.14,290.36,258.43,35.62,38.38,46.08,52.08,346.12,369.86,29.93,38.93,17.78,16.2,86.75,69.27,12.82,13.1,342.84,353.36,13.12,18.91
1,3,38,7,75,0.413,35,8,4,41,0,2,4,0,50.0,1,Mississippi Val.,255.41,152.67,110.76,106.33,737.12,513.17,0.55,0.47,290.36,157.19,35.62,29.15,46.08,37.43,346.12,257.07,29.93,28.71,17.78,14.27,86.75,32.43,12.82,7.83,342.84,219.44,13.12,9.0
1,3,38,15,113,0.204,36,6,1,67,2,1,10,0,50.0,0,Cal St. Fullerton,255.41,212.61,110.76,101.06,737.12,625.33,0.55,0.55,290.36,226.25,35.62,27.57,46.08,38.13,346.12,300.12,29.93,35.38,17.78,15.89,86.75,79.67,12.82,18.0,342.84,284.35,13.12,9.12
0,3,29,18,106,0.104,27,1,4,44,3,0,4,1,32.0,2,Northwestern,255.41,219.47,110.76,90.84,737.12,589.79,0.55,0.53,290.36,298.92,35.62,32.15,46.08,47.81,346.12,249.56,29.93,35.23,17.78,15.75,86.75,75.85,12.82,15.31,342.84,292.78,13.12,8.22
0,3,43,17,120,0.217,38,2,5,52,7,0,2,3,46.0,1,Dayton,255.41,268.47,110.76,103.53,737.12,681.71,0.55,0.55,290.36,306.29,35.62,31.77,46.08,45.14,346.12,293.38,29.93,29.58,17.78,10.38,86.75,107.92,12.82,19.18,342.84,383.97,13.12,11.64
1,4,52,22,146,0.205,49,6,5,57,5,3,12,3,67.0,1,Xavier,255.41,299.24,110.76,117.88,737.12,770.94,0.55,0.67,290.36,313.8,35.62,37.82,46.08,45.4,346.12,346.33,29.93,34.33,17.78,18.9,86.75,98.67,12.82,14.33,342.84,392.75,13.12,11.11
0,4,36,24,153,0.078,34,1,7,60,7,1,14,4,45.0,2,Kansas,255.41,241.17,110.76,97.94,737.12,684.78,0.55,0.32,290.36,271.87,35.62,33.64,46.08,63.25,346.12,337.88,29.93,23.83,17.78,9.25,86.75,117.92,12.82,13.91,342.84,343.28,13.12,9.62
0,3,27,19,98,0.082,26,2,5,32,6,1,6,0,33.0,0,Creighton,255.41,306.0,110.76,111.59,737.12,805.18,0.55,0.58,290.36,344.21,35.62,36.69,46.08,48.94,346.12,368.88,29.93,43.2,17.78,18.56,86.75,121.3,12.82,19.36,342.84,430.17,13.12,10.4
0,3,27,24,106,0.028,26,3,2,44,5,0,6,3,33.0,1,TCU,255.41,247.47,110.76,93.41,737.12,700.0,0.55,0.61,290.36,324.33,35.62,35.0,46.08,53.91,346.12,433.75,29.93,34.78,17.78,11.0,86.75,114.0,12.82,18.45,342.84,375.79,13.12,13.44
0,4,42,22,133,0.150,40,5,2,53,8,1,10,4,53.0,0,Tennessee St.,255.41,301.27,110.76,132.0,737.12,830.0,0.55,0.67,290.36,322.0,35.62,39.64,46.08,50.0,346.12,366.36,29.93,44.3,17.78,16.3,86.75,90.33,12.82,20.0,342.84,404.29,13.12,13.5
