Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
257.82,271.13,119.18,126.8,748.41,760.07,0.5,0.67,257.31,291.92,32.64,32.54,35.17,46.5,348.12,329.79,32.91,40.5,15.67,16.0,78.43,77.0,13.21,26.7,342.44,364.0,11.78,10.0,1,3,40,17,108,0.213,38,3,5,48,4,4,8,0,51.0,0
257.82,206.6,119.18,79.45,748.41,529.2,0.5,0.51,257.31,255.07,32.64,26.2,35.17,41.33,348.12,236.39,32.91,30.0,15.67,15.64,78.43,76.77,13.21,12.08,342.44,273.47,11.78,5.33,0,3,38,28,118,0.085,34,3,6,38,4,1,4,2,44.0,0
257.82,208.53,119.18,93.65,748.41,598.0,0.5,0.37,257.31,218.0,32.64,31.29,35.17,38.47,348.12,288.67,32.91,30.64,15.67,11.64,78.43,83.0,13.21,15.0,342.44,285.47,11.78,9.67,1,3,43,16,97,0.278,42,4,7,47,6,4,6,1,54.0,0
257.82,242.21,119.18,108.32,748.41,663.21,0.5,0.52,257.31,290.27,32.64,33.15,35.17,53.27,348.12,284.44,32.91,44.5,15.67,18.46,78.43,80.77,13.21,19.08,342.44,341.06,11.78,8.62,0,4,45,34,150,0.073,44,8,5,57,5,0,4,1,55.0,3
257.82,311.67,119.18,145.6,748.41,839.33,0.5,0.58,257.31,363.17,32.64,36.42,35.17,51.62,348.12,359.79,32.91,45.5,15.67,30.38,78.43,119.2,13.21,27.89,342.44,425.07,11.78,19.38,0,3,31,25,108,0.056,30,4,1,37,3,0,12,5,41.0,1
257.82,212.32,119.18,97.05,748.41,626.32,0.5,0.5,257.31,251.0,32.64,36.42,35.17,38.15,348.12,296.71,32.91,38.85,15.67,22.7,78.43,84.86,13.21,12.92,342.44,311.29,11.78,15.5,1,3,44,28,133,0.120,39,8,3,51,1,1,6,2,56.0,1
257.82,263.65,119.18,121.47,748.41,726.29,0.5,0.52,257.31,321.85,32.64,40.08,35.17,55.77,348.12,330.73,32.91,36.67,15.67,12.42,78.43,104.54,13.21,14.25,342.44,386.1,11.78,14.42,1,4,63,23,144,0.278,62,2,9,55,3,1,16,1,74.0,0
257.82,271.65,119.18,125.47,748.41,879.18,0.5,0.43,257.31,266.88,32.64,40.46,35.17,51.07,348.12,439.69,32.91,37.62,15.67,17.56,78.43,93.57,13.21,18.0,342.44,372.31,11.78,15.83,1,4,62,26,156,0.231,59,2,2,66,5,1,8,1,69.0,0
257.82,240.18,119.18,108.18,748.41,683.0,0.5,0.59,257.31,253.6,32.64,42.8,35.17,44.15,348.12,310.81,32.91,45.36,15.67,13.33,78.43,71.58,13.21,11.22,342.44,364.32,11.78,14.43,1,4,60,14,140,0.329,56,9,5,55,1,6,4,6,77.0,0
257.82,266.5,119.18,122.33,748.41,713.44,0.5,0.52,257.31,319.29,32.64,35.82,35.17,58.75,348.12,353.71,32.91,36.1,15.67,25.56,78.43,172.8,13.21,20.45,342.44,392.81,11.78,13.17,0,3,34,24,114,0.088,34,4,5,43,3,1,2,1,40.0,0
