Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,15,17,75,-0.027,15,1,2,29,8,1,8,1,21.0,4,Delaware,198.4,240.84,105.67,103.95,611.0,719.89,0.53,0.47,213.92,326.62,30.64,32.93,35.33,48.21,275.29,401.13,32.92,39.58,12.0,18.4,52.0,83.29,10.42,9.62,266.5,341.41,23.57,20.4
0,3,27,12,88,0.170,26,1,7,33,3,3,4,2,33.0,1,New Hampshire,198.4,233.63,105.67,97.11,611.0,672.68,0.53,0.45,213.92,277.33,30.64,36.43,35.33,41.27,275.29,332.0,32.92,34.07,12.0,12.55,52.0,69.36,10.42,12.83,266.5,327.79,23.57,12.75
0,4,39,22,142,0.120,39,8,4,59,6,3,0,4,50.0,1,Navy,198.4,158.0,105.67,69.6,611.0,462.04,0.53,0.4,213.92,206.5,30.64,26.69,35.33,32.53,275.29,224.26,32.92,34.55,12.0,14.47,52.0,48.06,10.42,11.5,266.5,207.44,23.57,13.5
0,4,58,23,176,0.199,53,4,3,78,5,1,16,3,71.0,1,Bucknell,198.4,178.0,105.67,86.71,611.0,539.19,0.53,0.39,213.92,230.93,30.64,28.46,35.33,40.62,275.29,286.65,32.92,33.17,12.0,17.4,52.0,72.29,10.42,10.0,266.5,252.0,23.57,11.62
0,3,21,27,92,-0.065,20,2,2,33,3,0,0,1,23.0,1,Duquesne,198.4,248.71,105.67,111.12,611.0,716.94,0.53,0.43,213.92,265.87,30.64,33.29,35.33,38.0,275.29,351.73,32.92,43.0,12.0,14.3,52.0,81.15,10.42,15.45,266.5,335.28,23.57,10.2
0,4,44,22,146,0.151,41,0,2,58,3,2,8,1,50.0,3,Robert Morris,198.4,276.33,105.67,125.27,611.0,859.6,0.53,0.54,213.92,321.5,30.64,34.58,35.33,43.0,275.29,459.23,32.92,32.64,12.0,15.9,52.0,95.82,10.42,17.55,266.5,374.71,23.57,28.0
0,3,14,18,67,-0.060,13,5,3,25,7,0,6,1,22.0,1,American,198.4,276.75,105.67,104.38,611.0,711.94,0.53,0.66,213.92,313.46,30.64,46.58,35.33,62.0,275.29,301.07,32.92,40.92,12.0,14.8,52.0,91.92,10.42,19.56,266.5,406.18,23.57,9.44
0,3,32,18,127,0.110,31,3,7,66,3,3,2,1,39.0,5,Western Caro.,198.4,271.87,105.67,129.47,611.0,827.93,0.53,0.61,213.92,266.14,30.64,32.42,35.33,40.38,275.29,390.43,32.92,39.64,12.0,17.8,52.0,107.36,10.42,13.77,266.5,373.96,23.57,9.91
0,3,28,28,120,0,25,1,3,54,11,1,8,2,34.0,2,Charlotte,198.4,255.69,105.67,110.25,611.0,768.75,0.53,0.57,213.92,296.38,30.64,34.46,35.33,44.0,275.29,362.27,32.92,38.67,12.0,24.4,52.0,86.62,10.42,17.64,266.5,356.4,23.57,14.7
0,3,21,22,112,-0.009,21,5,2,55,7,0,2,3,27.0,2,William & Mary,198.4,227.89,105.67,95.06,611.0,656.56,0.53,0.57,213.92,239.06,30.64,31.0,35.33,35.54,275.29,313.35,32.92,35.92,12.0,12.0,52.0,78.5,10.42,12.7,266.5,299.76,23.57,13.7
0,3,30,16,89,0.157,29,4,6,36,3,1,8,1,39.0,0,Montana,198.4,205.73,105.67,108.53,611.0,613.47,0.53,0.57,213.92,223.38,30.64,28.45,35.33,38.5,275.29,319.67,32.92,29.92,12.0,7.33,52.0,68.91,10.42,13.27,266.5,274.57,23.57,14.12
0,4,24,20,124,0.032,21,4,4,42,4,2,10,2,35.0,4,Morehead St.,198.4,273.5,105.67,135.75,611.0,809.31,0.53,0.56,213.92,272.8,30.64,38.0,35.33,52.29,275.29,366.87,32.92,37.5,12.0,19.5,52.0,115.67,10.42,12.27,266.5,378.8,23.57,23.0
0,5,55,28,169,0.160,52,3,4,64,3,2,4,2,62.0,2,Kent St.,198.4,246.26,105.67,99.53,611.0,715.58,0.53,0.43,213.92,294.47,30.64,29.85,35.33,46.86,275.29,357.76,32.92,28.08,12.0,17.64,52.0,86.42,10.42,11.36,266.5,321.08,23.57,14.64
0,5,47,29,160,0.113,47,4,9,70,9,2,6,2,56.0,2,Norfolk St.,198.4,164.17,105.67,92.0,611.0,483.39,0.53,0.4,213.92,209.69,30.64,30.8,35.33,42.4,275.29,219.5,32.92,36.69,12.0,10.2,52.0,57.75,10.42,13.2,266.5,227.38,23.57,13.5
0,5,49,28,133,0.158,44,3,9,60,10,3,4,0,57.0,4,Hampton,198.4,173.13,105.67,87.73,611.0,449.47,0.53,0.46,213.92,218.18,30.64,31.92,35.33,43.5,275.29,166.21,32.92,35.62,12.0,8.4,52.0,54.55,10.42,14.44,266.5,258.77,23.57,13.71
0,3,30,20,93,0.108,28,3,4,30,2,0,6,1,36.0,3,Howard,198.4,209.37,105.67,95.16,611.0,582.47,0.53,0.4,213.92,245.73,30.64,30.77,35.33,53.33,275.29,264.22,32.92,33.8,12.0,13.78,52.0,76.5,10.42,18.08,266.5,279.86,23.57,12.5
1,3,36,15,84,0.250,33,5,6,32,6,3,6,1,47.0,0,Delaware St.,198.4,174.4,105.67,104.53,611.0,533.0,0.53,0.56,213.92,183.38,30.64,35.08,35.33,46.79,275.29,218.21,32.92,47.17,12.0,10.1,52.0,54.15,10.42,14.18,266.5,249.29,23.57,13.4
0,3,21,15,91,0.066,18,4,5,31,13,4,4,1,31.0,3,UMES,198.4,242.71,105.67,103.36,611.0,644.36,0.53,0.56,213.92,261.17,30.64,48.33,35.33,59.38,275.29,304.5,32.92,39.85,12.0,15.73,52.0,64.75,10.42,13.0,266.5,349.19,23.57,20.67
0,3,25,17,105,0.076,24,1,5,49,5,2,2,1,29.0,1,Morgan St.,198.4,169.41,105.67,88.76,611.0,507.71,0.53,0.52,213.92,202.77,30.64,34.5,35.33,43.53,275.29,238.4,32.92,39.75,12.0,13.83,52.0,45.91,10.42,9.55,266.5,279.19,23.57,16.7
0,3,27,23,103,0.039,23,2,4,41,5,0,2,1,30.0,1,Howard,198.4,209.37,105.67,95.16,611.0,582.47,0.53,0.4,213.92,245.73,30.64,30.77,35.33,53.33,275.29,264.22,32.92,33.8,12.0,13.78,52.0,76.5,10.42,18.08,266.5,279.86,23.57,12.5
1,5,45,31,145,0.097,42,5,10,61,5,2,26/,3,65.0,2,Norfolk St.,198.4,164.17,105.67,92.0,611.0,483.39,0.53,0.4,213.92,209.69,30.64,30.8,35.33,42.4,275.29,219.5,32.92,36.69,12.0,10.2,52.0,57.75,10.42,13.2,266.5,227.38,23.57,13.5
0,3,35,19,96,0.167,32,3,5,26,3,0,6,0,41.0,3,Hampton,198.4,173.13,105.67,87.73,611.0,449.47,0.53,0.46,213.92,218.18,30.64,31.92,35.33,43.5,275.29,166.21,32.92,35.62,12.0,8.4,52.0,54.55,10.42,14.44,266.5,258.77,23.57,13.71
0,4,51,28,149,0.154,45,6,8,54,6,1,2,1,59.0,3,Delaware St.,198.4,174.4,105.67,104.53,611.0,533.0,0.53,0.56,213.92,183.38,30.64,35.08,35.33,46.79,275.29,218.21,32.92,47.17,12.0,10.1,52.0,54.15,10.42,14.18,266.5,249.29,23.57,13.4
0,4,34,27,116,0.060,30,5,7,56,11,1,6,1,43.0,3,UMES,198.4,242.71,105.67,103.36,611.0,644.36,0.53,0.56,213.92,261.17,30.64,48.33,35.33,59.38,275.29,304.5,32.92,39.85,12.0,15.73,52.0,64.75,10.42,13.0,266.5,349.19,23.57,20.67
0,4,35,17,117,0.154,31,6,9,47,9,1,0,2,42.0,4,Morgan St.,198.4,169.41,105.67,88.76,611.0,507.71,0.53,0.52,213.92,202.77,30.64,34.5,35.33,43.53,275.29,238.4,32.92,39.75,12.0,13.83,52.0,45.91,10.42,9.55,266.5,279.19,23.57,16.7
