Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
279.47,274.44,118.53,118.94,826.65,804.69,0.53,0.56,295.93,344.67,33.08,34.23,37.21,51.43,399.75,397.64,42.2,39.08,10.45,16.9,109.58,102.33,11.9,11.09,372.09,374.6,11.3,13.09,0,5,50,30,160,0.125,47,7,6,65,10,3,23,0,71.5,1
279.47,257.33,118.53,108.89,826.65,755.83,0.53,0.58,295.93,268.25,33.08,36.25,37.21,38.5,399.75,359.47,42.2,35.42,10.45,13.73,109.58,91.33,11.9,12.3,372.09,360.38,11.3,13.56,1,4,49,24,158,0.158,45,3,3,80,5,0,18,0,61.0,3
279.47,204.84,118.53,97.11,826.65,614.26,0.53,0.44,295.93,262.5,33.08,21.43,37.21,29.56,399.75,351.13,42.2,26.54,10.45,17.7,109.58,62.62,11.9,12.25,372.09,298.5,11.3,10.9,1,3,38,19,105,0.181,37,5,4,51,2,0,6,0,46.0,0
279.47,232.05,118.53,98.53,826.65,611.32,0.53,0.55,295.93,259.25,33.08,33.15,37.21,43.83,399.75,298.25,42.2,31.69,10.45,16.91,109.58,88.75,11.9,12.73,372.09,347.41,11.3,10.0,1,3,42,12,111,0.270,41,4,4,56,4,0,4,0,48.0,0
279.47,222.5,118.53,102.5,826.65,651.94,0.53,0.69,295.93,242.71,33.08,34.45,37.21,42.83,399.75,322.36,42.2,30.64,10.45,11.22,109.58,68.36,11.9,17.0,372.09,339.69,11.3,13.4,1,5,67,22,159,0.283,64,9,5,83,4,0,14,1,83.0,2
279.47,236.8,118.53,102.35,826.65,685.25,0.53,0.49,295.93,261.18,33.08,26.69,37.21,34.88,399.75,322.05,42.2,26.24,10.45,18.91,109.58,90.67,11.9,14.54,372.09,328.61,11.3,11.8,1,3,37,10,117,0.231,34,7,4,65,4,3,16,0,55.0,3
279.47,227.06,118.53,82.78,826.65,591.5,0.53,0.55,295.93,294.69,33.08,32.0,37.21,40.14,399.75,274.5,42.2,27.62,10.45,14.33,109.58,104.56,11.9,19.56,372.09,314.91,11.3,16.83,0,5,56,32,200,0.120,54,5,4,85,7,3,8,0,68.0,1
279.47,261.31,118.53,117.5,826.65,793.69,0.53,0.61,295.93,278.71,33.08,33.46,37.21,51.47,399.75,381.87,42.2,37.5,10.45,11.9,109.58,68.77,11.9,17.31,372.09,345.47,11.3,11.55,1,4,50,21,185,0.157,46,7,6,90,5,2,16,0,67.0,0
279.47,267.07,118.53,122.8,826.65,836.87,0.53,0.55,295.93,288.38,33.08,43.9,37.21,49.08,399.75,400.14,42.2,41.92,10.45,13.9,109.58,125.2,11.9,17.1,372.09,372.14,11.3,11.1,1,4,53,20,133,0.248,52,13/,4,74,4,2,18,1,77.0,1
279.47,244.53,118.53,108.0,826.65,708.71,0.53,0.53,295.93,258.53,33.08,34.15,37.21,37.13,399.75,335.31,42.2,44.2,10.45,13.64,109.58,61.29,11.9,12.22,372.09,323.75,11.3,10.82,1,3,42,11,105,0.295,39,4,7,45,5,0,6,1,49.0,1
