Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
237.82,204.41,108.94,96.18,674.12,604.88,0.47,0.45,292.38,212.4,30.0,29.46,53.58,36.13,306.0,270.75,31.25,34.14,15.91,10.0,81.67,62.69,14.09,8.82,316.75,291.03,14.17,6.4,1,3,40,15,97,0.258,37,8,6,57,3,2,12,0,56.0,0
237.82,178.0,108.94,86.71,674.12,539.19,0.47,0.39,292.38,230.93,30.0,28.46,53.58,40.62,306.0,286.65,31.25,33.17,15.91,17.4,81.67,72.29,14.09,10.0,316.75,252.0,14.17,11.62,1,4,60,23,137,0.270,55,6,6,72,3,4,18,2,79.0,0
237.82,256.27,108.94,129.33,674.12,806.13,0.47,0.46,292.38,253.86,30.0,34.58,53.58,35.08,306.0,387.36,31.25,42.25,15.91,14.18,81.67,83.17,14.09,12.92,316.75,351.0,14.17,9.83,1,3,42,13,93,0.312,38,6,7,46,2,1,20,0,59.0,0
237.82,159.29,108.94,95.59,674.12,493.18,0.47,0.47,292.38,167.07,30.0,39.27,53.58,36.2,306.0,204.25,31.25,35.57,15.91,11.1,81.67,48.5,14.09,10.09,316.75,224.41,14.17,10.82,1,3,36,9,67,0.403,33,5,7,23,2,2,4,3,45.0,1
237.82,168.65,108.94,97.29,674.12,489.12,0.47,0.31,292.38,202.38,30.0,31.67,53.58,41.46,306.0,209.31,31.25,34.92,15.91,16.11,81.67,59.73,14.09,9.36,316.75,265.75,14.17,15.22,1,3,43,17,96,0.271,44,6,7,48,5,2,10,0,56.0,0
237.82,303.53,108.94,139.2,674.12,919.0,0.47,0.15,292.38,325.85,30.0,41.5,53.58,56.33,306.0,450.14,31.25,43.64,15.91,19.12,81.67,104.5,14.09,12.0,316.75,440.5,14.17,11.33,1,5,65,25,199,0.201,60,2,7,109,8,5,18,0,81.0,1
237.82,158.0,108.94,69.6,674.12,462.04,0.47,0.4,292.38,206.5,30.0,26.69,53.58,32.53,306.0,224.26,31.25,34.55,15.91,14.47,81.67,48.06,14.09,11.5,316.75,207.44,14.17,13.5,1,4,47,25,132,0.167,45,6,8,55,3,2,16,2,63.0,0
237.82,193.56,108.94,98.5,674.12,577.5,0.47,0.4,292.38,215.33,30.0,40.08,53.58,49.93,306.0,279.44,31.25,33.57,15.91,11.0,81.67,64.75,14.09,12.08,316.75,262.56,14.17,11.91,1,4,54,24,142,0.211,52,4,5,63,4,0,12,5,64.0,1
237.82,313.2,108.94,125.47,674.12,894.87,0.47,0.56,292.38,339.31,30.0,38.2,53.58,52.25,306.0,431.57,31.25,29.17,15.91,14.12,81.67,125.0,14.09,16.12,316.75,415.57,14.17,13.22,0,4,50,22,169,0.166,49,1,13,76,6,2,20,5,63.0,0
237.82,306.88,108.94,129.31,674.12,920.75,0.47,0.46,292.38,354.77,30.0,38.4,53.58,60.55,306.0,487.79,31.25,28.0,15.91,13.64,81.67,119.7,14.09,13.31,316.75,431.61,14.17,19.44,0,4,45,29,139,0.115,43,1,10,46,5,1,18,3,56.0,3
