Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
272.11,255.69,118.61,110.25,787.83,768.75,0.49,0.57,303.13,296.38,34.75,34.46,50.83,44.0,362.12,362.27,35.25,38.67,14.55,24.4,90.21,86.62,19.0,17.64,359.21,356.4,14.45,14.7,0,4,44,37,180,0.039,44,5,5,79,3,2,20,2,61.0,2
272.11,303.53,118.61,139.2,787.83,919.0,0.49,0.15,303.13,325.85,34.75,41.5,50.83,56.33,362.12,450.14,35.25,43.64,14.55,19.12,90.21,104.5,19.0,12.0,359.21,440.5,14.45,11.33,1,5,45,23,156,0.141,41,6,10,61,7,3,14,3,61.0,3
272.11,168.65,118.61,97.29,787.83,489.12,0.49,0.31,303.13,202.38,34.75,31.67,50.83,41.46,362.12,209.31,35.25,34.92,14.55,16.11,90.21,59.73,19.0,9.36,359.21,265.75,14.45,15.22,1,3,38,11,85,0.318,32,7,3,30,4,2,4,1,49.0,0
272.11,254.81,118.61,112.62,787.83,716.25,0.49,0.59,303.13,293.08,34.75,48.1,50.83,60.36,362.12,311.87,35.25,40.42,14.55,18.62,90.21,90.67,19.0,20.82,359.21,350.07,14.45,9.0,1,4,60,15,143,0.315,54,8,9,62,4,3,12,1,77.0,0
272.11,251.16,118.61,104.21,787.83,728.21,0.49,0.44,303.13,299.13,34.75,36.5,50.83,49.14,362.12,351.94,35.25,29.38,14.55,19.09,90.21,74.5,19.0,11.42,359.21,326.03,14.45,14.89,1,5,68,24,209,0.211,62,5,8,95,3,1,18,6,83.0,6
272.11,279.06,118.61,123.71,787.83,781.06,0.49,0.13,303.13,291.13,34.75,46.64,50.83,50.17,362.12,380.73,35.25,34.21,14.55,17.4,90.21,122.55,19.0,15.91,359.21,407.0,14.45,16.5,0,4,63,19,156,0.282,57,5,8,52,8,0,8,0,72.0,1
272.11,212.32,118.61,97.05,787.83,626.32,0.49,0.5,303.13,251.0,34.75,36.42,50.83,38.15,362.12,296.71,35.25,38.85,14.55,22.7,90.21,84.86,19.0,12.92,359.21,311.29,14.45,15.5,1,4,64,21,166,0.259,62,3,7,73,1,1,12,3,74.0,0
272.11,228.15,118.61,109.15,787.83,636.9,0.49,0.44,303.13,267.31,34.75,33.87,50.83,57.14,362.12,290.0,35.25,35.71,14.55,11.15,90.21,76.0,19.0,10.21,359.21,321.44,14.45,13.7,1,5,56,19,158,0.234,47,4,7,70,5,2,20,0,72.0,2
272.11,164.17,118.61,92.0,787.83,483.39,0.49,0.4,303.13,209.69,34.75,30.8,50.83,42.4,362.12,219.5,35.25,36.69,14.55,10.2,90.21,57.75,19.0,13.2,359.21,227.38,14.45,13.5,1,3,38,17,124,0.169,34,1,6,59,6,1,18,2,49.0,2
272.11,174.4,118.61,104.53,787.83,533.0,0.49,0.56,303.13,183.38,34.75,35.08,50.83,46.79,362.12,218.21,35.25,47.17,14.55,10.1,90.21,54.15,19.0,14.18,359.21,249.29,14.45,13.4,1,3,34,19,100,0.150,31,3,3,49,0,1,24,1,50.0,0
272.11,201.75,118.61,102.6,787.83,639.5,0.49,0.45,303.13,290.54,34.75,36.08,50.83,35.69,362.12,302.42,35.25,32.71,14.55,18.9,90.21,86.17,19.0,14.17,359.21,306.47,14.45,15.0,1,4,57,22,157,0.223,51,2,8,71,5,1,34,0,77.0,0
272.11,170.21,118.61,95.79,787.83,534.57,0.49,0.54,303.13,186.33,34.75,28.9,50.83,39.75,362.12,235.0,35.25,34.7,14.55,11.0,90.21,48.33,19.0,11.0,359.21,235.46,14.45,9.5,1,3,40,8,93,0.344,39,5,5,58,3,2,14,2,54.0,1
272.11,159.29,118.61,95.59,787.83,493.18,0.49,0.47,303.13,167.07,34.75,39.27,50.83,36.2,362.12,204.25,35.25,35.57,14.55,11.1,90.21,48.5,19.0,10.09,359.21,224.41,14.45,10.82,1,3,38,9,97,0.299,36,5,3,57,2,3,18,1,55.0,0
