Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,43,25,141,0.128,39,1,9,71,6,1,9,4,49.5,0,Pacific,234.5,240.22,105.89,97.72,681.22,668.11,0.68,0.68,263.47,311.15,31.0,32.17,47.5,52.0,359.73,316.75,35.45,38.0,19.5,11.18,71.92,107.17,14.77,15.09,330.91,342.25,17.38,14.0
1,4,53,19,127,0.268,47,3,7,60,5,2,10,4,63.0,2,Auburn,234.5,252.84,105.89,105.79,681.22,704.47,0.68,0.49,263.47,280.56,31.0,38.92,47.5,60.73,359.73,315.61,35.45,31.92,19.5,17.9,71.92,83.75,14.77,18.08,330.91,350.15,17.38,6.67
0,3,31,19,114,0.105,31,3,6,55,9,1,2,2,36.0,0,Georgia Tech,234.5,300.62,105.89,126.69,681.22,842.06,0.68,0.57,263.47,378.33,31.0,31.54,47.5,43.92,359.73,449.62,35.45,31.83,19.5,22.3,71.92,101.17,14.77,14.18,330.91,432.14,17.38,14.5
0,3,42,16,102,0.255,35,3,10,34,6,0,4,3,47.0,0,South Carolina,234.5,206.6,105.89,79.45,681.22,529.2,0.68,0.51,263.47,255.07,31.0,26.2,47.5,41.33,359.73,236.39,35.45,30.0,19.5,15.64,71.92,76.77,14.77,12.08,330.91,273.47,17.38,5.33
1,5,64,40,161,0.149,60,4,10,63,6,1,14,3,76.0,0,Clemson,234.5,249.65,105.89,111.0,681.22,686.35,0.68,0.72,263.47,284.43,31.0,34.0,47.5,56.07,359.73,287.06,35.45,33.57,19.5,12.73,71.92,92.58,14.77,14.55,330.91,358.77,17.38,10.58
0,5,49,28,169,0.124,48,8,7,66,2,2,24,7,71.0,0,Winthrop,234.5,242.72,105.89,115.44,681.22,675.5,0.68,0.36,263.47,272.33,31.0,36.15,47.5,50.54,359.73,300.47,35.45,32.69,19.5,16.82,71.92,81.57,14.77,13.33,330.91,329.12,17.38,14.9
0,3,33,24,116,0.078,30,2,3,51,7,1,8,0,40.0,0,Davidson,234.5,212.32,105.89,97.05,681.22,626.32,0.68,0.5,263.47,251.0,31.0,36.42,47.5,38.15,359.73,296.71,35.45,38.85,19.5,22.7,71.92,84.86,14.77,12.92,330.91,311.29,17.38,15.5
1,3,48,10,117,0.325,45,6,5,58,4,7/,5,2,63.5,0,USC Upstate,234.5,320.27,105.89,140.8,681.22,995.2,0.68,0.58,263.47,342.62,31.0,39.62,47.5,50.14,359.73,489.14,35.45,43.5,19.5,17.29,71.92,96.82,14.77,13.64,330.91,426.61,17.38,14.0
0,4,54,27,155,0.174,52,1,2,60,4,3,8,2,62.0,1,Liberty,234.5,272.47,105.89,129.0,681.22,782.0,0.68,0.48,263.47,272.57,31.0,32.0,47.5,38.14,359.73,358.93,35.45,37.3,19.5,14.82,71.92,96.67,14.77,7.73,330.91,374.71,17.38,11.56
0,3,33,24,114,0.079,29,4,2,35,2,1,8,1,42.0,0,Cincinnati,234.5,286.19,105.89,111.5,681.22,770.56,0.68,0.64,263.47,328.62,31.0,31.5,47.5,59.31,359.73,345.73,35.45,31.36,19.5,13.8,71.92,112.0,14.77,10.8,330.91,407.93,17.38,9.91
1,4,58,25,146,0.226,52,10,6,78,4,2,2,1,71.0,1,Charlotte,234.5,255.69,105.89,110.25,681.22,768.75,0.68,0.57,263.47,296.38,31.0,34.46,47.5,44.0,359.73,362.27,35.45,38.67,19.5,24.4,71.92,86.62,14.77,17.64,330.91,356.4,17.38,14.7
1,5,70,26,194,0.227,69,7,6,84,5,5,20,2,92.0,2,ETSU,234.5,267.75,105.89,106.5,681.22,729.38,0.68,0.61,263.47,267.13,31.0,31.58,47.5,47.5,359.73,330.27,35.45,25.54,19.5,15.44,71.92,87.5,14.77,18.82,330.91,355.13,17.38,14.67
1,4,53,20,142,0.232,48,1,10,71,3,5,16,2,67.0,1,UNC Greensboro,234.5,251.16,105.89,104.21,681.22,728.21,0.68,0.44,263.47,299.13,31.0,36.5,47.5,49.14,359.73,351.94,35.45,29.38,19.5,19.09,71.92,74.5,14.77,11.42,330.91,326.03,17.38,14.89
1,3,41,18,110,0.209,39,6,6,51,2,1,10,3,53.0,1,Western Caro.,234.5,271.87,105.89,129.47,681.22,827.93,0.68,0.61,263.47,266.14,31.0,32.42,47.5,40.38,359.73,390.43,35.45,39.64,19.5,17.8,71.92,107.36,14.77,13.77,330.91,373.96,17.38,9.91
0,3,29,22,119,0.059,27,4,7,57,3,4,4,2,39.0,2,UNC Greensboro,234.5,251.16,105.89,104.21,681.22,728.21,0.68,0.44,263.47,299.13,31.0,36.5,47.5,49.14,359.73,351.94,35.45,29.38,19.5,19.09,71.92,74.5,14.77,11.42,330.91,326.03,17.38,14.89
0,3,29,16,85,0.153,28,5,2,35,7,3,2,0,38.0,3,Wofford,234.5,228.15,105.89,109.15,681.22,636.9,0.68,0.44,263.47,267.31,31.0,33.87,47.5,57.14,359.73,290.0,35.45,35.71,19.5,11.15,71.92,76.0,14.77,10.21,330.91,321.44,17.38,13.7
1,4,52,15,130,0.285,52,3,8,56,3,4,18,2,68.0,1,The Citadel,234.5,237.32,105.89,110.95,681.22,723.68,0.68,0.41,263.47,283.0,31.0,36.69,47.5,50.92,359.73,339.33,35.45,35.14,19.5,13.78,71.92,77.0,14.77,15.33,330.91,332.29,17.38,16.5
0,3,44,17,123,0.220,44,1,7,58,2,2,10,4,52.0,5,Mercer,234.5,233.78,105.89,93.0,681.22,672.44,0.68,0.55,263.47,303.0,31.0,54.11,47.5,57.73,359.73,331.94,35.45,30.12,19.5,15.8,71.92,92.5,14.77,15.5,330.91,338.0,17.38,26.67
0,5,64,26,212,0.179,63,1,6,111,2,4,22,4,80.0,7,The Citadel,234.5,237.32,105.89,110.95,681.22,723.68,0.68,0.41,263.47,283.0,31.0,36.69,47.5,50.92,359.73,339.33,35.45,35.14,19.5,13.78,71.92,77.0,14.77,15.33,330.91,332.29,17.38,16.5
1,4,54,20,129,0.264,50,5,6,50,2,3,6,3,65.0,2,Wofford,234.5,228.15,105.89,109.15,681.22,636.9,0.68,0.44,263.47,267.31,31.0,33.87,47.5,57.14,359.73,290.0,35.45,35.71,19.5,11.15,71.92,76.0,14.77,10.21,330.91,321.44,17.38,13.7
0,4,48,23,154,0.162,43,4,7,60,5,0,8,2,56.0,2,Samford,234.5,296.76,105.89,116.47,681.22,797.71,0.68,0.71,263.47,334.57,31.0,34.58,47.5,57.64,359.73,375.8,35.45,43.78,19.5,13.1,71.92,110.36,14.77,17.0,330.91,387.38,17.38,17.12
0,3,38,24,113,0.124,34,2,4,51,6,4,2,2,45.0,2,Chattanooga,234.5,255.41,105.89,110.76,681.22,737.12,0.68,0.55,263.47,290.36,31.0,35.62,47.5,46.08,359.73,346.12,35.45,29.93,19.5,17.78,71.92,86.75,14.77,12.82,330.91,342.84,17.38,13.12
0,3,38,19,109,0.174,36,3,4,53,5,0,4,1,43.0,6,Western Caro.,234.5,271.87,105.89,129.47,681.22,827.93,0.68,0.61,263.47,266.14,31.0,32.42,47.5,40.38,359.73,390.43,35.45,39.64,19.5,17.8,71.92,107.36,14.77,13.77,330.91,373.96,17.38,9.91
0,5,37,39,167,-0.012,34,7,3,85,8,5,4,3,51.0,5,Mercer,234.5,233.78,105.89,93.0,681.22,672.44,0.68,0.55,263.47,303.0,31.0,54.11,47.5,57.73,359.73,331.94,35.45,30.12,19.5,15.8,71.92,92.5,14.77,15.5,330.91,338.0,17.38,26.67
1,4,64,10,150,0.360,60,2,9,76,3,5,6,2,74.0,1,Samford,234.5,296.76,105.89,116.47,681.22,797.71,0.68,0.71,263.47,334.57,31.0,34.58,47.5,57.64,359.73,375.8,35.45,43.78,19.5,13.1,71.92,110.36,14.77,17.0,330.91,387.38,17.38,17.12
0,4,42,24,141,0.128,40,3,6,49,6,3,8,2,52.0,4,ETSU,234.5,267.75,105.89,106.5,681.22,729.38,0.68,0.61,263.47,267.13,31.0,31.58,47.5,47.5,359.73,330.27,35.45,25.54,19.5,15.44,71.92,87.5,14.77,18.82,330.91,355.13,17.38,14.67
0,4,36,24,137,0.088,33,5,5,59,7,1,11,1,47.5,3,Chattanooga,234.5,255.41,105.89,110.76,681.22,737.12,0.68,0.55,263.47,290.36,31.0,35.62,47.5,46.08,359.73,346.12,35.45,29.93,19.5,17.78,71.92,86.75,14.77,12.82,330.91,342.84,17.38,13.12
1,3,48,11,111,0.333,46,7,10,65,4,2,8,2,61.0,1,The Citadel,234.5,237.32,105.89,110.95,681.22,723.68,0.68,0.41,263.47,283.0,31.0,36.69,47.5,50.92,359.73,339.33,35.45,35.14,19.5,13.78,71.92,77.0,14.77,15.33,330.91,332.29,17.38,16.5
0,4,53,27,173,0.150,52,4,4,79,2,4,6,2,64.0,3,ETSU,234.5,267.75,105.89,106.5,681.22,729.38,0.68,0.61,263.47,267.13,31.0,31.58,47.5,47.5,359.73,330.27,35.45,25.54,19.5,15.44,71.92,87.5,14.77,18.82,330.91,355.13,17.38,14.67
