Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
205.09,245.55,95.18,91.95,586.09,650.25,0.42,0.58,261.75,285.5,35.57,30.85,46.19,42.0,276.55,307.06,30.75,26.0,19.56,10.75,83.08,119.21,13.18,13.17,301.37,330.29,18.42,15.5,0,3,34,24,108,0.093,30,3,7,44,5,0,4,1,39.0,1
205.09,240.17,95.18,111.44,586.09,663.5,0.42,0.48,261.75,286.21,35.57,25.36,46.19,50.67,276.55,304.93,30.75,27.14,19.56,10.9,83.08,137.73,13.18,21.0,301.37,326.15,18.42,18.5,0,3,29,28,96,0.010,29,3,6,35,4,1,16,3,41.0,0
205.09,211.18,95.18,77.41,586.09,534.32,0.42,0.24,261.75,311.64,35.57,26.13,46.19,48.13,276.55,225.38,30.75,28.58,19.56,28.38,83.08,126.0,13.18,15.2,301.37,294.75,18.42,8.86,0,3,18,23,79,-0.063,18,0,9,22,4,0,2,2,19.0,4
205.09,245.25,95.18,114.15,586.09,678.1,0.42,0.43,261.75,287.0,35.57,28.43,46.19,32.79,276.55,337.88,30.75,33.71,19.56,27.2,83.08,127.92,13.18,38.0,301.37,333.82,18.42,12.56,1,3,39,14,91,0.275,34,10,3,35,1,1,12,3,56.0,5
205.09,271.65,95.18,125.47,586.09,879.18,0.42,0.43,261.75,266.88,35.57,40.46,46.19,51.07,276.55,439.69,30.75,37.62,19.56,17.56,83.08,93.57,13.18,18.0,301.37,372.31,18.42,15.83,1,4,60,22,144,0.264,57,4,7,78,10,2,10,3,71.0,1
205.09,159.29,95.18,95.59,586.09,493.18,0.42,0.47,261.75,167.07,35.57,39.27,46.19,36.2,276.55,204.25,30.75,35.57,19.56,11.1,83.08,48.5,13.18,10.09,301.37,224.41,18.42,10.82,1,4,47,20,111,0.243,45,14,10,55,7,1,12,3,68.0,2
205.09,237.32,95.18,110.95,586.09,723.68,0.42,0.41,261.75,283.0,35.57,36.69,46.19,50.92,276.55,339.33,30.75,35.14,19.56,13.78,83.08,77.0,13.18,15.33,301.37,332.29,18.42,16.5,1,5,62,18,160,0.275,58,10,8,65,11,3,14,3,82.0,0
205.09,242.72,95.18,115.44,586.09,675.5,0.42,0.36,261.75,272.33,35.57,36.15,46.19,50.54,276.55,300.47,30.75,32.69,19.56,16.82,83.08,81.57,13.18,13.33,301.37,329.12,18.42,14.9,0,5,60,23,160,0.231,58,10,9,54,6,3,8,2,77.0,1
205.09,311.67,95.18,145.6,586.09,839.33,0.42,0.58,261.75,363.17,35.57,36.42,46.19,51.62,276.55,359.79,30.75,45.5,19.56,30.38,83.08,119.2,13.18,27.89,301.37,425.07,18.42,19.38,1,4,51,15,124,0.290,48,4,13,52,5,3,18,0,67.0,4
205.09,263.2,95.18,118.33,586.09,708.73,0.42,0.71,261.75,306.5,35.57,35.55,46.19,46.91,276.55,330.0,30.75,40.08,19.56,24.67,83.08,71.42,13.18,13.18,301.37,356.39,18.42,8.88,1,5,65,25,156,0.256,58,8,12,61,6,2,8,2,79.0,4
