Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
300.62,252.84,126.69,105.79,842.06,704.47,0.57,0.49,378.33,280.56,31.54,38.92,43.92,60.73,449.62,315.61,31.83,31.92,22.3,17.9,101.17,83.75,14.18,18.08,432.14,350.15,14.5,6.67,1,4,48,19,144,0.201,44,6,8,76,3,1,8,3,59.0,0
300.62,234.5,126.69,105.89,842.06,681.22,0.57,0.68,378.33,263.47,31.54,31.0,43.92,47.5,449.62,359.73,31.83,35.45,22.3,19.5,101.17,71.92,14.18,14.77,432.14,330.91,14.5,17.38,1,3,41,8,111,0.297,37,9,7,54,3,1,16,1,59.0,1
300.62,240.22,126.69,97.72,842.06,668.11,0.57,0.68,378.33,311.15,31.54,32.17,43.92,52.0,449.62,316.75,31.83,38.0,22.3,11.18,101.17,107.17,14.18,15.09,432.14,342.25,14.5,14.0,1,4,55,25,184,0.163,51,3,7,88,2,2,18,0,69.0,1
300.62,301.27,126.69,132.0,842.06,830.0,0.57,0.67,378.33,322.0,31.54,39.64,43.92,50.0,449.62,366.36,31.83,44.3,22.3,16.3,101.17,90.33,14.18,20.0,432.14,404.29,14.5,13.5,1,3,35,9,88,0.295,32,5,5,35,4,3,8,1,47.0,0
300.62,255.63,126.69,98.42,842.06,676.63,0.57,0.74,378.33,328.86,31.54,30.08,43.92,44.31,449.62,311.65,31.83,23.0,22.3,13.7,101.17,129.45,14.18,16.5,432.14,404.47,14.5,7.8,0,5,66,29,217,0.171,62,3,5,103,3,4,20,5,83.0,0
300.62,296.56,126.69,112.33,842.06,767.22,0.57,0.7,378.33,331.4,31.54,31.54,43.92,42.8,449.62,323.53,31.83,29.15,22.3,23.09,101.17,119.58,14.18,15.09,432.14,419.97,14.5,13.86,0,4,54,38/,170,0.094,51,4,4,83,5,3,2,2,62.0,0
300.62,228.78,126.69,96.5,842.06,651.0,0.57,0.49,378.33,259.47,31.54,33.77,43.92,51.27,449.62,301.47,31.83,29.71,22.3,16.3,101.17,88.91,14.18,20.18,432.14,325.56,14.5,12.25,1,5,72,18,185,0.292,71,5,15,89,5,3,14,1,87.0,1
300.62,193.56,126.69,98.5,842.06,577.5,0.57,0.4,378.33,215.33,31.54,40.08,43.92,49.93,449.62,279.44,31.83,33.57,22.3,11.0,101.17,64.75,14.18,12.08,432.14,262.56,14.5,11.91,1,3,40,12,89,0.315,38,8,1,43,3,1,8,2,53.0,3
300.62,251.76,126.69,102.29,842.06,670.18,0.57,0.63,378.33,266.33,31.54,34.46,43.92,47.53,449.62,286.06,31.83,37.17,22.3,9.82,101.17,94.75,14.18,14.92,432.14,337.78,14.5,8.88,1,3,45,18,119,0.227,41,3,4,57,5,2,18,2,59.0,1
300.62,250.12,126.69,98.29,842.06,663.76,0.57,0.41,378.33,284.21,31.54,34.67,43.92,47.46,449.62,317.67,31.83,36.11,22.3,27.9,101.17,67.62,14.18,10.73,432.14,384.75,14.5,13.2,0,4,44,25,144,0.132,43,0,7,68,7,4,4,1,50.0,0
