Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,44,12,95,0.337,42,3,6,35,3,0,10,0,52.0,0,Arkansas,225.21,277.6,91.11,121.07,583.47,755.47,0.53,0.14,336.83,327.5,25.5,31.36,40.67,59.69,255.76,351.38,25.6,37.8,12.11,14.11,115.69,113.82,16.27,17.18,305.39,375.86,10.0,14.25
0,5,61,18,141,0.305,59,3,9,58,5,2,28,2,80.0,2,Missouri St.,225.21,249.33,91.11,95.76,583.47,695.38,0.53,0.47,336.83,327.27,25.5,37.45,40.67,45.27,255.76,325.5,25.6,32.36,12.11,20.38,115.69,76.64,16.27,11.55,305.39,317.38,10.0,19.67
1,4,57,25,145,0.221,54,2,4,58,4,1,18,4,69.0,1,Xavier,225.21,299.24,91.11,117.88,583.47,770.94,0.53,0.67,336.83,313.8,25.5,37.82,40.67,45.4,255.76,346.33,25.6,34.33,12.11,18.9,115.69,98.67,16.27,14.33,305.39,392.75,10.0,11.11
0,5,56,29,153,0.176,54,4,2,59,2,0,30,2,75.0,2,Stanford,225.21,296.56,91.11,111.78,583.47,766.17,0.53,0.26,336.83,358.21,25.5,30.08,40.67,41.85,255.76,349.44,25.6,32.64,12.11,22.67,115.69,141.69,16.27,19.15,305.39,454.93,10.0,8.0
0,5,60,22,155,0.245,57,5,9,53,5,4,24,4,81.0,0,Colorado,225.21,262.11,91.11,104.33,583.47,715.5,0.53,0.62,336.83,341.15,25.5,26.92,40.67,42.62,255.76,327.12,25.6,27.58,12.11,14.67,115.69,117.77,16.27,16.42,305.39,371.16,10.0,9.25
0,3,28,22,95,0.063,28,1,3,38,8,1,6,3,33.0,0,Oregon,225.21,281.71,91.11,100.24,583.47,732.24,0.53,0.56,336.83,300.8,25.5,28.08,40.67,46.86,255.76,328.06,25.6,27.33,12.11,14.36,115.69,95.46,16.27,13.75,305.39,370.78,10.0,10.11
1,3,30,9,64,0.328,28,4,4,33,7,2,20,1,46.0,0,Belmont,225.21,259.2,91.11,127.27,583.47,754.13,0.53,0.41,336.83,261.29,25.5,45.82,40.67,78.64,255.76,336.29,25.6,35.27,12.11,9.11,115.69,106.0,16.27,16.45,305.39,361.21,10.0,23.57
1,3,42,9,72,0.458,41,8,4,38,3,2,14,3,59.0,0,Omaha,225.21,261.31,91.11,117.5,583.47,793.69,0.53,0.61,336.83,278.71,25.5,33.46,40.67,51.47,255.76,381.87,25.6,37.5,12.11,11.9,115.69,68.77,16.27,17.31,305.39,345.47,10.0,11.55
1,3,47,5,87,0.483,46,3,6,35,0,0,14,4,57.0,0,Murray St.,225.21,316.2,91.11,138.6,583.47,903.87,0.53,0.61,336.83,344.92,25.5,40.55,40.67,44.75,255.76,431.07,25.6,38.55,12.11,15.2,115.69,82.17,16.27,17.56,305.39,416.71,10.0,16.55
1,3,35,10,87,0.287,32,6,7,37,3,0,24,4,53.0,1,Saint Louis,225.21,234.47,91.11,100.63,583.47,600.68,0.53,0.58,336.83,245.24,25.5,36.93,40.67,51.47,255.76,246.06,25.6,34.64,12.11,12.25,115.69,85.07,16.27,15.77,305.39,314.75,10.0,12.75
1,5,61,27,154,0.221,55,7,10,45,4,2,24,3,82.0,0,Purdue,225.21,336.87,91.11,136.33,583.47,827.13,0.53,0.75,336.83,336.86,25.5,44.11,40.67,62.17,255.76,343.14,25.6,41.3,12.11,23.56,115.69,132.56,16.27,24.22,305.39,481.42,10.0,8.38
1,3,44,17,96,0.281,42,3,4,50,1,1,18,1,57.0,0,Rutgers,225.21,227.06,91.11,107.62,583.47,606.69,0.53,0.76,336.83,239.07,25.5,33.62,40.67,45.08,255.76,229.87,25.6,43.69,12.11,11.5,115.69,106.25,16.27,14.2,305.39,319.97,10.0,12.38
0,3,37,16,104,0.202,36,2,6,33,3,0,14,3,46.0,0,Nebraska,225.21,292.81,91.11,110.88,583.47,759.62,0.53,0.45,336.83,335.31,25.5,32.09,40.67,60.55,255.76,342.87,25.6,25.45,12.11,19.25,115.69,144.7,16.27,19.67,305.39,394.37,10.0,8.57
1,5,58,27,146,0.212,55,5,9,71,11,4,26,1,80.0,2,Maryland,225.21,231.72,91.11,106.89,583.47,644.44,0.53,0.48,336.83,278.71,25.5,34.75,40.67,54.29,255.76,285.94,25.6,43.67,12.11,15.67,115.69,125.27,16.27,17.6,305.39,361.2,10.0,12.89
1,3,41,13,90,0.311,39,7,9,38,2,2,12,1,56.0,0,Northwestern,225.21,219.47,91.11,90.84,583.47,589.79,0.53,0.53,336.83,298.92,25.5,32.15,40.67,47.81,255.76,249.56,25.6,35.23,12.11,15.75,115.69,75.85,16.27,15.31,305.39,292.78,10.0,8.22
0,4,52,16,145,0.248,50,1,6,60,10,0,12,3,59.0,0,Wisconsin,225.21,289.29,91.11,109.53,583.47,754.76,0.53,0.15,336.83,331.57,25.5,35.5,40.67,62.91,255.76,415.0,25.6,25.55,12.11,15.89,115.69,140.09,16.27,17.78,305.39,386.66,10.0,7.12
1,3,53,17,113,0.319,49,0,10,42,3,0,16,1,61.0,1,Michigan St.,225.21,247.89,91.11,104.67,583.47,635.61,0.53,0.62,336.83,275.53,25.5,35.56,40.67,52.13,255.76,276.25,25.6,46.9,12.11,13.27,115.69,111.58,16.27,18.5,305.39,343.91,10.0,6.0
