Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,44,16,114,0.246,41,8,10,43,5,4,6,1,59.0,0,Winthrop,269.5,242.72,115.29,115.44,801.64,675.5,0.66,0.36,291.08,272.33,30.82,36.15,49.82,50.54,387.54,300.47,42.0,32.69,21.88,16.82,77.0,81.57,9.44,13.33,359.38,329.12,15.9,14.9
1,4,57,26,164,0.189,51,7,10,77,5,1,14,0,72.0,2,Davidson,269.5,212.32,115.29,97.05,801.64,626.32,0.66,0.5,291.08,251.0,30.82,36.42,49.82,38.15,387.54,296.71,42.0,38.85,21.88,22.7,77.0,84.86,9.44,12.92,359.38,311.29,15.9,15.5
0,4,47,24,146,0.158,45,3,11,72,4,1,12,2,57.0,2,UNCW,269.5,221.0,115.29,94.16,801.64,673.58,0.66,0.34,291.08,259.0,30.82,26.86,49.82,36.27,387.54,335.12,42.0,35.7,21.88,15.5,77.0,95.85,9.44,12.08,359.38,314.88,15.9,14.22
1,3,38,16,95,0.232,36,4,8,47,3,1,6,0,46.0,1,Presbyterian,269.5,260.33,115.29,123.67,801.64,788.33,0.66,0.14,291.08,258.43,30.82,38.38,49.82,52.08,387.54,369.86,42.0,38.93,21.88,16.2,77.0,69.27,9.44,13.1,359.38,353.36,15.9,18.91
0,3,29,15,116,0.121,28,4,6,46,3,0,6,2,36.0,3,UIC,269.5,252.0,115.29,102.83,801.64,686.28,0.66,0.57,291.08,266.56,30.82,34.64,49.82,49.77,387.54,295.0,42.0,32.08,21.88,14.4,77.0,108.82,9.44,13.27,359.38,353.72,15.9,16.43
0,4,60,24,169,0.213,60,2,8,85,8,4,14,0,73.0,1,Charlotte,269.5,255.69,115.29,110.25,801.64,768.75,0.66,0.57,291.08,296.38,30.82,34.46,49.82,44.0,387.54,362.27,42.0,38.67,21.88,24.4,77.0,86.62,9.44,17.64,359.38,356.4,15.9,14.7
0,3,38,20,130,0.138,31,3,2,54,6,2,8,2,47.0,1,Memphis,269.5,268.81,115.29,117.38,801.64,807.12,0.66,0.54,291.08,308.46,30.82,35.75,49.82,59.62,387.54,378.87,42.0,34.83,21.88,14.11,77.0,89.64,9.44,19.45,359.38,365.63,15.9,11.58
0,3,23,19,92,0.043,23,3,1,42,9,2,6,0,31.0,2,Auburn,269.5,252.84,115.29,105.79,801.64,704.47,0.66,0.49,291.08,280.56,30.82,38.92,49.82,60.73,387.54,315.61,42.0,31.92,21.88,17.9,77.0,83.75,9.44,18.08,359.38,350.15,15.9,6.67
0,3,37,16,118,0.178,34,4,4,41,4,0,8,0,45.0,1,Marshall,269.5,231.68,115.29,89.11,801.64,609.05,0.66,0.56,291.08,240.35,30.82,25.79,49.82,40.8,387.54,287.82,42.0,29.36,21.88,13.55,77.0,65.57,9.44,15.0,359.38,335.69,15.9,17.29
0,3,30,22,109,0.073,28,0,4,39,3,1,2,0,32.0,1,Florida,269.5,213.2,115.29,69.95,801.64,515.1,0.66,0.61,291.08,337.08,30.82,24.62,49.82,41.43,387.54,237.06,42.0,25.6,21.88,13.4,77.0,89.08,9.44,13.75,359.38,311.59,15.9,19.4
