Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
255.63,293.06,98.42,118.56,676.63,797.72,0.74,0.7,328.86,309.19,30.08,30.21,44.31,50.69,311.65,383.44,23.0,27.43,13.7,26.0,129.45,116.2,16.5,16.6,404.47,408.69,7.8,8.55,1,4,42,19,119,0.193,37,5,11,51,2,4,20,1,61.0,0
255.63,198.7,98.42,74.35,676.63,531.35,0.74,0.43,328.86,199.44,30.08,27.07,44.31,35.25,311.65,234.84,23.0,21.93,13.7,10.18,129.45,92.54,16.5,13.45,404.47,281.47,7.8,6.71,1,4,62,24,173,0.220,60,6,11,83,8,3,18,0,80.0,0
255.63,289.29,98.42,109.53,676.63,754.76,0.74,0.15,328.86,331.57,30.08,35.5,44.31,62.91,311.65,415.0,23.0,25.55,13.7,15.89,129.45,140.09,16.5,17.78,404.47,386.66,7.8,7.12,0,3,33,17,105,0.152,33,2,4,38,3,1,8,2,40.0,0
255.63,296.56,98.42,112.33,676.63,767.22,0.74,0.7,328.86,331.4,30.08,31.54,44.31,42.8,311.65,323.53,23.0,29.15,13.7,23.09,129.45,119.58,16.5,15.09,404.47,419.97,7.8,13.86,0,4,69,31,169,0.225,66,2,5,67,4,2,6,0,76.0,0
255.63,300.62,98.42,126.69,676.63,842.06,0.74,0.57,328.86,378.33,30.08,31.54,44.31,43.92,311.65,449.62,23.0,31.83,13.7,22.3,129.45,101.17,16.5,14.18,404.47,432.14,7.8,14.5,1,5,64,30,209,0.163,63,3,8,110,3,2,28,4,83.0,0
255.63,301.27,98.42,132.0,676.63,830.0,0.74,0.67,328.86,322.0,30.08,39.64,44.31,50.0,311.65,366.36,23.0,44.3,13.7,16.3,129.45,90.33,16.5,20.0,404.47,404.29,7.8,13.5,1,3,47,8,93,0.419,45,6,7,48,2,0,12,1,59.0,0
255.63,301.75,98.42,130.62,676.63,776.88,0.74,0.6,328.86,324.07,30.08,41.64,44.31,60.0,311.65,314.67,23.0,33.54,13.7,19.0,129.45,106.42,16.5,14.82,404.47,406.37,7.8,4.0,1,4,57,7,119,0.420,57,6,11,49,5,1,24,6,76.0,0
255.63,242.21,98.42,108.32,676.63,663.21,0.74,0.52,328.86,290.27,30.08,33.15,44.31,53.27,311.65,284.44,23.0,44.5,13.7,18.46,129.45,80.77,16.5,19.08,404.47,341.06,7.8,8.62,1,3,40,16,96,0.250,39,7,5,50,3,1,6,0,51.0,0
255.63,306.0,98.42,111.59,676.63,805.18,0.74,0.58,328.86,344.21,30.08,36.69,44.31,48.94,311.65,368.88,23.0,43.2,13.7,18.56,129.45,121.3,16.5,19.36,404.47,430.17,7.8,10.4,1,4,62,23,169,0.231,57,5,13,56,1,1,18,2,77.0,0
255.63,277.6,98.42,121.07,676.63,755.47,0.74,0.14,328.86,327.5,30.08,31.36,44.31,59.69,311.65,351.38,23.0,37.8,13.7,14.11,129.45,113.82,16.5,17.18,404.47,375.86,7.8,14.25,1,3,43,12,114,0.272,41,3,4,51,0,2,20,4,58.0,0
255.63,227.06,98.42,82.78,676.63,591.5,0.74,0.55,328.86,294.69,30.08,32.0,44.31,40.14,311.65,274.5,23.0,27.62,13.7,14.33,129.45,104.56,16.5,19.56,404.47,314.91,7.8,16.83,1,4,56,17,134,0.291,50,8,7,49,3,0,10,4,69.0,0
255.63,238.47,98.42,98.58,676.63,626.16,0.74,0.61,328.86,385.73,30.08,37.91,44.31,48.25,311.65,314.6,23.0,44.75,13.7,25.0,129.45,75.21,16.5,15.45,404.47,333.79,7.8,15.12,1,4,65,18,137,0.343,65,9,8,61,2,2,4,5,78.0,1
255.63,241.67,98.42,92.83,676.63,650.17,0.74,0.54,328.86,270.8,30.08,24.86,44.31,46.0,311.65,298.71,23.0,34.2,13.7,15.44,129.45,79.77,16.5,14.46,404.47,315.03,7.8,10.3,1,4,55,14,149,0.275,48,5,13,58,1,4,20,2,74.0,0
255.63,276.56,98.42,117.28,676.63,775.61,0.74,0.53,328.86,331.71,30.08,35.67,44.31,47.87,311.65,348.0,23.0,35.17,13.7,12.7,129.45,138.42,16.5,14.75,404.47,397.72,7.8,7.0,0,3,36,17,143,0.133,36,4,5,66,2,2,17,0,50.5,0
255.63,260.21,98.42,84.42,676.63,648.79,0.74,0.27,328.86,357.38,30.08,28.75,44.31,56.93,311.65,320.12,23.0,26.08,13.7,12.55,129.45,110.08,16.5,19.9,404.47,405.83,7.8,8.5,0,5,69,25,176,0.250,66,4,11,68,4,0,16,2,81.0,0
255.63,184.0,98.42,76.17,676.63,510.0,0.74,0.45,328.86,220.94,30.08,26.62,44.31,31.84,311.65,234.76,23.0,23.94,13.7,11.67,129.45,82.15,16.5,13.25,404.47,262.6,7.8,11.0,1,3,46,13,107,0.308,45,5,6,43,1,0,8,1,55.0,0
255.63,247.47,98.42,93.41,676.63,700.0,0.74,0.61,328.86,324.33,30.08,35.0,44.31,53.91,311.65,433.75,23.0,34.78,13.7,11.0,129.45,114.0,16.5,18.45,404.47,375.79,7.8,13.44,1,4,71,22,163,0.301,69,5,7,74,5,3,12,4,85.0,0
