Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,19,18,86,0.012,17,2,9,26,10,0,4,3,23.0,0,La Salle,175.71,212.72,93.29,97.72,563.12,606.06,0.46,0.55,184.13,238.47,31.87,36.46,43.4,61.36,264.31,268.59,37.79,39.83,10.2,10.8,45.64,73.67,9.0,11.4,242.91,303.31,7.55,12.4
1,4,48,22,155,0.168,43,8,10,69,12,0,6,2,59.0,0,Fairleigh Dickinson,175.71,256.27,93.29,129.33,563.12,806.13,0.46,0.46,184.13,253.86,31.87,34.58,43.4,35.08,264.31,387.36,37.79,42.25,10.2,14.18,45.64,83.17,9.0,12.92,242.91,351.0,7.55,9.83
0,3,33,21,115,0.104,30,4,9,39,4,0,2,1,38.0,0,Providence,175.71,246.83,93.29,112.94,563.12,732.56,0.46,0.51,184.13,296.64,31.87,40.25,43.4,53.42,264.31,332.29,37.79,33.4,10.2,11.5,45.64,85.85,9.0,15.08,242.91,349.94,7.55,8.55
0,4,44,25,138,0.138,41,3,13,45,4,0,12,1,53.0,1,George Mason,175.71,191.74,93.29,98.0,563.12,553.63,0.46,0.38,184.13,228.87,31.87,26.14,43.4,50.86,264.31,245.22,37.79,30.54,10.2,11.45,45.64,78.46,9.0,10.69,242.91,273.24,7.55,15.83
0,4,43,18,130,0.192,42,7,13,65,6,1,14,2,58.0,2,Penn,175.71,166.45,93.29,64.86,563.12,498.68,0.46,0.39,184.13,241.71,31.87,34.46,43.4,36.6,264.31,283.17,37.79,47.6,10.2,13.12,45.64,57.67,9.0,13.0,242.91,240.05,7.55,12.86
0,4,29,28,122,0.008,27,5,11,42,10,0,10,2,39.0,5,Howard,175.71,209.37,93.29,95.16,563.12,582.47,0.46,0.4,184.13,245.73,31.87,30.77,43.4,53.33,264.31,264.22,37.79,33.8,10.2,13.78,45.64,76.5,9.0,18.08,242.91,279.86,7.55,12.5
0,4,41,28,157,0.083,40,7,13,68,10,1,14,1,56.0,0,NJIT,175.71,233.76,93.29,120.59,563.12,706.29,0.46,0.54,184.13,283.69,31.87,47.36,43.4,58.23,264.31,337.4,37.79,49.73,10.2,13.0,45.64,93.73,9.0,15.42,242.91,341.83,7.55,19.5
0,4,32,35,146,-0.021,32,4,8,63,9,1,18,0,46.0,0,St. Francis Brooklyn,175.71,236.25,93.29,119.31,563.12,708.38,0.46,0.43,184.13,229.87,31.87,44.75,43.4,63.67,264.31,310.6,37.79,40.86,10.2,14.2,45.64,77.31,9.0,10.92,242.91,330.77,7.55,13.7
0,4,39,19,161,0.124,37,5,11,76,5,0,6,1,47.0,0,Manhattan,175.71,237.28,93.29,105.94,563.12,690.67,0.46,0.63,184.13,306.46,31.87,38.31,43.4,50.08,264.31,351.67,37.79,50.45,10.2,16.56,45.64,78.92,9.0,14.75,242.91,359.43,7.55,11.92
0,3,23,10,76,0.171,23,3,8,32,8,2,4,2,30.0,0,Lehigh,175.71,238.35,93.29,109.06,563.12,671.18,0.46,0.55,184.13,237.94,31.87,32.5,43.4,44.07,264.31,294.44,37.79,32.21,10.2,20.8,45.64,62.93,9.0,10.67,242.91,322.22,7.55,9.5
