Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,24,20,90,0.044,21,4,10,34,5,0,0,0,28.0,0,Eastern Wash.,202.2,199.33,91.25,96.83,551.3,584.83,0.54,0.39,200.42,226.0,19.44,26.08,35.11,42.0,225.89,283.31,23.56,26.46,11.6,13.8,67.33,64.23,8.21,11.91,263.95,263.68,8.0,5.0
0,3,21,24,85,-0.035,19,0,8,19,7,1,8,2,26.0,0,Kansas,202.2,241.17,91.25,97.94,551.3,684.78,0.54,0.32,200.42,271.87,19.44,33.64,35.11,63.25,225.89,337.88,23.56,23.83,11.6,9.25,67.33,117.92,8.21,13.91,263.95,343.28,8.0,9.62
0,5,49,28,147,0.143,46,7,14,52,10,0,11,1,61.5,0,Mississippi St.,202.2,301.75,91.25,130.62,551.3,776.88,0.54,0.6,200.42,324.07,19.44,41.64,35.11,60.0,225.89,314.67,23.56,33.54,11.6,19.0,67.33,106.42,8.21,14.82,263.95,406.37,8.0,4.0
0,3,41,16,96,0.260,38,8,9,27,4,1,6,0,53.0,2,Idaho St.,202.2,315.8,91.25,136.33,551.3,911.53,0.54,0.67,200.42,341.69,19.44,47.0,35.11,43.15,225.89,432.21,23.56,37.75,11.6,13.88,67.33,120.1,8.21,9.6,263.95,451.65,8.0,7.89
0,5,59,38,158,0.133,59,2,11,47,2,1,12,1,68.0,1,Texas Southern,202.2,174.23,91.25,85.0,551.3,499.64,0.54,0.42,200.42,196.72,19.44,33.73,35.11,36.12,225.89,242.26,23.56,32.47,11.6,13.83,67.33,57.62,8.21,8.92,263.95,236.48,8.0,9.33
0,5,52,31,151,0.139,52,5,12,61,8,0,10,3,62.0,0,Houston,202.2,185.14,91.25,82.0,551.3,533.0,0.54,0.51,200.42,214.28,19.44,27.19,35.11,45.76,225.89,246.0,23.56,30.86,11.6,11.44,67.33,66.92,8.21,12.0,263.95,265.58,8.0,12.62
0,3,40,16,107,0.224,35,3,9,42,5,1,2,1,45.0,2,UTSA,202.2,242.18,91.25,94.82,551.3,649.76,0.54,0.46,200.42,258.93,19.44,35.29,35.11,54.27,225.89,291.94,23.56,30.71,11.6,12.5,67.33,97.36,8.21,15.36,263.95,329.47,8.0,18.0
0,3,32,17,92,0.163,26,2,6,34,6,1,14,1,42.0,2,Ohio,202.2,230.42,91.25,89.53,551.3,631.16,0.54,0.61,200.42,294.79,19.44,28.4,35.11,45.38,225.89,302.71,23.56,39.3,11.6,14.92,67.33,74.54,8.21,6.33,263.95,303.75,8.0,10.33
0,3,37,17,104,0.192,35,2,9,25,1,1,10,2,45.0,0,Oklahoma,202.2,219.2,91.25,82.65,551.3,557.55,0.54,0.6,200.42,241.53,19.44,20.86,35.11,31.93,225.89,249.22,23.56,23.92,11.6,13.3,67.33,83.07,8.21,15.0,263.95,283.71,8.0,6.0
0,3,20,25,93,-0.054,17,1,3,30,9,1,2,1,23.0,0,South Dakota,202.2,257.53,91.25,97.12,551.3,728.53,0.54,0.53,200.42,275.6,19.44,34.5,35.11,48.82,225.89,389.93,23.56,35.5,11.6,11.1,67.33,76.75,8.21,18.3,263.95,335.22,8.0,15.88
