Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
238.35,223.76,109.06,110.29,671.18,637.06,0.55,0.47,237.94,236.6,32.5,40.14,44.07,51.67,294.44,278.25,32.21,42.85,20.8,10.78,62.93,72.77,10.67,13.08,322.22,308.5,9.5,16.75,0,5,52,27,133,0.188,49,8,10,38,11,1,8,1,65.0,1
238.35,198.37,109.06,103.53,671.18,608.21,0.55,0.5,237.94,236.47,32.5,37.07,44.07,50.38,294.44,290.41,32.21,37.53,20.8,16.62,62.93,64.46,10.67,11.67,322.22,270.94,9.5,18.2,1,5,57,30,149,0.181,57,12,6,72,5,3,8,1,76.0,2
238.35,227.35,109.06,104.65,671.18,675.12,0.55,0.42,237.94,258.14,32.5,42.3,44.07,33.14,294.44,295.18,32.21,30.43,20.8,14.9,62.93,105.17,10.67,13.67,322.22,337.87,9.5,17.12,0,5,59,41/,185,0.097,58,4,8,85,5,3,12,3,72.0,1
238.35,246.83,109.06,112.94,671.18,732.56,0.55,0.51,237.94,296.64,32.5,40.25,44.07,53.42,294.44,332.29,32.21,33.4,20.8,11.5,62.93,85.85,10.67,15.08,322.22,349.94,9.5,8.55,0,5,61,32,191,0.152,55,2,9,76,6,8,19,1,80.5,1
238.35,256.27,109.06,129.33,671.18,806.13,0.55,0.46,237.94,253.86,32.5,34.58,44.07,35.08,294.44,387.36,32.21,42.25,20.8,14.18,62.93,83.17,10.67,12.92,322.22,351.0,9.5,9.83,1,3,46,18,113,0.248,40,6,6,47,3,0,10,0,57.0,0
238.35,238.47,109.06,98.58,671.18,626.16,0.55,0.61,237.94,385.73,32.5,37.91,44.07,48.25,294.44,314.6,32.21,44.75,20.8,25.0,62.93,75.21,10.67,15.45,322.22,333.79,9.5,15.12,0,3,28,16,94,0.128,27,3,10,44,4,2,10,1,38.0,5
238.35,263.38,109.06,130.25,671.18,809.12,0.55,0.44,237.94,279.86,32.5,41.36,44.07,62.0,294.44,385.73,32.21,36.5,20.8,12.67,62.93,97.45,10.67,12.18,322.22,354.6,9.5,17.0,0,4,43,21,151,0.146,40,6,10,55,4,1,22,0,61.0,2
238.35,255.32,109.06,104.68,671.18,673.42,0.55,0.53,237.94,344.54,32.5,37.91,44.07,55.36,294.44,309.53,32.21,29.79,20.8,19.18,62.93,74.0,10.67,15.0,322.22,374.81,9.5,11.91,0,3,31,15,91,0.176,30,3,10,37,6,0,2,0,35.0,3
238.35,245.39,109.06,92.83,671.18,659.28,0.55,0.58,237.94,275.87,32.5,34.77,44.07,51.86,294.44,338.2,32.21,36.33,20.8,12.0,62.93,101.7,10.67,11.36,322.22,343.59,9.5,6.5,0,3,25,20,104,0.048,23,2,4,30,3,0,0,2,27.0,3
238.35,276.33,109.06,125.27,671.18,859.6,0.55,0.54,237.94,321.5,32.5,34.58,44.07,43.0,294.44,459.23,32.21,32.64,20.8,15.9,62.93,95.82,10.67,17.55,322.22,374.71,9.5,28.0,1,4,63,32,166,0.187,60,7,5,76,5,0,10,3,75.0,3
238.35,278.28,109.06,110.11,671.18,712.44,0.55,0.29,237.94,360.23,32.5,46.92,44.07,51.87,294.44,319.75,32.21,39.77,20.8,15.5,62.93,118.85,10.67,13.92,322.22,382.32,9.5,13.83,0,3,26,17,83,0.108,25,3,3,33,10,1,0,2,30.0,2
238.35,317.8,109.06,106.2,671.18,791.93,0.55,0.57,237.94,374.67,32.5,46.0,44.07,75.9,294.44,374.54,32.21,50.88,20.8,28.11,62.93,91.8,10.67,18.11,322.22,424.21,9.5,13.38,0,3,24,21,87,0.034,23,6,4,28,1,1,4,2,33.0,6
238.35,175.71,109.06,93.29,671.18,563.12,0.55,0.46,237.94,184.13,32.5,31.87,44.07,43.4,294.44,264.31,32.21,37.79,20.8,10.2,62.93,45.64,10.67,9.0,322.22,242.91,9.5,7.55,1,3,44,15,102,0.284,40,8,9,41,3,0,4,1,54.0,0
238.35,158.0,109.06,69.6,671.18,462.04,0.55,0.4,237.94,206.5,32.5,26.69,44.07,32.53,294.44,224.26,32.21,34.55,20.8,14.47,62.93,48.06,10.67,11.5,322.22,207.44,9.5,13.5,1,4,59,23,156,0.231,56,2,8,64,6,9/,6,3,73.0,0
238.35,172.37,109.06,84.32,671.18,502.68,0.55,0.57,237.94,176.82,32.5,27.73,44.07,50.08,294.44,217.06,32.21,33.93,20.8,13.5,62.93,76.6,10.67,9.91,322.22,233.83,9.5,9.09,1,3,41,10,111,0.279,36,5,3,48,4,0,14,4,53.0,1
238.35,178.0,109.06,86.71,671.18,539.19,0.55,0.39,237.94,230.93,32.5,28.46,44.07,40.62,294.44,286.65,32.21,33.17,20.8,17.4,62.93,72.29,10.67,10.0,322.22,252.0,9.5,11.62,1,4,56,23,151,0.219,53,7,6,68,2,7,4,4,72.0,1
238.35,207.35,109.06,77.35,671.18,575.2,0.55,0.51,237.94,276.0,32.5,37.33,44.07,37.21,294.44,283.17,32.21,30.62,20.8,18.3,62.93,65.4,10.67,12.36,322.22,292.69,9.5,11.56,0,3,30,27,114,0.026,29,1,3,44,8,0,13,1,37.5,0
238.35,276.75,109.06,104.38,671.18,711.94,0.55,0.66,237.94,313.46,32.5,46.58,44.07,62.0,294.44,301.07,32.21,40.92,20.8,14.8,62.93,91.92,10.67,19.56,322.22,406.18,9.5,9.44,0,3,28,17,84,0.131,25,7,9,21,9,2,4,3,39.0,1
238.35,221.0,109.06,98.39,671.18,569.11,0.55,0.64,237.94,263.07,32.5,31.29,44.07,44.94,294.44,242.06,32.21,41.0,20.8,15.25,62.93,77.79,10.67,12.58,322.22,321.47,9.5,12.22,1,5,67,29,160,0.237,65,12,13,56,3,5,4,1,86.0/,0
