Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,67,25,171,0.246,61,10,9,63,3,4,6,8,84.0,4,Pepperdine,273.94,233.42,110.25,102.0,677.06,687.74,0.65,0.49,294.14,274.47,37.58,29.5,57.21,50.31,278.67,355.19,38.11,31.07,16.56,14.0,87.45,117.0,22.18,14.82,364.27,316.11,18.5,18.0
1,4,60,13,113,0.416,55,13,15,43,0,0,10,8,78.0,2,CSUN,273.94,256.94,110.25,110.25,677.06,705.38,0.65,0.59,294.14,255.53,37.58,35.0,57.21,36.93,278.67,308.67,38.11,43.27,16.56,16.5,87.45,83.17,22.18,15.2,364.27,346.33,18.5,6.3
1,3,50,16,109,0.312,48,8,6,38,2,3,2,9,62.0,0,Rhode Island,273.94,233.0,110.25,105.0,677.06,611.2,0.65,0.13,294.14,299.82,37.58,48.78,57.21,76.89,278.67,278.15,38.11,42.9,16.56,17.86,87.45,107.4,22.18,22.14,364.27,353.54,18.5,12.17
0,4,60,22,138,0.275,57,5,13,57,5,0,12,5,71.0,0,Texas,273.94,260.21,110.25,84.42,677.06,648.79,0.65,0.27,294.14,357.38,37.58,28.75,57.21,56.93,278.67,320.12,38.11,26.08,16.56,12.55,87.45,110.08,22.18,19.9,364.27,405.83,18.5,8.5
0,4,61,24,136,0.272,56,5,9,46,5,0,4,5,68.0,0,Army West Point,273.94,225.37,110.25,84.84,677.06,623.42,0.65,0.47,294.14,267.8,37.58,33.23,57.21,38.31,278.67,302.0,38.11,33.23,16.56,14.18,87.45,74.5,22.18,9.36,364.27,312.76,18.5,11.67
1,4,58,40,160,0.113,54,5,9,60,4,1,4,1,66.0,1,Northwestern,273.94,219.47,110.25,90.84,677.06,589.79,0.65,0.53,294.14,298.92,37.58,32.15,57.21,47.81,278.67,249.56,38.11,35.23,16.56,15.75,87.45,75.85,22.18,15.31,364.27,292.78,18.5,8.22
1,3,42,15,90,0.300,42,4,13,31,1,0,6,1,49.0,2,Ole Miss,273.94,281.29,110.25,119.12,677.06,769.0,0.65,0.54,294.14,317.86,37.58,29.0,57.21,51.85,278.67,373.2,38.11,32.55,16.56,20.8,87.45,96.64,22.18,16.22,364.27,393.23,18.5,15.67
1,3,44,23,126,0.167,41,4,9,55,1,3,10,0,56.0,4,Virginia Tech,273.94,214.1,110.25,88.65,677.06,596.9,0.65,0.55,294.14,233.47,37.58,27.29,57.21,43.18,278.67,273.37,38.11,39.0,16.56,13.15,87.45,77.14,22.18,13.0,364.27,298.61,18.5,15.3
0,5,73,43/,175,0.171,69,8,15,63,4,1,12,3,88.0,3,Louisville,273.94,233.28,110.25,104.22,677.06,646.94,0.65,0.49,294.14,260.73,37.58,29.79,57.21,54.29,278.67,280.65,38.11,32.31,16.56,11.11,87.45,108.64,22.18,14.5,364.27,312.56,18.5,16.43
0,3,35,19,99,0.162,31,1,11,32,2,1,2,0,38.0,3,Kentucky,273.94,268.69,110.25,107.94,677.06,699.56,0.65,0.54,294.14,332.0,37.58,33.9,57.21,52.92,278.67,299.4,38.11,29.4,16.56,19.75,87.45,110.17,22.18,18.42,364.27,363.8,18.5,5.78
