Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
258.88,185.14,109.82,82.0,745.0,533.0,0.6,0.51,313.85,214.28,37.0,27.19,53.2,45.76,351.25,246.0,36.38,30.86,17.33,11.44,66.33,66.92,18.5,12.0,365.87,265.58,19.5,12.62,0,4,43,29,140,0.100,40,8,12,59,6,2,10,3,58.0,0
258.88,214.56,109.82,90.78,745.0,598.11,0.6,0.49,313.85,261.71,37.0,31.42,53.2,38.46,351.25,284.88,36.38,32.55,17.33,15.36,66.33,102.08,18.5,14.62,365.87,338.1,19.5,28.6,0,4,53,31,130,0.169,51,7,10,41,8,1,12,2,67.0,1
258.88,292.53,109.82,131.24,745.0,823.65,0.6,0.54,313.85,312.33,37.0,49.9,53.2,57.15,351.25,407.27,36.38,56.22,17.33,10.64,66.33,113.08,18.5,20.8,365.87,395.25,19.5,21.6,0,5,60,31,153,0.190,60,9,7,55,2,4,12,6,79.0,1
258.88,263.38,109.82,130.25,745.0,809.12,0.6,0.44,313.85,279.86,37.0,41.36,53.2,62.0,351.25,385.73,36.38,36.5,17.33,12.67,66.33,97.45,18.5,12.18,365.87,354.6,19.5,17.0,0,5,52,21,147,0.211,48,3,14,68,7,2,18,1,66.0,5
258.88,245.71,109.82,118.65,745.0,673.59,0.6,0.58,313.85,261.4,37.0,33.71,53.2,41.81,351.25,296.27,36.38,38.67,17.33,16.33,66.33,87.54,18.5,16.09,365.87,335.31,19.5,13.67,0,5,58,18,139,0.288,51,6,11,53,5,1,22,4,76.0,1
258.88,176.95,109.82,100.68,745.0,504.21,0.6,-0.01,313.85,256.57,37.0,56.6,53.2,49.33,351.25,231.59,36.38,44.93,17.33,22.91,66.33,60.25,18.5,9.91,365.87,283.84,19.5,18.2,1,3,42,14,92,0.304,41,6,8,37,0,1,6,4,52.0,0
258.88,232.94,109.82,93.39,745.0,715.78,0.6,0.56,313.85,228.76,37.0,33.6,53.2,47.25,351.25,350.12,36.38,38.36,17.33,12.73,66.33,65.62,18.5,16.3,365.87,309.62,19.5,18.78,0,4,57,23,165,0.206,55,2,10,87,7,2,14,5,68.0,3
258.88,306.8,109.82,132.27,745.0,929.53,0.6,0.65,313.85,310.36,37.0,32.83,53.2,57.92,351.25,445.36,36.38,37.67,17.33,14.78,66.33,90.09,18.5,14.91,365.87,401.75,19.5,17.22,0,4,49,24,150,0.167,48,11,11,70,6,2,4,5,64.0,0
258.88,263.5,109.82,115.89,745.0,714.72,0.6,0.44,313.85,291.2,37.0,35.25,53.2,34.88,351.25,296.65,36.38,38.08,17.33,16.2,66.33,104.0,18.5,13.83,365.87,350.12,19.5,14.62,0,3,34,15,115,0.165,30,6,8,45,7,3,14,1,50.0,2
258.88,221.0,109.82,94.16,745.0,673.58,0.6,0.34,313.85,259.0,37.0,26.86,53.2,36.27,351.25,335.12,36.38,35.7,17.33,15.5,66.33,95.85,18.5,12.08,365.87,314.88,19.5,14.22,0,3,35,18,104,0.163,32,1,3,46,2,3,6,3,42.0,1
258.88,265.12,109.82,110.31,745.0,765.44,0.6,0.6,313.85,279.36,37.0,32.58,53.2,38.71,351.25,352.33,36.38,36.45,17.33,17.44,66.33,106.7,18.5,15.2,365.87,354.9,19.5,10.33,0,5,61,37,160,0.150,55,3,13,56,7,0,4,5,66.0,1
