Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,46,21,110,0.227,41,6,4,42,3,0,6,4,55.0,0,Eastern Mich.,231.72,240.18,106.89,108.18,644.44,683.0,0.48,0.59,278.71,253.6,34.75,42.8,54.29,44.15,285.94,310.81,43.67,45.36,15.67,13.33,125.27,71.58,17.6,11.22,361.2,364.32,12.89,14.43
1,3,35,14,75,0.280,31,6,5,28,2,4,29,2,59.5,0,Sacred Heart,231.72,209.55,106.89,96.65,644.44,568.35,0.48,0.49,278.71,281.86,34.75,38.58,54.29,53.58,285.94,304.93,43.67,31.17,15.67,10.89,125.27,108.27,17.6,12.62,361.2,314.56,12.89,17.0
1,3,32,7,73,0.342,26,10,10,29,0,3,12,1,51.0,1,Delaware St.,231.72,174.4,106.89,104.53,644.44,533.0,0.48,0.56,278.71,183.38,34.75,35.08,54.29,46.79,285.94,218.21,43.67,47.17,15.67,10.1,125.27,54.15,17.6,14.18,361.2,249.29,12.89,13.4
0,3,39,15,125,0.192,38,1,4,55,2,2,15,3,49.5,2,Kansas,231.72,241.17,106.89,97.94,644.44,684.78,0.48,0.32,278.71,271.87,34.75,33.64,54.29,63.25,285.94,337.88,43.67,23.83,15.67,9.25,125.27,117.92,17.6,13.91,361.2,343.28,12.89,9.62
1,4,60,23,168,0.220,58,0,8,61,7,1,24,1,73.0,2,Arkansas,231.72,277.6,106.89,121.07,644.44,755.47,0.48,0.14,278.71,327.5,34.75,31.36,54.29,59.69,285.94,351.38,43.67,37.8,15.67,14.11,125.27,113.82,17.6,17.18,361.2,375.86,12.89,14.25
1,3,38,18,83,0.241,35,8,5,29,0,0,18,1,55.0,1,Chicago St.,231.72,203.94,106.89,107.24,644.44,584.35,0.48,0.57,278.71,215.27,34.75,29.15,54.29,35.21,285.94,240.69,43.67,37.92,15.67,8.5,125.27,85.92,17.6,11.64,361.2,280.59,12.89,11.22
1,5,62,22,154,0.260,61,7,7,68,9,1,31,1,85.5,0,Princeton,231.72,181.26,106.89,67.0,644.44,479.74,0.48,0.5,278.71,219.53,34.75,32.8,54.29,37.42,285.94,252.31,43.67,29.1,15.67,13.0,125.27,58.58,17.6,10.6,361.2,249.44,12.89,11.75
0,5,50,26,159,0.151,48,3,9,56,4,1,22,2,65.0,1,Towson,231.72,198.38,106.89,80.96,644.44,544.17,0.48,0.49,278.71,223.35,34.75,35.86,54.29,46.38,285.94,285.95,43.67,34.58,15.67,12.3,125.27,80.57,17.6,15.33,361.2,283.33,12.89,14.92
1,3,45,14,102,0.304,39,5,7,37,3,1,13,2,57.5,1,Georgetown,231.72,227.58,106.89,102.0,644.44,622.47,0.48,0.58,278.71,271.6,34.75,38.0,54.29,44.8,285.94,263.17,43.67,36.38,15.67,12.67,125.27,80.58,17.6,14.82,361.2,298.75,12.89,8.0
0,3,29,25,97,0.041,29,0,9,35,2,1,19,4,39.5,1,Washington,231.72,298.94,106.89,111.75,644.44,784.5,0.48,0.64,278.71,371.83,34.75,33.15,54.29,48.0,285.94,345.33,43.67,38.44,15.67,12.4,125.27,135.82,17.6,22.75,361.2,405.67,12.89,10.57
0,3,38,20,131,0.137,34,5,13,46,6,1,10,3,49.0,1,Southern California,231.72,273.17,106.89,107.72,644.44,728.67,0.48,0.42,278.71,306.47,34.75,30.0,54.29,54.92,285.94,327.53,43.67,32.73,15.67,21.0,125.27,135.3,17.6,18.73,361.2,383.91,12.89,8.09
