Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
223.81,198.27,107.38,78.59,637.81,513.23,0.56,0.45,218.4,214.16,30.64,24.44,49.29,44.33,277.27,226.3,37.17,25.07,10.6,14.0,72.33,82.93,17.22,15.0,303.33,275.75,16.5,8.0,0,3,18,24,96,-0.062,16,2,7,27,9,3,10,2,28.0,0
223.81,286.19,107.38,111.5,637.81,770.56,0.56,0.64,218.4,328.62,30.64,31.5,49.29,59.31,277.27,345.73,37.17,31.36,10.6,13.8,72.33,112.0,17.22,10.8,303.33,407.93,16.5,9.91,0,4,42,25,131,0.130,41,6,13,41,8,0,6,3,51.0,2
223.81,253.88,107.38,104.18,637.81,641.53,0.56,0.43,218.4,307.23,30.64,35.27,49.29,57.36,277.27,313.08,37.17,32.27,10.6,15.8,72.33,100.92,17.22,18.67,303.33,364.5,16.5,10.17,0,3,30,20,82,0.122,29,4,13,18,6,0,10,5,39.0,0
223.81,178.05,107.38,87.14,637.81,538.71,0.56,0.44,218.4,194.94,30.64,23.31,49.29,25.5,277.27,260.74,37.17,23.88,10.6,13.7,72.33,68.79,17.22,11.42,303.33,236.52,16.5,5.89,0,4,44,28,141,0.113,40,8,12,63,10,2,12,3,60.0,0
223.81,271.06,107.38,103.53,637.81,778.41,0.56,0.48,218.4,283.87,30.64,28.14,49.29,43.21,277.27,378.75,37.17,26.71,10.6,11.82,72.33,81.23,17.22,11.91,303.33,353.75,16.5,14.11,0,3,24,25,85,-0.012,22,1,7,36,8,1,6,2,29.0,1
223.81,185.45,107.38,90.85,637.81,591.35,0.56,0.46,218.4,205.12,30.64,27.82,49.29,29.25,277.27,299.06,37.17,21.6,10.6,11.73,72.33,63.54,17.22,12.18,303.33,268.06,16.5,13.71,1,5,57,30,183,0.148,51,6,11,77,5,3,10,1,71.0,1
223.81,278.18,107.38,106.41,637.81,742.53,0.56,0.57,218.4,294.6,30.64,28.36,49.29,44.0,277.27,338.73,37.17,30.36,10.6,11.78,72.33,95.15,17.22,12.0,303.33,365.66,16.5,10.0,0,3,36,23,103,0.126,33,4,12,39,4,0,16,2,48.0,3
223.81,311.67,107.38,145.6,637.81,839.33,0.56,0.58,218.4,363.17,30.64,36.42,49.29,51.62,277.27,359.79,37.17,45.5,10.6,30.38,72.33,119.2,17.22,27.89,303.33,425.07,16.5,19.38,0,3,22,22,83,0,21,2,6,24,7,0,8,2,28.0,4
223.81,169.41,107.38,88.76,637.81,507.71,0.56,0.52,218.4,202.77,30.64,34.5,49.29,43.53,277.27,238.4,37.17,39.75,10.6,13.83,72.33,45.91,17.22,9.55,303.33,279.19,16.5,16.7,1,4,56,26,160,0.188,49,7,8,81,2,3,4,0,68.0,1
223.81,263.65,107.38,121.47,637.81,726.29,0.56,0.52,218.4,321.85,30.64,40.08,49.29,55.77,277.27,330.73,37.17,36.67,10.6,12.42,72.33,104.54,17.22,14.25,303.33,386.1,16.5,14.42,0,3,36,27,128,0.070,33,3,8,48,4,0,4,1,41.0,0
