Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,62,29,187,0.176,57,3,9,80,2,2,18,0,76.0,0,Bradley,225.61,206.17,105.56,87.67,633.94,599.44,0.48,0.54,292.46,251.07,34.6,18.64,39.25,33.0,277.76,279.53,26.21,23.77,15.92,8.9,90.5,78.91,14.5,11.17,326.97,280.94,8.5,11.22
1,3,43,11,85,0.376,38,3,3,38,5,0,26,0,59.0,0,Akron,225.61,237.29,105.56,102.18,633.94,651.65,0.48,0.68,292.46,309.17,34.6,35.73,39.25,39.5,277.76,299.4,26.21,28.85,15.92,11.67,90.5,79.73,14.5,12.64,326.97,331.37,8.5,20.67
1,3,38,13,84,0.298,37,4,2,51,3,0,14,0,49.0,0,Western Ill.,225.61,199.89,105.56,105.0,633.94,648.42,0.48,0.57,292.46,237.87,34.6,29.93,39.25,40.75,277.76,332.47,26.21,51.1,15.92,9.92,90.5,65.0,14.5,12.79,326.97,286.09,8.5,16.78
0,3,43,24,117,0.162,38,2,2,42,7,1,8,0,50.0,0,Dartmouth,225.61,137.54,105.56,67.08,633.94,436.62,0.48,0.3,292.46,167.44,34.6,26.29,39.25,29.25,277.76,214.27,26.21,22.62,15.92,17.25,90.5,52.62,14.5,5.17,326.97,201.33,8.5,12.25
1,5,63,25,159,0.239,59,6,5,63,8,4,23,3,84.5,0,Sacred Heart,225.61,209.55,105.56,96.65,633.94,568.35,0.48,0.49,292.46,281.86,34.6,38.58,39.25,53.58,277.76,304.93,26.21,31.17,15.92,10.89,90.5,108.27,14.5,12.62,326.97,314.56,8.5,17.0
1,3,36,10,77,0.338,36,7,4,31,5,1,20,2,54.0,1,George Mason,225.61,191.74,105.56,98.0,633.94,553.63,0.48,0.38,292.46,228.87,34.6,26.14,39.25,50.86,277.76,245.22,26.21,30.54,15.92,11.45,90.5,78.46,14.5,10.69,326.97,273.24,8.5,15.83
0,4,34,29,126,0.040,29,3,5,46,6,1,8,0,42.0,0,Xavier,225.61,299.24,105.56,117.88,633.94,770.94,0.48,0.67,292.46,313.8,34.6,37.82,39.25,45.4,277.76,346.33,26.21,34.33,15.92,18.9,90.5,98.67,14.5,14.33,326.97,392.75,8.5,11.11
0,4,40,26,131,0.107,36,6,6,42,8,2,2,1,49.0,0,Tennessee,225.61,198.27,105.56,78.59,633.94,513.23,0.48,0.45,292.46,214.16,34.6,24.44,39.25,44.33,277.76,226.3,26.21,25.07,15.92,14.0,90.5,82.93,14.5,15.0,326.97,275.75,8.5,8.0
1,5,57,27,167,0.180,47,8,15,55,3,3,6,0,71.0,0,Western Mich.,225.61,304.13,105.56,120.53,633.94,854.47,0.48,0.5,292.46,305.14,34.6,34.58,39.25,55.67,277.76,396.36,26.21,35.23,15.92,22.17,90.5,67.83,14.5,7.1,326.97,403.57,8.5,8.38
0,3,34,22,119,0.101,31,2,1,46,3,3,6,3,42.0,0,Missouri St.,225.61,249.33,105.56,95.76,633.94,695.38,0.48,0.47,292.46,327.27,34.6,37.45,39.25,45.27,277.76,325.5,26.21,32.36,15.92,20.38,90.5,76.64,14.5,11.55,326.97,317.38,8.5,19.67
0,3,37,15,112,0.196,36,5,3,51,5,1,4,0,45.0,2,Marquette,225.61,266.17,105.56,97.0,633.94,717.28,0.48,0.54,292.46,298.53,34.6,29.43,39.25,50.29,277.76,334.12,26.21,33.73,15.92,16.2,90.5,96.33,14.5,14.42,326.97,349.59,8.5,10.44
1,5,63,30,176,0.188,63,2,5,71,6,2,20,1,77.0,0,Northern Ky.,225.61,255.44,105.56,107.5,633.94,695.06,0.48,0.55,292.46,274.57,34.6,39.9,39.25,46.91,277.76,366.0,26.21,36.55,15.92,11.12,90.5,97.8,14.5,15.0,326.97,361.71,8.5,10.83
1,3,46,16,112,0.268,44,5,4,52,2,1,16,1,60.0,0,Wright St.,225.61,234.0,105.56,109.0,633.94,703.94,0.48,0.54,292.46,254.21,34.6,36.67,39.25,40.18,277.76,358.43,26.21,33.0,15.92,14.86,90.5,83.92,14.5,16.09,326.97,314.9,8.5,20.5
1,3,45,18,107,0.252,42,3,2,44,0,4,18,1,61.0,1,UIC,225.61,252.0,105.56,102.83,633.94,686.28,0.48,0.57,292.46,266.56,34.6,34.64,39.25,49.77,277.76,295.0,26.21,32.08,15.92,14.4,90.5,108.82,14.5,13.27,326.97,353.72,8.5,16.43
0,5,56,27,173,0.168,51,3,6,76,3,5,20,5,74.0,0,Green Bay,225.61,252.56,105.56,112.88,633.94,703.88,0.48,0.43,292.46,316.15,34.6,29.67,39.25,45.31,277.76,356.64,26.21,29.08,15.92,16.0,90.5,109.91,14.5,16.33,326.97,340.9,8.5,3.57
0,5,60,32,162,0.173,59,2,7,72,4,1,18,5,72.0,0,Cleveland St.,225.61,275.12,105.56,111.71,633.94,714.47,0.48,0.55,292.46,335.92,34.6,35.64,39.25,46.23,277.76,307.44,26.21,35.82,15.92,20.25,90.5,103.25,14.5,19.91,326.97,365.66,8.5,15.5
1,4,61,23,128,0.297,57,8,3,49,7,3,16,3,80.0,2,Youngstown St.,225.61,254.81,105.56,112.62,633.94,716.25,0.48,0.59,292.46,293.08,34.6,48.1,39.25,60.36,277.76,311.87,26.21,40.42,15.92,18.62,90.5,90.67,14.5,20.82,326.97,350.07,8.5,9.0
0,5,54,29,150,0.167,52,2,7,57,12,1,14,0,64.0,1,Oakland,225.61,253.11,105.56,118.33,633.94,691.72,0.48,0.46,292.46,285.07,34.6,46.17,39.25,57.42,277.76,359.07,26.21,38.08,15.92,15.5,90.5,143.2,14.5,23.88,326.97,396.67,8.5,12.43
1,4,57,39,183,0.098,54,2,4,94,2,3,16,1,70.0,0,Valparaiso,225.61,304.25,105.56,135.75,633.94,960.12,0.48,0.59,292.46,301.07,34.6,32.08,39.25,43.85,277.76,473.87,26.21,30.92,15.92,13.42,90.5,101.14,14.5,16.23,326.97,408.13,8.5,19.78
1,3,47,15,107,0.299,45,7,6,46,4,1,10,2,60.0,0,Youngstown St.,225.61,254.81,105.56,112.62,633.94,716.25,0.48,0.59,292.46,293.08,34.6,48.1,39.25,60.36,277.76,311.87,26.21,40.42,15.92,18.62,90.5,90.67,14.5,20.82,326.97,350.07,8.5,9.0
0,5,67,37,192,0.156,63,4,6,70,5,2,24,6,85.0,0,Cleveland St.,225.61,275.12,105.56,111.71,633.94,714.47,0.48,0.55,292.46,335.92,34.6,35.64,39.25,46.23,277.76,307.44,26.21,35.82,15.92,20.25,90.5,103.25,14.5,19.91,326.97,365.66,8.5,15.5
0,4,58,25,150,0.220,55,3,5,71,2,4,6,3,68.0,1,UIC,225.61,252.0,105.56,102.83,633.94,686.28,0.48,0.57,292.46,266.56,34.6,34.64,39.25,49.77,277.76,295.0,26.21,32.08,15.92,14.4,90.5,108.82,14.5,13.27,326.97,353.72,8.5,16.43
