Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,51,20,159,0.195,46,1,12,75,5,1,18,2,62.0,0,Murray St.,262.5,316.2,102.22,138.6,720.94,903.87,0.52,0.61,294.67,344.92,34.33,40.55,56.08,44.75,332.94,431.07,28.86,38.55,15.3,15.2,79.83,82.17,12.4,17.56,339.35,416.71,9.91,16.55
1,3,45,9,105,0.343,45,3,10,50,3,0,16,1,56.0,1,Youngstown St.,262.5,254.81,102.22,112.62,720.94,716.25,0.52,0.59,294.67,293.08,34.33,48.1,56.08,60.36,332.94,311.87,28.86,40.42,15.3,18.62,79.83,90.67,12.4,20.82,339.35,350.07,9.91,9.0
1,5,58,20,157,0.242,55,8,13,66,7,2,22,0,79.0,5,Ball St.,262.5,236.8,102.22,102.35,720.94,685.25,0.52,0.49,294.67,261.18,34.33,26.69,56.08,34.88,332.94,322.05,28.86,26.24,15.3,18.91,79.83,90.67,12.4,14.54,339.35,328.61,9.91,11.8
0,5,62,26,166,0.217,54,3,12,70,2,1,8,1,70.0,1,Western Mich.,262.5,304.13,102.22,120.53,720.94,854.47,0.52,0.5,294.67,305.14,34.33,34.58,56.08,55.67,332.94,396.36,28.86,35.23,15.3,22.17,79.83,67.83,12.4,7.1,339.35,403.57,9.91,8.38
0,3,41,21,114,0.175,39,5,4,50,2,0,8,1,50.0,0,Bowling Green,262.5,242.22,102.22,86.56,720.94,671.78,0.52,0.54,294.67,256.12,34.33,34.46,56.08,41.62,332.94,331.0,28.86,30.38,15.3,12.6,79.83,76.36,12.4,11.0,339.35,356.93,9.91,19.14
0,3,38,11,105,0.257,35,4,10,42,3,0,8,0,46.0,4,Northern Ky.,262.5,255.44,102.22,107.5,720.94,695.06,0.52,0.55,294.67,274.57,34.33,39.9,56.08,46.91,332.94,366.0,28.86,36.55,15.3,11.12,79.83,97.8,12.4,15.0,339.35,361.71,9.91,10.83
1,3,41,17,106,0.226,39,6,9,49,4,1,10,0,53.0,0,Eastern Mich.,262.5,240.18,102.22,108.18,720.94,683.0,0.52,0.59,294.67,253.6,34.33,42.8,56.08,44.15,332.94,310.81,28.86,45.36,15.3,13.33,79.83,71.58,12.4,11.22,339.35,364.32,9.91,14.43
0,4,47,29,143,0.126,45,7,13,45,2,2,8,2,60.0,5,Toledo,262.5,241.28,102.22,108.17,720.94,690.56,0.52,0.5,294.67,274.2,34.33,37.0,56.08,50.92,332.94,360.93,28.86,33.77,15.3,20.89,79.83,87.42,12.4,13.55,339.35,321.32,9.91,13.27
0,3,37,20,112,0.152,34,2,3,45,4,1,8,1,44.0,1,Marshall,262.5,231.68,102.22,89.11,720.94,609.05,0.52,0.56,294.67,240.35,34.33,25.79,56.08,40.8,332.94,287.82,28.86,29.36,15.3,13.55,79.83,65.57,12.4,15.0,339.35,335.69,9.91,17.29
0,4,60,21,141,0.277,53,7,11,54,8,0,10,3,72.0,4,American,262.5,276.75,102.22,104.38,720.94,711.94,0.52,0.66,294.67,313.46,34.33,46.58,56.08,62.0,332.94,301.07,28.86,40.92,15.3,14.8,79.83,91.92,12.4,19.56,339.35,406.18,9.91,9.44
0,5,63,23,156,0.256,58,6,15,60,4,2,10,4,76.0,5,Hofstra,262.5,264.71,102.22,106.59,720.94,703.06,0.52,0.56,294.67,301.07,34.33,40.91,56.08,49.31,332.94,313.87,28.86,43.2,15.3,12.7,79.83,96.08,12.4,12.09,339.35,356.34,9.91,14.78
0,5,55,21,164,0.207,53,8,9,54,6,1,24,5,76.0,1,Stony Brook,262.5,257.0,102.22,113.06,720.94,691.44,0.52,0.6,294.67,252.4,34.33,35.21,56.08,48.4,332.94,285.6,28.86,33.88,15.3,12.11,79.83,67.83,12.4,12.5,339.35,365.79,9.91,7.7
1,5,72,20,205,0.254,69,1,9,111,5,3,2,2,77.0,2,Omaha,262.5,261.31,102.22,117.5,720.94,793.69,0.52,0.61,294.67,278.71,34.33,33.46,56.08,51.47,332.94,381.87,28.86,37.5,15.3,11.9,79.83,68.77,12.4,17.31,339.35,345.47,9.91,11.55
1,3,45,13,117,0.274,41,3,7,61,1,3,10,0,56.0,1,Western Ill.,262.5,199.89,102.22,105.0,720.94,648.42,0.52,0.57,294.67,237.87,34.33,29.93,56.08,40.75,332.94,332.47,28.86,51.1,15.3,9.92,79.83,65.0,12.4,12.79,339.35,286.09,9.91,16.78
1,3,39,13,98,0.265,37,7,10,41,3,7/,6,1,56.0,0,Denver,262.5,261.76,102.22,99.88,720.94,697.24,0.52,0.55,294.67,262.38,34.33,30.14,56.08,44.67,332.94,315.81,28.86,32.09,15.3,17.0,79.83,110.91,12.4,15.3,339.35,375.67,9.91,8.58
1,5,69,24,190,0.237,65,3,5,99,4,7/,8,1,83.0,2,North Dakota St.,262.5,248.63,102.22,93.89,720.94,717.68,0.52,0.67,294.67,292.4,34.33,29.43,56.08,35.62,332.94,372.41,28.86,31.86,15.3,23.89,79.83,73.73,12.4,19.2,339.35,338.62,9.91,18.29
0,5,67,31,197,0.183,66,5,7,87,3,2,14,0,81.0,1,South Dakota,262.5,257.53,102.22,97.12,720.94,728.53,0.52,0.53,294.67,275.6,34.33,34.5,56.08,48.82,332.94,389.93,28.86,35.5,15.3,11.1,79.83,76.75,12.4,18.3,339.35,335.22,9.91,15.88
1,4,57,22,140,0.250,53,7,7,54,4,1,4,0,67.0,1,South Dakota St.,262.5,222.5,102.22,102.5,720.94,651.94,0.52,0.69,294.67,242.71,34.33,34.45,56.08,42.83,332.94,322.36,28.86,30.64,15.3,11.22,79.83,68.36,12.4,17.0,339.35,339.69,9.91,13.4
