Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,32,26,131,0.046,29,10,8,48,7,1,22,0,54.0,0,Rutgers,225.94,227.06,93.89,107.62,638.17,606.69,0.52,0.76,236.75,239.07,49.36,33.62,47.64,45.08,292.41,229.87,36.86,43.69,10.45,11.5,63.07,106.25,14.18,14.2,303.91,319.97,21.57,12.38
1,5,54,24,148,0.203,52,7,12,61,6,1,18,3,71.0,1,Hartford,225.94,185.33,93.89,93.61,638.17,547.5,0.52,0.12,236.75,259.92,49.36,41.36,47.64,54.08,292.41,250.25,36.86,35.43,10.45,14.11,63.07,85.8,14.18,14.44,303.91,255.71,21.57,14.43
0,3,28,12,103,0.155,27,2,7,40,6,1,4,2,33.0,5,Bryant,225.94,235.85,93.89,107.25,638.17,663.45,0.52,0.42,236.75,275.25,49.36,32.07,47.64,34.12,292.41,296.26,36.86,26.61,10.45,11.09,63.07,83.79,14.18,13.73,303.91,310.87,21.57,13.42
1,4,46,27,150,0.127,43,8,5,73,6,4,10,5,63.0,0,St. Francis Brooklyn,225.94,236.25,93.89,119.31,638.17,708.38,0.52,0.43,236.75,229.87,49.36,44.75,47.64,63.67,292.41,310.6,36.86,40.86,10.45,14.2,63.07,77.31,14.18,10.92,303.91,330.77,21.57,13.7
0,3,27,18,90,0.100,26,4,6,29,7,1,12,0,38.0,5,American,225.94,276.75,93.89,104.38,638.17,711.94,0.52,0.66,236.75,313.46,49.36,46.58,47.64,62.0,292.41,301.07,36.86,40.92,10.45,14.8,63.07,91.92,14.18,19.56,303.91,406.18,21.57,9.44
0,3,30,16,99,0.141,26,3,7,39,6,1,14,4,41.0,0,Navy,225.94,158.0,93.89,69.6,638.17,462.04,0.52,0.4,236.75,206.5,49.36,26.69,47.64,32.53,292.41,224.26,36.86,34.55,10.45,14.47,63.07,48.06,14.18,11.5,303.91,207.44,21.57,13.5
0,3,35,17,91,0.198,33,1,5,42,8,0,8,3,40.0,0,UMES,225.94,242.71,93.89,103.36,638.17,644.36,0.52,0.56,236.75,261.17,49.36,48.33,47.64,59.38,292.41,304.5,36.86,39.85,10.45,15.73,63.07,64.75,14.18,13.0,303.91,349.19,21.57,20.67
0,5,60,21,155,0.252,55,5,8,61,8,0,14,0,72.0,2,Boston College,225.94,234.61,93.89,105.72,638.17,659.17,0.52,0.52,236.75,247.25,49.36,29.57,47.64,37.53,292.41,285.59,36.86,28.33,10.45,10.3,63.07,96.08,14.18,13.58,303.91,332.28,21.57,15.89
1,3,45,16,123,0.236,40,7,7,57,1,1,4,0,55.0,0,Fairleigh Dickinson,225.94,256.27,93.89,129.33,638.17,806.13,0.52,0.46,236.75,253.86,49.36,34.58,47.64,35.08,292.41,387.36,36.86,42.25,10.45,14.18,63.07,83.17,14.18,12.92,303.91,351.0,21.57,9.83
0,5,70,28,171,0.246,68,10,9,71,6,1,6,3,84.0,0,Quinnipiac,225.94,243.0,93.89,100.0,638.17,654.05,0.52,0.44,236.75,286.0,49.36,46.67,47.64,53.21,292.41,291.83,36.86,38.43,10.45,27.86,63.07,95.92,14.18,16.82,303.91,346.58,21.57,17.0
