Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,61,22,172,0.227,55,4,10,98,6,3,18,1,77.0,1,The Citadel,276.33,237.32,125.27,110.95,859.6,723.68,0.54,0.41,321.5,283.0,34.58,36.69,43.0,50.92,459.23,339.33,32.64,35.14,15.9,13.78,95.82,77.0,17.55,15.33,374.71,332.29,28.0,16.5
0,4,57,26,203,0.153,52,1,2,115/,2,2,10,9/,65.0,1,Gardner-Webb,276.33,201.75,125.27,102.6,859.6,639.5,0.54,0.45,321.5,290.54,34.58,36.08,43.0,35.69,459.23,302.42,32.64,32.71,15.9,18.9,95.82,86.17,17.55,14.17,374.71,306.47,28.0,15.0
0,4,43,23,171,0.117,40,5,2,82,2,2,14,1,57.0,1,Morehead St.,276.33,273.5,125.27,135.75,859.6,809.31,0.54,0.56,321.5,272.8,34.58,38.0,43.0,52.29,459.23,366.87,32.64,37.5,15.9,19.5,95.82,115.67,17.55,12.27,374.71,378.8,28.0,23.0
1,3,37,21,96,0.167,34,7,3,44,2,0,7,1,47.5,2,Buffalo,276.33,263.2,125.27,118.33,859.6,708.73,0.54,0.71,321.5,306.5,34.58,35.55,43.0,46.91,459.23,330.0,32.64,40.08,15.9,24.67,95.82,71.42,17.55,13.18,374.71,356.39,28.0,8.88
1,4,56,22,140,0.243,53,3,3,63,0,1,20,1,70.0,5,Coppin St.,276.33,198.4,125.27,105.67,859.6,611.0,0.54,0.53,321.5,213.92,34.58,30.64,43.0,35.33,459.23,275.29,32.64,32.92,15.9,12.0,95.82,52.0,17.55,10.42,374.71,266.5,28.0,23.57
1,5,53,22,191,0.162,51,5,11,102,4,3,26,2,74.0,5,Bucknell,276.33,178.0,125.27,86.71,859.6,539.19,0.54,0.39,321.5,230.93,34.58,28.46,43.0,40.62,459.23,286.65,32.64,33.17,15.9,17.4,95.82,72.29,17.55,10.0,374.71,252.0,28.0,11.62
0,3,31,14,94,0.181,30,1,5,52,6,0,10,0,37.0,2,Kent St.,276.33,246.26,125.27,99.53,859.6,715.58,0.54,0.43,321.5,294.47,34.58,29.85,43.0,46.86,459.23,357.76,32.64,28.08,15.9,17.64,95.82,86.42,17.55,11.36,374.71,321.08,28.0,14.64
0,5,52,26,188,0.138,45,7,8,77,4,0,20,1,69.0,0,Winthrop,276.33,242.72,125.27,115.44,859.6,675.5,0.54,0.36,321.5,272.33,34.58,36.15,43.0,50.54,459.23,300.47,32.64,32.69,15.9,16.82,95.82,81.57,17.55,13.33,374.71,329.12,28.0,14.9
1,5,52,21,154,0.201,48,3,10,84,3,0,20,5,65.0,6,UMBC,276.33,201.22,125.27,93.39,859.6,575.72,0.54,0.32,321.5,224.73,34.58,28.07,43.0,47.0,459.23,257.71,32.64,29.69,15.9,8.89,95.82,71.08,17.55,11.36,374.71,269.71,28.0,13.0
1,3,34,10,96,0.250,32,10,7,47,0,2,6,1,49.0,3,Morgan St.,276.33,169.41,125.27,88.76,859.6,507.71,0.54,0.52,321.5,202.77,34.58,34.5,43.0,43.53,459.23,238.4,32.64,39.75,15.9,13.83,95.82,45.91,17.55,9.55,374.71,279.19,28.0,16.7
