Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
234.47,296.56,100.63,112.33,600.68,767.22,0.58,0.7,245.24,331.4,36.93,31.54,51.47,42.8,246.06,323.53,34.64,29.15,12.25,23.09,85.07,119.58,15.77,15.09,314.75,419.97,12.75,13.86,0,3,30,19,93,0.118,28,0,7,28,8,0,6,0,33.0,1
234.47,273.44,100.63,113.61,600.68,790.11,0.58,0.37,245.24,324.36,36.93,34.36,51.47,42.54,246.06,436.47,34.64,30.3,12.25,21.7,85.07,111.4,15.77,16.44,314.75,433.86,12.75,11.11,0,3,30,20,110,0.091,27,1,7,40,3,1,4,2,34.0,0
234.47,271.06,100.63,103.53,600.68,778.41,0.58,0.48,245.24,283.87,36.93,28.14,51.47,43.21,246.06,378.75,34.64,26.71,12.25,11.82,85.07,81.23,15.77,11.91,314.75,353.75,12.75,14.11,1,3,48,10,117,0.325,43,4,8,49,2,1,10,1,58.0,0
234.47,243.47,100.63,98.21,600.68,658.63,0.58,0.43,245.24,270.25,36.93,32.45,51.47,41.0,246.06,339.38,34.64,29.7,12.25,19.64,85.07,71.82,15.77,11.1,314.75,310.78,12.75,12.12,0,4,38,25,108,0.120,38,7,8,41,3,1,10,5,51.0,0
234.47,317.8,100.63,106.2,600.68,791.93,0.58,0.57,245.24,374.67,36.93,46.0,51.47,75.9,246.06,374.54,34.64,50.88,12.25,28.11,85.07,91.8,15.77,18.11,314.75,424.21,12.75,13.38,0,3,19,14,74,0.068,17,0,2,23,8,0,4,4,21.0,2
234.47,226.89,100.63,88.39,600.68,591.22,0.58,0.56,245.24,274.29,36.93,34.9,51.47,42.36,246.06,275.62,34.64,32.7,12.25,17.67,85.07,84.09,15.77,17.0,314.75,361.04,12.75,8.43,0,4,41,22,119,0.160,39,7,6,34,13,0,14,5,55.0,0
234.47,266.17,100.63,97.0,600.68,717.28,0.58,0.54,245.24,298.53,36.93,29.43,51.47,50.29,246.06,334.12,34.64,33.73,12.25,16.2,85.07,96.33,15.77,14.42,314.75,349.59,12.75,10.44,0,3,36,18,118,0.153,30,3,8,43,3,0,4,1,41.0,2
234.47,233.11,100.63,97.84,600.68,639.74,0.58,0.59,245.24,275.67,36.93,38.08,51.47,52.54,246.06,282.24,34.64,49.1,12.25,17.0,85.07,93.71,15.77,18.22,314.75,358.06,12.75,16.0,1,5,63,22,157,0.261,61,6,10,68,3,2,14,3,78.0,1
234.47,268.69,100.63,107.94,600.68,699.56,0.58,0.54,245.24,332.0,36.93,33.9,51.47,52.92,246.06,299.4,34.64,29.4,12.25,19.75,85.07,110.17,15.77,18.42,314.75,363.8,12.75,5.78,0,3,33,25,101,0.079,32,1,6,35,5,1,2,0,36.0,1
234.47,305.31,100.63,127.88,600.68,846.62,0.58,0.57,245.24,322.57,36.93,39.31,51.47,53.0,246.06,392.73,34.64,38.83,12.25,24.1,85.07,79.58,15.77,21.7,314.75,407.63,12.75,10.54,1,5,67,22,173,0.260,62,8,9,61,10,6,6,4,84.0,0
