Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
252.76,247.12,116.47,114.62,759.0,718.38,0.59,0.6,288.64,246.07,31.0,43.82,33.36,37.71,360.31,318.93,47.56,40.45,19.73,15.9,66.23,66.93,13.1,12.5,334.22,337.57,14.3,13.5,1,4,61,15,142,0.324,61,4,8,73,6,4,6,1,72.0,3
252.76,252.0,116.47,102.83,759.0,686.28,0.59,0.57,288.64,266.56,31.0,34.64,33.36,49.77,360.31,295.0,47.56,32.08,19.73,14.4,66.23,108.82,13.1,13.27,334.22,353.72,14.3,16.43,0,4,49,24,156,0.160,44,2,4,64,6,5,4,0,58.0,1
252.76,244.53,116.47,108.0,759.0,708.71,0.59,0.53,288.64,258.53,31.0,34.15,33.36,37.13,360.31,335.31,47.56,44.2,19.73,13.64,66.23,61.29,13.1,12.22,334.22,323.75,14.3,10.82,0,5,58,29,181,0.160,55,11,7,73,6,2,14,0,78.0,1
252.76,242.0,116.47,98.24,759.0,668.29,0.59,0.65,288.64,296.08,31.0,36.18,33.36,54.58,360.31,316.53,47.56,43.0,19.73,17.91,66.23,88.91,13.1,19.5,334.22,346.53,14.3,9.22,0,3,44,26,120,0.150,43,1,2,52,4,0,6,0,48.0,2
252.76,263.38,116.47,130.25,759.0,809.12,0.59,0.44,288.64,279.86,31.0,41.36,33.36,62.0,360.31,385.73,47.56,36.5,19.73,12.67,66.23,97.45,13.1,12.18,334.22,354.6,14.3,17.0,0,4,55,24,170,0.182,49,4,2,76,7,3,6,1,65.0,3
252.76,216.4,116.47,91.75,759.0,597.9,0.59,0.46,288.64,268.53,31.0,42.09,33.36,34.27,360.31,284.5,47.56,32.46,19.73,11.7,66.23,77.08,13.1,11.08,334.22,284.68,14.3,11.25,0,3,27,23,121,0.033,23,8,4,50,2,2,0,2,37.0,0
252.76,271.64,116.47,129.93,759.0,800.71,0.59,0.74,288.64,350.4,31.0,35.0,33.36,38.92,360.31,352.15,47.56,39.09,19.73,14.09,66.23,86.83,13.1,19.42,334.22,371.46,14.3,12.62,0,5,71,28,174,0.247,64,7,6,57,8,3,4,1,83.0,0
252.76,304.25,116.47,135.75,759.0,960.12,0.59,0.59,288.64,301.07,31.0,32.08,33.36,43.85,360.31,473.87,47.56,30.92,19.73,13.42,66.23,101.14,13.1,16.23,334.22,408.13,14.3,19.78,0,3,34,22,135,0.089,34,2,1,70,4,4,6,2,43.0,4
252.76,249.12,116.47,102.06,759.0,677.69,0.59,0.61,288.64,264.07,31.0,41.8,33.36,48.85,360.31,324.5,47.56,37.27,19.73,15.56,66.23,75.75,13.1,14.2,334.22,333.23,14.3,13.5,0,4,47,22,151,0.166,45,3,6,75,5,4,2,3,55.0,1
252.76,248.71,116.47,111.12,759.0,716.94,0.59,0.43,288.64,265.87,31.0,33.29,33.36,38.0,360.31,351.73,47.56,43.0,19.73,14.3,66.23,81.15,13.1,15.45,334.22,335.28,14.3,10.2,0,5,66,24,187,0.225,62,4,8,98,5,2,6,6,75.0,3
