Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
265.53,175.88,132.33,103.18,812.67,560.82,0.09,0.01,217.57,218.77,47.7,33.25,64.6,47.23,372.29,263.69,53.27,28.79,10.0,26.71,97.7,56.85,7.1,10.1,389.12,263.03,29.62,16.56,0,4,51,36,173,0.087,48,4,8,89,4,0,6,2,58.0,4
265.53,175.88,132.33,103.18,812.67,560.82,0.09,0.01,217.57,218.77,47.7,33.25,64.6,47.23,372.29,263.69,53.27,28.79,10.0,26.71,97.7,56.85,7.1,10.1,389.12,263.03,29.62,16.56,1,4,52,20,147,0.218,50,10,18,69,8,0,8,1,66.0,5
265.53,232.06,132.33,121.83,812.67,668.11,0.09,0.57,217.57,289.23,47.7,36.77,64.6,52.47,372.29,309.38,53.27,51.6,10.0,13.7,97.7,83.64,7.1,11.18,389.12,316.32,29.62,12.75,0,3,31,14,95,0.179,30,7,10,34,5,0,6,1,41.0,0
265.53,236.6,132.33,104.93,812.67,645.6,0.09,0.51,217.57,254.62,47.7,43.0,64.6,43.92,372.29,298.46,53.27,34.73,10.0,19.0,97.7,60.83,7.1,11.45,389.12,350.62,29.62,24.89,0,4,46,19,138,0.196,41,3,4,44,13,0,0,0,49.0,1
265.53,205.19,132.33,79.95,812.67,571.67,0.09,0.46,217.57,223.83,47.7,29.14,64.6,48.06,372.29,271.47,53.27,31.38,10.0,11.9,97.7,97.64,7.1,11.6,389.12,268.65,29.62,14.58,0,5,49,34,171,0.088,39,5,20,68,6,1,8,0,59.0,5
265.53,191.89,132.33,86.21,812.67,523.26,0.09,0.57,217.57,198.12,47.7,36.18,64.6,33.5,372.29,230.29,53.27,33.71,10.0,15.42,97.7,67.6,7.1,8.75,389.12,278.59,29.62,20.43,0,5,48,30,170,0.106,44,11,8,72,4,3,14,0,69.0,2
265.53,259.82,132.33,109.35,812.67,736.24,0.09,0.51,217.57,295.93,47.7,37.83,64.6,41.92,372.29,383.57,53.27,33.85,10.0,15.73,97.7,97.92,7.1,15.58,389.12,375.43,29.62,8.43,0,3,39,23,109,0.147,38,1,5,39,5,0,0,1,40.0,2
265.53,178.05,132.33,87.14,812.67,538.71,0.09,0.44,217.57,194.94,47.7,23.31,64.6,25.5,372.29,260.74,53.27,23.88,10.0,13.7,97.7,68.79,7.1,11.42,389.12,236.52,29.62,5.89,0,3,37,22,113,0.133,37,4,11,49,6,2,2,0,44.0,3
265.53,277.31,132.33,108.12,812.67,718.75,0.09,0.63,217.57,280.73,47.7,34.64,64.6,49.91,372.29,308.67,53.27,39.9,10.0,11.75,97.7,114.18,7.1,18.67,389.12,369.33,29.62,11.33,0,4,39,31,124,0.065,36,6,8,43,11,0,12,1,51.0,1
265.53,299.24,132.33,117.88,812.67,770.94,0.09,0.67,217.57,313.8,47.7,37.82,64.6,45.4,372.29,346.33,53.27,34.33,10.0,18.9,97.7,98.67,7.1,14.33,389.12,392.75,29.62,11.11,0,3,25,16,86,0.105,23,2,6,22,5,1,8,1,32.0,2
