Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,21,15,68,0.088,19,2,6,15,8,1,8,0,28.0,2,Ohio St.,216.76,289.06,95.81,119.22,608.67,728.78,0.45,0.66,283.67,348.93,28.35,38.92,45.71,52.69,278.58,332.31,31.67,31.36,10.54,21.0,103.77,125.0,15.25,17.8,307.66,405.25,14.11,6.9
1,4,60,21,138,0.283,51,8,8,47,2,3,22,2,82.0,0,North Texas,216.76,263.5,95.81,115.89,608.67,714.72,0.45,0.44,283.67,291.2,28.35,35.25,45.71,34.88,278.58,296.65,31.67,38.08,10.54,16.2,103.77,104.0,15.25,13.83,307.66,350.12,14.11,14.62
0,3,26,17,70,0.129,21,2,5,11,10,1,12,3,35.0,0,Nevada,216.76,253.88,95.81,104.18,608.67,641.53,0.45,0.43,283.67,307.23,28.35,35.27,45.71,57.36,278.58,313.08,31.67,32.27,10.54,15.8,103.77,100.92,15.25,18.67,307.66,364.5,14.11,10.17
0,4,50,23,152,0.178,48,2,9,58,4,1,17,1,61.5,2,Baylor,216.76,276.56,95.81,117.28,608.67,775.61,0.45,0.53,283.67,331.71,28.35,35.67,45.71,47.87,278.58,348.0,31.67,35.17,10.54,12.7,103.77,138.42,15.25,14.75,307.66,397.72,14.11,7.0
1,3,41,12,110,0.264,40,4,12,45,0,2,18,1,56.0,1,Kennesaw St.,216.76,228.78,95.81,96.5,608.67,651.0,0.45,0.49,283.67,259.47,28.35,33.77,45.71,51.27,278.58,301.47,31.67,29.71,10.54,16.3,103.77,88.91,15.25,20.18,307.66,325.56,14.11,12.25
1,4,67,21,160,0.287,66,7,8,80,6,0,14,4,81.0,4,SFA,216.76,221.44,95.81,95.33,608.67,703.5,0.45,0.49,283.67,231.81,28.35,29.08,45.71,34.77,278.58,373.0,31.67,32.36,10.54,13.88,103.77,84.07,15.25,11.09,307.66,300.32,14.11,11.4
0,4,46,24,142,0.155,44,2,6,46,6,1,22,4,60.0,0,Tulsa,216.76,306.88,95.81,129.31,608.67,920.75,0.45,0.46,283.67,354.77,28.35,38.4,45.71,60.55,278.58,487.79,31.67,28.0,10.54,13.64,103.77,119.7,15.25,13.31,307.66,431.61,14.11,19.44
1,4,51,20,135,0.230,48,6,7,64,5,2,14,2,66.0,0,Sam Houston St.,216.76,249.84,95.81,105.53,608.67,715.58,0.45,0.55,283.67,320.21,28.35,35.08,45.71,44.21,278.58,393.8,31.67,34.83,10.54,13.38,103.77,94.0,15.25,11.7,307.66,348.29,14.11,8.08
0,3,40,18,89,0.247,39,4,3,32,6,1,10,3,50.0,2,Utah,216.76,293.17,95.81,112.67,608.67,754.39,0.45,0.64,283.67,311.12,28.35,29.23,45.71,54.42,278.58,346.94,31.67,24.77,10.54,14.22,103.77,100.14,15.25,16.83,307.66,381.53,14.11,10.6
1,4,64,18,133,0.346,62,9,14,45,5,1,14,2,81.0,3,CSU Bakersfield,216.76,226.28,95.81,108.61,608.67,648.61,0.45,0.46,283.67,239.75,28.35,37.31,45.71,48.4,278.58,304.88,31.67,41.27,10.54,13.56,103.77,81.0,15.25,17.1,307.66,308.65,14.11,11.67
