Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,32,16,89,0.180,31,2,7,31,6,3,8,4,41.0,4,Dayton,241.28,268.47,108.17,103.53,690.56,681.71,0.5,0.55,274.2,306.29,37.0,31.77,50.92,45.14,360.93,293.38,33.77,29.58,20.89,10.38,87.42,107.92,13.55,19.18,321.32,383.97,13.27,11.64
1,5,69,29,189,0.212,65,5,7,85,8,8,14,5,89.0,0,SIUE,241.28,245.94,108.17,114.56,690.56,729.72,0.5,0.39,274.2,277.0,37.0,36.55,50.92,35.43,360.93,372.88,33.77,28.07,20.89,16.6,87.42,88.38,13.55,14.33,321.32,327.62,13.27,11.33
1,4,45,20,137,0.182,42,3,5,62,6,7,8,2,59.0,3,Wright St.,241.28,234.0,108.17,109.0,690.56,703.94,0.5,0.54,274.2,254.21,37.0,36.67,50.92,40.18,360.93,358.43,33.77,33.0,20.89,14.86,87.42,83.92,13.55,16.09,321.32,314.9,13.27,20.5
1,5,58,21,156,0.237,55,10,16,71,11,1,16,3,77.0,5,Penn,241.28,166.45,108.17,64.86,690.56,498.68,0.5,0.39,274.2,241.71,37.0,34.46,50.92,36.6,360.93,283.17,33.77,47.6,20.89,13.12,87.42,57.67,13.55,13.0,321.32,240.05,13.27,12.86
0,4,53,32,150,0.140,53,3,8,57,2,2,16,5,66.0,0,Houston Baptist,241.28,292.53,108.17,131.24,690.56,823.65,0.5,0.54,274.2,312.33,37.0,49.9,50.92,57.15,360.93,407.27,33.77,56.22,20.89,10.64,87.42,113.08,13.55,20.8,321.32,395.25,13.27,21.6
1,5,60,28,170,0.188,59,9,11,70,6,6,20,6,85.0,1,North Florida,241.28,274.44,108.17,118.94,690.56,804.69,0.5,0.56,274.2,344.67,37.0,34.23,50.92,51.43,360.93,397.64,33.77,39.08,20.89,16.9,87.42,102.33,13.55,11.09,321.32,374.6,13.27,13.09
1,4,49,20,120,0.242,45,2,4,57,7,1,12,2,58.0,2,Purdue Fort Wayne,241.28,262.5,108.17,102.22,690.56,720.94,0.5,0.52,274.2,294.67,37.0,34.33,50.92,56.08,360.93,332.94,33.77,28.86,20.89,15.3,87.42,79.83,13.55,12.4,321.32,339.35,13.27,9.91
0,3,27,16,104,0.106,27,3,2,50,8,2,6,2,35.0,2,Marshall,241.28,231.68,108.17,89.11,690.56,609.05,0.5,0.56,274.2,240.35,37.0,25.79,50.92,40.8,360.93,287.82,33.77,29.36,20.89,13.55,87.42,65.57,13.55,15.0,321.32,335.69,13.27,17.29
1,5,64,29,176,0.199,59,6,7,69,2,3,12,3,79.0,0,Green Bay,241.28,252.56,108.17,112.88,690.56,703.88,0.5,0.43,274.2,316.15,37.0,29.67,50.92,45.31,360.93,356.64,33.77,29.08,20.89,16.0,87.42,109.91,13.55,16.33,321.32,340.9,13.27,3.57
0,3,43,22,133,0.158,41,2,4,55,5,1,16,2,54.0,1,North Dakota,241.28,265.84,108.17,103.32,690.56,773.74,0.5,0.49,274.2,263.56,37.0,31.83,50.92,44.75,360.93,394.71,33.77,24.13,20.89,22.78,87.42,132.0,13.55,15.33,321.32,349.89,13.27,6.5
0,3,27,18,103,0.087,26,1,3,37,2,1,4,2,31.0,3,Minnesota,241.28,275.26,108.17,96.32,690.56,703.63,0.5,0.24,274.2,352.07,37.0,41.67,50.92,42.4,360.93,394.14,33.77,31.36,20.89,13.11,87.42,159.4,13.55,19.0,321.32,383.53,13.27,7.62
0,5,50,31,151,0.126,48,7,9,75,5,1,12,1,64.0,3,Eastern Mich.,241.28,240.18,108.17,108.18,690.56,683.0,0.5,0.59,274.2,253.6,37.0,42.8,50.92,44.15,360.93,310.81,33.77,45.36,20.89,13.33,87.42,71.58,13.55,11.22,321.32,364.32,13.27,14.43
1,3,43,8,94,0.372,41,4,6,45,3,3,12,2,56.0,1,Central Mich.,241.28,249.12,108.17,102.06,690.56,677.69,0.5,0.61,274.2,264.07,37.0,41.8,50.92,48.85,360.93,324.5,33.77,37.27,20.89,15.56,87.42,75.75,13.55,14.2,321.32,333.23,13.27,13.5
1,4,53,22,152,0.204,52,4,3,65,5,2,16,2,67.0,1,Ball St.,241.28,236.8,108.17,102.35,690.56,685.25,0.5,0.49,274.2,261.18,37.0,26.69,50.92,34.88,360.93,322.05,33.77,26.24,20.89,18.91,87.42,90.67,13.55,14.54,321.32,328.61,13.27,11.8
1,4,53,15,129,0.295,51,5,5,39,6,1,20,2,69.0,0,Akron,241.28,237.29,108.17,102.18,690.56,651.65,0.5,0.68,274.2,309.17,37.0,35.73,50.92,39.5,360.93,299.4,33.77,28.85,20.89,11.67,87.42,79.73,13.55,12.64,321.32,331.37,13.27,20.67
0,3,22,22,93,0,19,2,5,43,9,0,0,0,24.0,0,Western Mich.,241.28,304.13,108.17,120.53,690.56,854.47,0.5,0.5,274.2,305.14,37.0,34.58,50.92,55.67,360.93,396.36,33.77,35.23,20.89,22.17,87.42,67.83,13.55,7.1,321.32,403.57,13.27,8.38
0,5,59,27,164,0.195,52,2,10,70,7,1,12,2,68.0,0,Northern Ill.,241.28,236.5,108.17,91.17,690.56,623.61,0.5,0.51,274.2,281.5,37.0,46.8,50.92,54.5,360.93,274.06,33.77,36.5,20.89,22.89,87.42,118.1,13.55,18.18,321.32,345.09,13.27,9.0
1,4,50,14,126,0.286,47,4,4,64,4,1,14,0,62.0,1,Ohio,241.28,230.42,108.17,89.53,690.56,631.16,0.5,0.61,274.2,294.79,37.0,28.4,50.92,45.38,360.93,302.71,33.77,39.3,20.89,14.92,87.42,74.54,13.55,6.33,321.32,303.75,13.27,10.33
1,5,58,22,168,0.214,54,1,8,85,4,1,20,1,70.0,4,Kent St.,241.28,246.26,108.17,99.53,690.56,715.58,0.5,0.43,274.2,294.47,37.0,29.85,50.92,46.86,360.93,357.76,33.77,28.08,20.89,17.64,87.42,86.42,13.55,11.36,321.32,321.08,13.27,14.64
0,4,36,21,134,0.112,34,2,6,44,12,0,10,0,43.0,1,Bowling Green,241.28,242.22,108.17,86.56,690.56,671.78,0.5,0.54,274.2,256.12,37.0,34.46,50.92,41.62,360.93,331.0,33.77,30.38,20.89,12.6,87.42,76.36,13.55,11.0,321.32,356.93,13.27,19.14
1,3,49,16,125,0.264,47,4,5,72,1,0,6,0,56.0,0,Central Mich.,241.28,249.12,108.17,102.06,690.56,677.69,0.5,0.61,274.2,264.07,37.0,41.8,50.92,48.85,360.93,324.5,33.77,37.27,20.89,15.56,87.42,75.75,13.55,14.2,321.32,333.23,13.27,13.5
1,3,32,14,85,0.212,30,9,3,41,1,1,20,0,52.0,1,Eastern Mich.,241.28,240.18,108.17,108.18,690.56,683.0,0.5,0.59,274.2,253.6,37.0,42.8,50.92,44.15,360.93,310.81,33.77,45.36,20.89,13.33,87.42,71.58,13.55,11.22,321.32,364.32,13.27,14.43
1,5,59,34,175,0.143,54,4,9,80,5,1,18,1,73.0,1,Ball St.,241.28,236.8,108.17,102.35,690.56,685.25,0.5,0.49,274.2,261.18,37.0,26.69,50.92,34.88,360.93,322.05,33.77,26.24,20.89,18.91,87.42,90.67,13.55,14.54,321.32,328.61,13.27,11.8
0,5,58,23,159,0.220,52,8,8,61,3,3,10,0,74.0,0,Buffalo,241.28,263.2,108.17,118.33,690.56,708.73,0.5,0.71,274.2,306.5,37.0,35.55,50.92,46.91,360.93,330.0,33.77,40.08,20.89,24.67,87.42,71.42,13.55,13.18,321.32,356.39,13.27,8.88
0,3,32,21,106,0.104,30,5,4,41,4,4,8,0,45.0,0,Northern Ill.,241.28,236.5,108.17,91.17,690.56,623.61,0.5,0.51,274.2,281.5,37.0,46.8,50.92,54.5,360.93,274.06,33.77,36.5,20.89,22.89,87.42,118.1,13.55,18.18,321.32,345.09,13.27,9.0
0,4,46,23,158,0.146,44,4,6,81,5,4,6,0,57.0,0,Western Mich.,241.28,304.13,108.17,120.53,690.56,854.47,0.5,0.5,274.2,305.14,37.0,34.58,50.92,55.67,360.93,396.36,33.77,35.23,20.89,22.17,87.42,67.83,13.55,7.1,321.32,403.57,13.27,8.38
1,5,74,27,209,0.225,72/,6,10,89,4,2,16,0,90.0,3,Kent St.,241.28,246.26,108.17,99.53,690.56,715.58,0.5,0.43,274.2,294.47,37.0,29.85,50.92,46.86,360.93,357.76,33.77,28.08,20.89,17.64,87.42,86.42,13.55,11.36,321.32,321.08,13.27,14.64
0,3,42,21,124,0.169,41,2,0,57,6,2,8,0,50.0,4,Ohio,241.28,230.42,108.17,89.53,690.56,631.16,0.5,0.61,274.2,294.79,37.0,28.4,50.92,45.38,360.93,302.71,33.77,39.3,20.89,14.92,87.42,74.54,13.55,6.33,321.32,303.75,13.27,10.33
