Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,33,6,72,0.375,31,8,8,42,3,0,10,0,46.0,0,Jackson St.,198.38,185.0,80.96,109.78,544.17,574.22,0.49,0.46,223.35,195.88,35.86,30.31,46.38,33.0,285.95,236.53,34.58,33.79,12.3,20.27,80.57,71.17,15.33,8.5,283.33,257.29,14.92,15.3
1,3,39,6,78,0.423,31,5,7,36,4,1,0,0,45.0,3,Texas Southern,198.38,174.23,80.96,85.0,544.17,499.64,0.49,0.42,223.35,196.72,35.86,33.73,46.38,36.12,285.95,242.26,34.58,32.47,12.3,13.83,80.57,57.62,15.33,8.92,283.33,236.48,14.92,9.33
1,3,35,4,48,0.646,30,19/,7,21,6,1,10,0,60.0,1,Alabama A&M,198.38,176.95,80.96,100.68,544.17,504.21,0.49,-0.01,223.35,256.57,35.86,56.6,46.38,49.33,285.95,231.59,34.58,44.93,12.3,22.91,80.57,60.25,15.33,9.91,283.33,283.84,14.92,18.2
1,3,33,10,71,0.324,30,9,7,33,2,1,10,0,48.0,0,Alabama St.,198.38,218.18,80.96,107.12,544.17,594.24,0.49,0.09,223.35,230.13,35.86,46.18,46.38,39.77,285.95,262.56,34.58,30.5,12.3,18.25,80.57,68.42,15.33,10.88,283.33,318.23,14.92,18.0
1,3,36,23,107,0.121,34,13,8,55,3,3,6,0,55.0,0,Canisius,198.38,204.41,80.96,96.18,544.17,604.88,0.49,0.45,223.35,212.4,35.86,29.46,46.38,36.13,285.95,270.75,34.58,34.14,12.3,10.0,80.57,62.69,15.33,8.82,283.33,291.03,14.92,6.4
0,4,70,23,189,0.249,67,2,14,87,5,0,10,3,77.0,3,Seton Hall,198.38,278.18,80.96,106.41,544.17,742.53,0.49,0.57,223.35,294.6,35.86,28.36,46.38,44.0,285.95,338.73,34.58,30.36,12.3,11.78,80.57,95.15,15.33,12.0,283.33,365.66,14.92,10.0
1,3,43,5,99,0.384,41,4,8,47,0,1,12,3,54.0,0,George Washington,198.38,221.0,80.96,98.39,544.17,569.11,0.49,0.64,223.35,263.07,35.86,31.29,46.38,44.94,285.95,242.06,34.58,41.0,12.3,15.25,80.57,77.79,15.33,12.58,283.33,321.47,14.92,12.22
1,4,66,20,154,0.299,63,6,11,66,5,1,12,3,79.0,0,Georgetown,198.38,227.58,80.96,102.0,544.17,622.47,0.49,0.58,223.35,271.6,35.86,38.0,46.38,44.8,285.95,263.17,34.58,36.38,12.3,12.67,80.57,80.58,15.33,14.82,283.33,298.75,14.92,8.0
1,3,46,13,113,0.292,44,4,7,55,2,1,24,0,63.0,4,Princeton,198.38,181.26,80.96,67.0,544.17,479.74,0.49,0.5,223.35,219.53,35.86,32.8,46.38,37.42,285.95,252.31,34.58,29.1,12.3,13.0,80.57,58.58,15.33,10.6,283.33,249.44,14.92,11.75
1,5,68,26,156,0.269,66,4,15,79,3,2,16,0,82.0,2,Maryland,198.38,231.72,80.96,106.89,544.17,644.44,0.49,0.48,223.35,278.71,35.86,34.75,46.38,54.29,285.95,285.94,34.58,43.67,12.3,15.67,80.57,125.27,15.33,17.6,283.33,361.2,14.92,12.89
0,5,68,22,167,0.275,66,6,5,67,4,0,18,4,83.0,5,Mercer,198.38,233.78,80.96,93.0,544.17,672.44,0.49,0.55,223.35,303.0,35.86,54.11,46.38,57.73,285.95,331.94,34.58,30.12,12.3,15.8,80.57,92.5,15.33,15.5,283.33,338.0,14.92,26.67
1,5,62,31,183,0.169,61,7,8,88,9,2,20,3,81.0,4,USC Upstate,198.38,320.27,80.96,140.8,544.17,995.2,0.49,0.58,223.35,342.62,35.86,39.62,46.38,50.14,285.95,489.14,34.58,43.5,12.3,17.29,80.57,96.82,15.33,13.64,283.33,426.61,14.92,14.0
1,3,47,21,119,0.218,45,5,7,47,4,2,22,0,65.0,1,Fairleigh Dickinson,198.38,256.27,80.96,129.33,544.17,806.13,0.49,0.46,223.35,253.86,35.86,34.58,46.38,35.08,285.95,387.36,34.58,42.25,12.3,14.18,80.57,83.17,15.33,12.92,283.33,351.0,14.92,9.83
1,4,70,20,145,0.345,64,3,8,63,4,0,10,5,78.0,1,VCU,198.38,263.65,80.96,121.47,544.17,726.29,0.49,0.52,223.35,321.85,35.86,40.08,46.38,55.77,285.95,330.73,34.58,36.67,12.3,12.42,80.57,104.54,15.33,14.25,283.33,386.1,14.92,14.42
1,4,70,29,178,0.230,68,1,12,87,2,1,14,0,79.0,1,Delaware,198.38,240.84,80.96,103.95,544.17,719.89,0.49,0.47,223.35,326.62,35.86,32.93,46.38,48.21,285.95,401.13,34.58,39.58,12.3,18.4,80.57,83.29,15.33,9.62,283.33,341.41,14.92,20.4
0,5,63,41/,201,0.109,58,4,10,77,4,0,20,2,77.0,0,Col. of Charleston,198.38,257.82,80.96,119.18,544.17,748.41,0.49,0.5,223.35,257.31,35.86,32.64,46.38,35.17,285.95,348.12,34.58,32.91,12.3,15.67,80.57,78.43,15.33,13.21,283.33,342.44,14.92,11.78
1,4,56,17,159,0.245,55,4,13,80,2,2,8,0,66.0,1,UNCW,198.38,221.0,80.96,94.16,544.17,673.58,0.49,0.34,223.35,259.0,35.86,26.86,46.38,36.27,285.95,335.12,34.58,35.7,12.3,15.5,80.57,95.85,15.33,12.08,283.33,314.88,14.92,14.22
1,5,69,31,175,0.217,66,9,9,81,5,1,10,2,84.0,1,Elon,198.38,272.11,80.96,118.61,544.17,787.83,0.49,0.49,223.35,303.13,35.86,34.75,46.38,50.83,285.95,362.12,34.58,35.25,12.3,14.55,80.57,90.21,15.33,19.0,283.33,359.21,14.92,14.45
0,4,58,18,152,0.263,56,4,7,68,7,0,2,1,63.0,3,Hofstra,198.38,264.71,80.96,106.59,544.17,703.06,0.49,0.56,223.35,301.07,35.86,40.91,46.38,49.31,285.95,313.87,34.58,43.2,12.3,12.7,80.57,96.08,15.33,12.09,283.33,356.34,14.92,14.78
0,5,61,29,179,0.179,57,8,9,81,2,1,15,3,77.5,3,Northeastern,198.38,257.33,80.96,108.89,544.17,755.83,0.49,0.58,223.35,268.25,35.86,36.25,46.38,38.5,285.95,359.47,34.58,35.42,12.3,13.73,80.57,91.33,15.33,12.3,283.33,360.38,14.92,13.56
1,3,41,5,77,0.468,36,11,8,40,0,1,6,1,56.0,0,Delaware St.,198.38,174.4,80.96,104.53,544.17,533.0,0.49,0.56,223.35,183.38,35.86,35.08,46.38,46.79,285.95,218.21,34.58,47.17,12.3,10.1,80.57,54.15,15.33,14.18,283.33,249.29,14.92,13.4
1,3,45,15,106,0.283,41,6,4,48,1,0,2,2,52.0,2,James Madison,198.38,247.0,80.96,96.63,544.17,689.74,0.49,0.6,223.35,275.81,35.86,28.79,46.38,52.0,285.95,321.83,34.58,27.57,12.3,11.0,80.57,107.85,15.33,12.38,283.33,347.47,14.92,22.78
1,3,56,8,119,0.403,53,4,10,54,1,1,7,1,64.5,0,William & Mary,198.38,227.89,80.96,95.06,544.17,656.56,0.49,0.57,223.35,239.06,35.86,31.0,46.38,35.54,285.95,313.35,34.58,35.92,12.3,12.0,80.57,78.5,15.33,12.7,283.33,299.76,14.92,13.7
1,3,52,18,119,0.286,52,4,7,51,1,0,8,0,60.0,2,UNCW,198.38,221.0,80.96,94.16,544.17,673.58,0.49,0.34,223.35,259.0,35.86,26.86,46.38,36.27,285.95,335.12,34.58,35.7,12.3,15.5,80.57,95.85,15.33,12.08,283.33,314.88,14.92,14.22
0,4,46,27,135,0.141,43,3,8,47,4,2,18,2,60.0,5,Col. of Charleston,198.38,257.82,80.96,119.18,544.17,748.41,0.49,0.5,223.35,257.31,35.86,32.64,46.38,35.17,285.95,348.12,34.58,32.91,12.3,15.67,80.57,78.43,15.33,13.21,283.33,342.44,14.92,11.78
0,3,47,17,121,0.248,44,6,3,62,8,2,6,3,58.0,1,Delaware,198.38,240.84,80.96,103.95,544.17,719.89,0.49,0.47,223.35,326.62,35.86,32.93,46.38,48.21,285.95,401.13,34.58,39.58,12.3,18.4,80.57,83.29,15.33,9.62,283.33,341.41,14.92,20.4
1,4,55,29,177,0.147,52,7,7,85,3,0,12,2,68.0,4,Elon,198.38,272.11,80.96,118.61,544.17,787.83,0.49,0.49,223.35,303.13,35.86,34.75,46.38,50.83,285.95,362.12,34.58,35.25,12.3,14.55,80.57,90.21,15.33,19.0,283.33,359.21,14.92,14.45
1,3,40,24,102,0.157,38,4,7,51,4,1,12,0,51.0,1,Hofstra,198.38,264.71,80.96,106.59,544.17,703.06,0.49,0.56,223.35,301.07,35.86,40.91,46.38,49.31,285.95,313.87,34.58,43.2,12.3,12.7,80.57,96.08,15.33,12.09,283.33,356.34,14.92,14.78
1,4,66,28,173,0.220,64,7,7,87,3,2,10,1,80.0,2,Northeastern,198.38,257.33,80.96,108.89,544.17,755.83,0.49,0.58,223.35,268.25,35.86,36.25,46.38,38.5,285.95,359.47,34.58,35.42,12.3,13.73,80.57,91.33,15.33,12.3,283.33,360.38,14.92,13.56
1,3,51,19,121,0.264,49,7,6,55,2,0,2,1,59.0,2,William & Mary,198.38,227.89,80.96,95.06,544.17,656.56,0.49,0.57,223.35,239.06,35.86,31.0,46.38,35.54,285.95,313.35,34.58,35.92,12.3,12.0,80.57,78.5,15.33,12.7,283.33,299.76,14.92,13.7
0,5,66,30,189,0.190,65,4,9,70,3,0,19,0,79.5,2,James Madison,198.38,247.0,80.96,96.63,544.17,689.74,0.49,0.6,223.35,275.81,35.86,28.79,46.38,52.0,285.95,321.83,34.58,27.57,12.3,11.0,80.57,107.85,15.33,12.38,283.33,347.47,14.92,22.78
1,3,50,17,110,0.300,43,5,12,51,1,1,0,0,56.0,1,Hofstra,198.38,264.71,80.96,106.59,544.17,703.06,0.49,0.56,223.35,301.07,35.86,40.91,46.38,49.31,285.95,313.87,34.58,43.2,12.3,12.7,80.57,96.08,15.33,12.09,283.33,356.34,14.92,14.78
