Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
289.53,246.26,112.65,99.53,791.0,715.58,0.54,0.43,354.0,294.47,33.64,29.85,45.91,46.86,397.87,357.76,34.7,28.08,21.0,17.64,116.5,86.42,15.4,11.36,433.11,321.08,18.75,14.64,1,4,60,18,148,0.284,55,6,7,69,3,2,6,0,71.0,0
289.53,257.0,112.65,113.06,791.0,691.44,0.54,0.6,354.0,252.4,33.64,35.21,45.91,48.4,397.87,285.6,34.7,33.88,21.0,12.11,116.5,67.83,15.4,12.5,433.11,365.79,18.75,7.7,1,3,45,11,92,0.370,41,5,9,39,2,2,6,0,55.0,0
289.53,193.83,112.65,93.56,791.0,574.67,0.54,0.48,354.0,219.4,33.64,31.08,45.91,36.19,397.87,233.0,34.7,32.07,21.0,10.09,116.5,69.71,15.4,9.07,433.11,280.75,18.75,20.5,1,3,44,13,88,0.352,44,6,6,49,5,2,10,0,57.0,0
289.53,327.0,112.65,130.73,791.0,871.53,0.54,0.51,354.0,329.21,33.64,28.23,45.91,40.38,397.87,390.64,34.7,36.1,21.0,19.1,116.5,134.64,15.4,12.23,433.11,443.11,18.75,13.8,0,3,40,31,124,0.073,37,1,3,55,3,1,6,2,45.0,0
289.53,257.26,112.65,103.89,791.0,683.21,0.54,0.58,354.0,310.07,33.64,36.0,45.91,38.56,397.87,308.29,34.7,36.5,21.0,17.88,116.5,110.58,15.4,14.31,433.11,408.43,18.75,13.0,0,5,68,31,190,0.195,64,8,10,78,4,3,8,1,83.0,2
289.53,266.29,112.65,94.59,791.0,773.12,0.54,0.62,354.0,307.29,33.64,52.0,45.91,69.09,397.87,411.07,34.7,51.67,21.0,12.6,116.5,122.7,15.4,16.27,433.11,364.91,18.75,8.67,1,4,61,26,176,0.199,58,6,4,82,6,1,12,1,74.0,3
289.53,304.13,112.65,120.53,791.0,854.47,0.54,0.5,354.0,305.14,33.64,34.58,45.91,55.67,397.87,396.36,34.7,35.23,21.0,22.17,116.5,67.83,15.4,7.1,433.11,403.57,18.75,8.38,1,3,46,10,83,0.434,45,5,4,41,5,1,10,0,57.0,1
289.53,225.5,112.65,96.44,791.0,638.11,0.54,0.56,354.0,267.71,33.64,26.15,45.91,48.29,397.87,302.25,34.7,34.4,21.0,13.08,116.5,70.93,15.4,11.25,433.11,297.21,18.75,10.25,0,5,65,33,171,0.187,62,4,8,71,4,1,12,2,76.0,3
289.53,232.05,112.65,98.53,791.0,611.32,0.54,0.55,354.0,259.25,33.64,33.15,45.91,43.83,397.87,298.25,34.7,31.69,21.0,16.91,116.5,88.75,15.4,12.73,433.11,347.41,18.75,10.0,1,4,61,18,159,0.270,56,8,3,62,4,8,10,1,82.0,3
289.53,234.0,112.65,98.82,791.0,636.71,0.54,0.51,354.0,285.54,33.64,35.0,45.91,57.12,397.87,272.88,34.7,44.5,21.0,8.75,116.5,87.5,15.4,12.25,433.11,326.28,18.75,10.5,1,3,46,11,108,0.324,44,3,5,47,3,2,10,3,56.0,2
289.53,221.79,112.65,100.63,791.0,612.68,0.54,0.47,354.0,278.57,33.64,39.83,45.91,48.93,397.87,269.72,34.7,32.86,21.0,11.0,116.5,93.85,15.4,12.8,433.11,338.25,18.75,8.56,1,4,51,23,144,0.194,49,3,9,59,0,1,20,1,65.0,0
289.53,247.81,112.65,107.44,791.0,701.44,0.54,0.07,354.0,260.57,33.64,36.92,45.91,38.4,397.87,314.73,34.7,50.0,21.0,14.75,116.5,87.7,15.4,16.09,433.11,381.88,18.75,11.6,1,3,42,12,90,0.333,40,5,4,41,3,2,10,1,54.0,1
289.53,249.12,112.65,102.06,791.0,677.69,0.54,0.61,354.0,264.07,33.64,41.8,45.91,48.85,397.87,324.5,34.7,37.27,21.0,15.56,116.5,75.75,15.4,14.2,433.11,333.23,18.75,13.5,1,5,62,30,153,0.209,59,4,5,59,5,3,20,1,79.0,2
289.53,272.47,112.65,100.35,791.0,784.18,0.54,0.48,354.0,335.31,33.64,36.55,45.91,42.69,397.87,373.19,34.7,25.2,21.0,16.22,116.5,89.17,15.4,13.1,433.11,381.0,18.75,10.11,1,3,47,17,119,0.252,43,2,5,71,2,3,6,0,55.0,2
289.53,268.81,112.65,117.38,791.0,807.12,0.54,0.54,354.0,308.46,33.64,35.75,45.91,59.62,397.87,378.87,34.7,34.83,21.0,14.11,116.5,89.64,15.4,19.45,433.11,365.63,18.75,11.58,1,3,49,10,102,0.382,46,5,7,50,1,1,14,0,62.0,1
289.53,237.82,112.65,108.94,791.0,674.12,0.54,0.47,354.0,292.38,33.64,30.0,45.91,53.58,397.87,306.0,34.7,31.25,21.0,15.91,116.5,81.67,15.4,14.09,433.11,316.75,18.75,14.17,1,4,64,24,181,0.221,56,5,8,75,6,4,18,1,82.0,3
289.53,286.19,112.65,111.5,791.0,770.56,0.54,0.64,354.0,328.62,33.64,31.5,45.91,59.31,397.87,345.73,34.7,31.36,21.0,13.8,116.5,112.0,15.4,10.8,433.11,407.93,18.75,9.91,0,4,54,25,150,0.193,53,4,8,67,2,3,12,3,67.0,0
289.53,185.14,112.65,82.0,791.0,533.0,0.54,0.51,354.0,214.28,33.64,27.19,45.91,45.76,397.87,246.0,34.7,30.86,21.0,11.44,116.5,66.92,15.4,12.0,433.11,265.58,18.75,12.62,1,3,37,12,95,0.263,34,2,6,51,6,3,10,0,47.0,0
289.53,285.61,112.65,103.72,791.0,798.56,0.54,0.6,354.0,298.56,33.64,30.0,45.91,55.71,397.87,373.76,34.7,32.69,21.0,17.55,116.5,95.73,15.4,12.73,433.11,369.44,18.75,10.75,0,3,34,16,115,0.157,29,1,3,47,4,3,10,1,43.0,1
289.53,274.24,112.65,108.76,791.0,740.41,0.54,0.66,354.0,336.85,33.64,37.18,45.91,49.17,397.87,340.87,34.7,37.6,21.0,19.6,116.5,75.4,15.4,13.73,433.11,403.14,18.75,9.11,1,3,47,8,114,0.342,41,4,2,52,1,5,8,2,60.0,0
289.53,312.4,112.65,121.33,791.0,822.93,0.54,0.6,354.0,314.07,33.64,34.25,45.91,55.17,397.87,364.93,34.7,42.67,21.0,12.5,116.5,87.92,15.4,11.08,433.11,415.61,18.75,10.78,1,5,62,21,177,0.232,59,6,2,80,6,0,8,2,72.0,0
289.53,306.88,112.65,129.31,791.0,920.75,0.54,0.46,354.0,354.77,33.64,38.4,45.91,60.55,397.87,487.79,34.7,28.0,21.0,13.64,116.5,119.7,15.4,13.31,433.11,431.61,18.75,19.44,1,3,47,15,132,0.242,47,2,2,68,2,1,18,0,59.0,3
289.53,313.2,112.65,125.47,791.0,894.87,0.54,0.56,354.0,339.31,33.64,38.2,45.91,52.25,397.87,431.57,34.7,29.17,21.0,14.12,116.5,125.0,15.4,16.12,433.11,415.57,18.75,13.22,0,3,41,17,119,0.202,39,2,3,54,3,3,2,2,47.0,7/
289.53,286.19,112.65,111.5,791.0,770.56,0.54,0.64,354.0,328.62,33.64,31.5,45.91,59.31,397.87,345.73,34.7,31.36,21.0,13.8,116.5,112.0,15.4,10.8,433.11,407.93,18.75,9.91,0,5,68,31,201,0.184,63,4,4,96,4,4,14,5,83.0,1
289.53,237.82,112.65,108.94,791.0,674.12,0.54,0.47,354.0,292.38,33.64,30.0,45.91,53.58,397.87,306.0,34.7,31.25,21.0,15.91,116.5,81.67,15.4,14.09,433.11,316.75,18.75,14.17,1,3,49,18,133,0.233,46,2,8,65,2,2,5,2,55.5,1
289.53,272.47,112.65,100.35,791.0,784.18,0.54,0.48,354.0,335.31,33.64,36.55,45.91,42.69,397.87,373.19,34.7,25.2,21.0,16.22,116.5,89.17,15.4,13.1,433.11,381.0,18.75,10.11,1,3,49,15,121,0.281,46,3,2,52,1,3,12,0,61.0,1
289.53,268.81,112.65,117.38,791.0,807.12,0.54,0.54,354.0,308.46,33.64,35.75,45.91,59.62,397.87,378.87,34.7,34.83,21.0,14.11,116.5,89.64,15.4,19.45,433.11,365.63,18.75,11.58,1,4,56,26,141,0.213,52,2,7,71,3,5,12,3,69.0,0
289.53,313.2,112.65,125.47,791.0,894.87,0.54,0.56,354.0,339.31,33.64,38.2,45.91,52.25,397.87,431.57,34.7,29.17,21.0,14.12,116.5,125.0,15.4,16.12,433.11,415.57,18.75,13.22,0,3,36,20,119,0.134,36,1,3,54,1,1,10,3,43.0,0
