Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
252.0,252.76,102.83,116.47,686.28,759.0,0.57,0.59,266.56,288.64,34.64,31.0,49.77,33.36,295.0,360.31,32.08,47.56,14.4,19.73,108.82,66.23,13.27,13.1,353.72,334.22,16.43,14.3,1,4,60,21,150,0.260,58,6,8,70,2,0,12,2,72.0,3
252.0,244.53,102.83,108.0,686.28,708.71,0.57,0.53,266.56,258.53,34.64,34.15,49.77,37.13,295.0,335.31,32.08,44.2,14.4,13.64,108.82,61.29,13.27,12.22,353.72,323.75,16.43,10.82,1,5,63,24,171,0.228,61,8,9,61,7,1,22,3,83.0,3
252.0,247.12,102.83,114.62,686.28,718.38,0.57,0.6,266.56,246.07,34.64,43.82,49.77,37.71,295.0,318.93,32.08,40.45,14.4,15.9,108.82,66.93,13.27,12.5,353.72,337.57,16.43,13.5,1,3,50,8,103,0.408,43,2,8,31,4,0,2,0,53.0,0
252.0,255.69,102.83,110.25,686.28,768.75,0.57,0.57,266.56,296.38,34.64,34.46,49.77,44.0,295.0,362.27,32.08,38.67,14.4,24.4,108.82,86.62,13.27,17.64,353.72,356.4,16.43,14.7,1,4,61,22,144,0.271,59,4,10,58,3,2,12,3,73.0,0
252.0,269.5,102.83,115.29,686.28,801.64,0.57,0.66,266.56,291.08,34.64,30.82,49.77,49.82,295.0,387.54,32.08,42.0,14.4,21.88,108.82,77.0,13.27,9.44,353.72,359.38,16.43,15.9,1,3,47,17,121,0.248,42,3,6,61,4,1,4,1,53.0,0
252.0,260.33,102.83,123.67,686.28,788.33,0.57,0.14,266.56,258.43,34.64,38.38,49.77,52.08,295.0,369.86,32.08,38.93,14.4,16.2,108.82,69.27,13.27,13.1,353.72,353.36,16.43,18.91,1,4,55,13,149,0.282,50,5,14,65,8,3,0,3,63.0,4
252.0,272.47,102.83,100.35,686.28,784.18,0.57,0.48,266.56,335.31,34.64,36.55,49.77,42.69,295.0,373.19,32.08,25.2,14.4,16.22,108.82,89.17,13.27,13.1,353.72,381.0,16.43,10.11,1,5,65,29,183,0.197,57,7,7,75,4,2,12,0,80.0,0
252.0,237.11,102.83,97.95,686.28,587.84,0.57,0.56,266.56,281.13,34.64,36.71,49.77,40.81,295.0,236.29,32.08,36.4,14.4,20.75,108.82,89.75,13.27,6.45,353.72,357.72,16.43,4.5,1,5,53,20,134,0.246,48,2,10,34,6,0,24,1,67.0,0
252.0,242.21,102.83,108.32,686.28,663.21,0.57,0.52,266.56,290.27,34.64,33.15,49.77,53.27,295.0,284.44,32.08,44.5,14.4,18.46,108.82,80.77,13.27,19.08,353.72,341.06,16.43,8.62,1,4,52,18,135,0.252,50,3,10,51,2,2,16,1,65.0,0
252.0,245.94,102.83,114.56,686.28,729.72,0.57,0.39,266.56,277.0,34.64,36.55,49.77,35.43,295.0,372.88,32.08,28.07,14.4,16.6,108.82,88.38,13.27,14.33,353.72,327.62,16.43,11.33,0,4,47,29,151,0.119,40,4,9,61,5,2,14,0,60.0,1
252.0,242.22,102.83,86.56,686.28,671.78,0.57,0.54,266.56,256.12,34.64,34.46,49.77,41.62,295.0,331.0,32.08,30.38,14.4,12.6,108.82,76.36,13.27,11.0,353.72,356.93,16.43,19.14,0,3,34,19,116,0.129,33,1,5,51,2,1,10,1,41.0,0
252.0,203.94,102.83,107.24,686.28,584.35,0.57,0.57,266.56,215.27,34.64,29.15,49.77,35.21,295.0,240.69,32.08,37.92,14.4,8.5,108.82,85.92,13.27,11.64,353.72,280.59,16.43,11.22,1,3,47,16,106,0.292,45,3,3,45,3,0,14,1,57.0,1
252.0,234.0,102.83,109.0,686.28,703.94,0.57,0.54,266.56,254.21,34.64,36.67,49.77,40.18,295.0,358.43,32.08,33.0,14.4,14.86,108.82,83.92,13.27,16.09,353.72,314.9,16.43,20.5,0,4,52,23,168,0.173,51,3,7,74,7,0,12,4,61.0,3
252.0,304.25,102.83,135.75,686.28,960.12,0.57,0.59,266.56,301.07,34.64,32.08,49.77,43.85,295.0,473.87,32.08,30.92,14.4,13.42,108.82,101.14,13.27,16.23,353.72,408.13,16.43,19.78,0,5,59,21,176,0.216,56,5,7,68,5,1,12,5,71.0,2
252.0,252.56,102.83,112.88,686.28,703.88,0.57,0.43,266.56,316.15,34.64,29.67,49.77,45.31,295.0,356.64,32.08,29.08,14.4,16.0,108.82,109.91,13.27,16.33,353.72,340.9,16.43,3.57,0,4,55,23,133,0.241,52,6,8,43,4,1,18,1,71.0,2
252.0,225.61,102.83,105.56,686.28,633.94,0.57,0.48,266.56,292.46,34.64,34.6,49.77,39.25,295.0,277.76,32.08,26.21,14.4,15.92,108.82,90.5,13.27,14.5,353.72,326.97,16.43,8.5,0,3,39,21,111,0.162,36,0,3,37,3,3,16,1,50.0,1
252.0,253.11,102.83,118.33,686.28,691.72,0.57,0.46,266.56,285.07,34.64,46.17,49.77,57.42,295.0,359.07,32.08,38.08,14.4,15.5,108.82,143.2,13.27,23.88,353.72,396.67,16.43,12.43,0,5,54,32,162,0.136,54,4,10,54,4,1,10,0,64.0,4
252.0,275.12,102.83,111.71,686.28,714.47,0.57,0.55,266.56,335.92,34.64,35.64,49.77,46.23,295.0,307.44,32.08,35.82,14.4,20.25,108.82,103.25,13.27,19.91,353.72,365.66,16.43,15.5,0,3,29,12,98,0.173,27,2,6,33,5,1,10,1,37.0,2
252.0,254.81,102.83,112.62,686.28,716.25,0.57,0.59,266.56,293.08,34.64,48.1,49.77,60.36,295.0,311.87,32.08,40.42,14.4,18.62,108.82,90.67,13.27,20.82,353.72,350.07,16.43,9.0,1,3,33,21,97,0.124,31,5,5,41,3,2,16,1,48.0,0
252.0,255.44,102.83,107.5,686.28,695.06,0.57,0.55,266.56,274.57,34.64,39.9,49.77,46.91,295.0,366.0,32.08,36.55,14.4,11.12,108.82,97.8,13.27,15.0,353.72,361.71,16.43,10.83,0,3,33,11,98,0.224,31,5,6,40,3,0,12,1,44.0,2
252.0,275.12,102.83,111.71,686.28,714.47,0.57,0.55,266.56,335.92,34.64,35.64,49.77,46.23,295.0,307.44,32.08,35.82,14.4,20.25,108.82,103.25,13.27,19.91,353.72,365.66,16.43,15.5,0,4,44,25,120,0.158,43,1,15,41,2,5,14,2,57.0,0
252.0,253.11,102.83,118.33,686.28,691.72,0.57,0.46,266.56,285.07,34.64,46.17,49.77,57.42,295.0,359.07,32.08,38.08,14.4,15.5,108.82,143.2,13.27,23.88,353.72,396.67,16.43,12.43,1,5,66,23,184,0.234,65,4,7,83,8,0,18,2,79.0,1
252.0,225.61,102.83,105.56,686.28,633.94,0.57,0.48,266.56,292.46,34.64,34.6,49.77,39.25,295.0,277.76,32.08,26.21,14.4,15.92,108.82,90.5,13.27,14.5,353.72,326.97,16.43,8.5,1,4,57,15,155,0.271,55,2,12,54,3,2,24,2,73.0,1
