Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,4,63,22,169,0.243,62,6,9,72,8,2,12,3,77.0,0,Binghamton,271.13,208.53,126.8,93.65,760.07,598.0,0.67,0.37,291.92,218.0,32.54,31.29,46.5,38.47,329.79,288.67,40.5,30.64,16.0,11.64,77.0,83.0,26.7,15.0,364.0,285.47,10.0,9.67
0,3,29,25,105,0.038,29,4,6,38,3,0,14,1,40.0,0,Col. of Charleston,271.13,257.82,126.8,119.18,760.07,748.41,0.67,0.5,291.92,257.31,32.54,32.64,46.5,35.17,329.79,348.12,40.5,32.91,16.0,15.67,77.0,78.43,26.7,13.21,364.0,342.44,10.0,11.78
0,3,32,24,101,0.079,30,9,5,38,2,1,4,1,44.0,0,South Carolina,271.13,206.6,126.8,79.45,760.07,529.2,0.67,0.51,291.92,255.07,32.54,26.2,46.5,41.33,329.79,236.39,40.5,30.0,16.0,15.64,77.0,76.77,26.7,12.08,364.0,273.47,10.0,5.33
0,3,20,24,78,-0.051,20,0,5,21,9,0,6,2,23.0,1,Mississippi St.,271.13,301.75,126.8,130.62,760.07,776.88,0.67,0.6,291.92,324.07,32.54,41.64,46.5,60.0,329.79,314.67,40.5,33.54,16.0,19.0,77.0,106.42,26.7,14.82,364.0,406.37,10.0,4.0
0,4,39,22,115,0.148,37,3,6,28,6,3,10,2,50.0,1,Oklahoma,271.13,219.2,126.8,82.65,760.07,557.55,0.67,0.6,291.92,241.53,32.54,20.86,46.5,31.93,329.79,249.22,40.5,23.92,16.0,13.3,77.0,83.07,26.7,15.0,364.0,283.71,10.0,6.0
1,3,41,9,97,0.330,38,9,4,44,1,2,10,2,57.0,2,Ark.-Pine Bluff,271.13,179.87,126.8,110.67,760.07,569.13,0.67,0.05,291.92,176.64,32.54,35.42,46.5,37.42,329.79,238.27,40.5,33.86,16.0,25.38,77.0,50.0,26.7,8.89,364.0,257.21,10.0,12.6
0,3,43,17,87,0.299,41,2,4,29,4,0,4,2,47.0,0,Little Rock,271.13,254.0,126.8,107.0,760.07,728.31,0.67,0.51,291.92,253.67,32.54,38.25,46.5,42.46,329.79,320.87,40.5,37.85,16.0,19.78,77.0,139.7,26.7,31.22,364.0,415.35,10.0,12.0
0,4,51,24,149,0.181,47,5,3,72,9,3,8,3,63.0,0,Northern Ariz.,271.13,266.29,126.8,94.59,760.07,773.12,0.67,0.62,291.92,307.29,32.54,52.0,46.5,69.09,329.79,411.07,40.5,51.67,16.0,12.6,77.0,122.7,26.7,16.27,364.0,364.91,10.0,8.67
1,3,43,17,96,0.271,42,4,9,29,4,0,6,3,50.0,0,Alabama A&M,271.13,176.95,126.8,100.68,760.07,504.21,0.67,-0.01,291.92,256.57,32.54,56.6,46.5,49.33,329.79,231.59,40.5,44.93,16.0,22.91,77.0,60.25,26.7,9.91,364.0,283.84,10.0,18.2
0,3,28,21,83,0.084,27,1,3,16,3,1,4,0,32.0,1,Arkansas St.,271.13,243.47,126.8,98.21,760.07,658.63,0.67,0.43,291.92,270.25,32.54,32.45,46.5,41.0,329.79,339.38,40.5,29.7,16.0,19.64,77.0,71.82,26.7,11.1,364.0,310.78,10.0,12.12
