Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,55,20,178,0.197,52,6,7,84,3,3,20,2,74.0,1,UAB,271.87,242.0,129.47,98.24,827.93,668.29,0.61,0.65,266.14,296.08,32.42,36.18,40.38,54.58,390.43,316.53,39.64,43.0,17.8,17.91,107.36,88.91,13.77,19.5,373.96,346.53,9.91,9.22
1,5,59,25,200,0.170,57,6,7,102,8,3,16,2,76.0,0,Charleston So.,271.87,271.65,129.47,125.47,827.93,879.18,0.61,0.43,266.14,266.88,32.42,40.46,40.38,51.07,390.43,439.69,39.64,37.62,17.8,17.56,107.36,93.57,13.77,18.0,373.96,372.31,9.91,15.83
0,4,52,32,174,0.115,47,3,4,74,3,3,22,3,69.0,2,Tennessee Tech,271.87,185.45,129.47,90.85,827.93,591.35,0.61,0.46,266.14,205.12,32.42,27.82,40.38,29.25,390.43,299.06,39.64,21.6,17.8,11.73,107.36,63.54,13.77,12.18,373.96,268.06,9.91,13.71
1,3,37,15,112,0.196,32,3,7,53,3,3,10,1,48.0,0,Georgetown,271.87,227.58,129.47,102.0,827.93,622.47,0.61,0.58,266.14,271.6,32.42,38.0,40.38,44.8,390.43,263.17,39.64,36.38,17.8,12.67,107.36,80.58,13.77,14.82,373.96,298.75,9.91,8.0
0,3,26,28,114,-0.018,25,2,4,52,5,1,10,1,34.0,0,South Fla.,271.87,272.47,129.47,100.35,827.93,784.18,0.61,0.48,266.14,335.31,32.42,36.55,40.38,42.69,390.43,373.19,39.64,25.2,17.8,16.22,107.36,89.17,13.77,13.1,373.96,381.0,9.91,10.11
0,4,39,22,166,0.102,31,2,4,62,5,2,32/,5,59.0,1,Fla. Atlantic,271.87,232.05,129.47,98.53,827.93,611.32,0.61,0.55,266.14,259.25,32.42,33.15,40.38,43.83,390.43,298.25,39.64,31.69,17.8,16.91,107.36,88.75,13.77,12.73,373.96,347.41,9.91,10.0
0,3,19,18,93,0.011,17,0,9,33,6,0,8,0,23.0,3,New Mexico,271.87,242.16,129.47,105.42,827.93,651.63,0.61,0.56,266.14,306.14,32.42,29.8,40.38,44.62,390.43,306.31,39.64,29.14,17.8,14.3,107.36,96.92,13.77,16.27,373.96,342.41,9.91,16.0
1,3,41,17,135,0.178,39,3,7,69,3,0,12,1,50.0,3,Coppin St.,271.87,198.4,129.47,105.67,827.93,611.0,0.61,0.53,266.14,213.92,32.42,30.64,40.38,35.33,390.43,275.29,39.64,32.92,17.8,12.0,107.36,52.0,13.77,10.42,373.96,266.5,9.91,23.57
0,4,39,27,142,0.085,32,4,3,63,10,1,8,3,48.0,1,Charlotte,271.87,255.69,129.47,110.25,827.93,768.75,0.61,0.57,266.14,296.38,32.42,34.46,40.38,44.0,390.43,362.27,39.64,38.67,17.8,24.4,107.36,86.62,13.77,17.64,373.96,356.4,9.91,14.7
0,3,30,19,115,0.096,28,3,3,45,6,0,6,1,36.0,5,William & Mary,271.87,227.89,129.47,95.06,827.93,656.56,0.61,0.57,266.14,239.06,32.42,31.0,40.38,35.54,390.43,313.35,39.64,35.92,17.8,12.0,107.36,78.5,13.77,12.7,373.96,299.76,9.91,13.7
0,3,30,21,104,0.087,25,7,3,39,3,3,12,2,46.0,2,Winthrop,271.87,242.72,129.47,115.44,827.93,675.5,0.61,0.36,266.14,272.33,32.42,36.15,40.38,50.54,390.43,300.47,39.64,32.69,17.8,16.82,107.36,81.57,13.77,13.33,373.96,329.12,9.91,14.9
0,3,36,21,95,0.158,33,4,8,26,5,1,10,2,46.0,1,UNC Asheville,271.87,247.81,129.47,107.44,827.93,701.44,0.61,0.07,266.14,260.57,32.42,36.92,40.38,38.4,390.43,314.73,39.64,50.0,17.8,14.75,107.36,87.7,13.77,16.09,373.96,381.88,9.91,11.6
1,3,47,10,99,0.374,45,3,8,40,5,0,16,0,58.0,0,The Citadel,271.87,237.32,129.47,110.95,827.93,723.68,0.61,0.41,266.14,283.0,32.42,36.69,40.38,50.92,390.43,339.33,39.64,35.14,17.8,13.78,107.36,77.0,13.77,15.33,373.96,332.29,9.91,16.5
0,3,36,18,106,0.170,33,2,7,41,6,2,16,2,48.0,1,Furman,271.87,234.5,129.47,105.89,827.93,681.22,0.61,0.68,266.14,263.47,32.42,31.0,40.38,47.5,390.43,359.73,39.64,35.45,17.8,19.5,107.36,71.92,13.77,14.77,373.96,330.91,9.91,17.38
1,4,48,23,139,0.180,40,6,6,67,7,4,16,3,66.0,0,Samford,271.87,296.76,129.47,116.47,827.93,797.71,0.61,0.71,266.14,334.57,32.42,34.58,40.38,57.64,390.43,375.8,39.64,43.78,17.8,13.1,107.36,110.36,13.77,17.0,373.96,387.38,9.91,17.12
0,3,32,21,103,0.107,30,1,4,42,5,5,14,1,45.0,0,Wofford,271.87,228.15,129.47,109.15,827.93,636.9,0.61,0.44,266.14,267.31,32.42,33.87,40.38,57.14,390.43,290.0,39.64,35.71,17.8,11.15,107.36,76.0,13.77,10.21,373.96,321.44,9.91,13.7
0,5,57,28,167,0.174,53,7,8,73,6,3,12,1,73.0,1,ETSU,271.87,267.75,129.47,106.5,827.93,729.38,0.61,0.61,266.14,267.13,32.42,31.58,40.38,47.5,390.43,330.27,39.64,25.54,17.8,15.44,107.36,87.5,13.77,18.82,373.96,355.13,9.91,14.67
0,4,46,26,165,0.121,38,5,2,75,7,1,12,2,58.0,1,Chattanooga,271.87,255.41,129.47,110.76,827.93,737.12,0.61,0.55,266.14,290.36,32.42,35.62,40.38,46.08,390.43,346.12,39.64,29.93,17.8,17.78,107.36,86.75,13.77,12.82,373.96,342.84,9.91,13.12
1,5,49,23,166,0.157,47,6,11,78,8,2,28,4,71.0,2,Mercer,271.87,233.78,129.47,93.0,827.93,672.44,0.61,0.55,266.14,303.0,32.42,54.11,40.38,57.73,390.43,331.94,39.64,30.12,17.8,15.8,107.36,92.5,13.77,15.5,373.96,338.0,9.91,26.67
0,4,46,18,145,0.193,44,2,5,65,8,0,12,3,54.0,1,ETSU,271.87,267.75,129.47,106.5,827.93,729.38,0.61,0.61,266.14,267.13,32.42,31.58,40.38,47.5,390.43,330.27,39.64,25.54,17.8,15.44,107.36,87.5,13.77,18.82,373.96,355.13,9.91,14.67
0,3,38,12,94,0.277,36,0,7,33,9,0,6,2,41.0,0,Samford,271.87,296.76,129.47,116.47,827.93,797.71,0.61,0.71,266.14,334.57,32.42,34.58,40.38,57.64,390.43,375.8,39.64,43.78,17.8,13.1,107.36,110.36,13.77,17.0,373.96,387.38,9.91,17.12
0,4,46,24,147,0.150,39,4,6,51,8,2,20,4,62.0,1,Wofford,271.87,228.15,129.47,109.15,827.93,636.9,0.61,0.44,266.14,267.31,32.42,33.87,40.38,57.14,390.43,290.0,39.64,35.71,17.8,11.15,107.36,76.0,13.77,10.21,373.96,321.44,9.91,13.7
0,3,40,18,118,0.186,39,4,2,52,6,1,7,2,48.5,0,UNC Greensboro,271.87,251.16,129.47,104.21,827.93,728.21,0.61,0.44,266.14,299.13,32.42,36.5,40.38,49.14,390.43,351.94,39.64,29.38,17.8,19.09,107.36,74.5,13.77,11.42,373.96,326.03,9.91,14.89
