Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,46,22,144,0.167,44,1,4,69,11,1,16,2,56.0,0,Akron,199.89,237.29,105.0,102.18,648.42,651.65,0.57,0.68,237.87,309.17,29.93,35.73,40.75,39.5,332.47,299.4,51.1,28.85,9.92,11.67,65.0,79.73,12.79,12.64,286.09,331.37,16.78,20.67
0,3,23,19,88,0.045,23,3,5,39,7,1,4,2,29.0,0,Bradley,199.89,206.17,105.0,87.67,648.42,599.44,0.57,0.54,237.87,251.07,29.93,18.64,40.75,33.0,332.47,279.53,51.1,23.77,9.92,8.9,65.0,78.91,12.79,11.17,286.09,280.94,16.78,11.22
0,3,28,26,110,0.018,25,3,4,27,4,1,12,0,38.0,0,Milwaukee,199.89,225.61,105.0,105.56,648.42,633.94,0.57,0.48,237.87,292.46,29.93,34.6,40.75,39.25,332.47,277.76,51.1,26.21,9.92,15.92,65.0,90.5,12.79,14.5,286.09,326.97,16.78,8.5
0,4,31,31,134,0,30,0,6,54,5,3,6,2,37.0,1,Iowa,199.89,223.74,105.0,90.47,648.42,561.47,0.57,0.21,237.87,284.07,29.93,25.2,40.75,44.06,332.47,231.83,51.1,26.07,9.92,14.44,65.0,104.3,12.79,13.67,286.09,310.62,16.78,4.33
0,5,52,34,161,0.112,45,6,10,65,9,2,20,4,70.0,0,Oakland,199.89,253.11,105.0,118.33,648.42,691.72,0.57,0.46,237.87,285.07,29.93,46.17,40.75,57.42,332.47,359.07,51.1,38.08,9.92,15.5,65.0,143.2,12.79,23.88,286.09,396.67,16.78,12.43
0,3,23,21,93,0.022,21,0,1,35,5,0,4,0,25.0,0,Butler,199.89,273.68,105.0,106.84,648.42,743.11,0.57,0.52,237.87,348.64,29.93,27.93,40.75,46.88,332.47,327.22,51.1,34.45,9.92,12.0,65.0,114.92,12.79,16.91,286.09,357.14,16.78,12.83
0,4,44,39/,186,0.027,41,5,8,93,2,3,10,1,57.0,4,Eastern Ill.,199.89,267.07,105.0,122.8,648.42,836.87,0.57,0.55,237.87,288.38,29.93,43.9,40.75,49.08,332.47,400.14,51.1,41.92,9.92,13.9,65.0,125.2,12.79,17.1,286.09,372.14,16.78,11.1
0,3,29,24,105,0.048,29,3,7,43,4,2,8,1,38.0,2,Green Bay,199.89,252.56,105.0,112.88,648.42,703.88,0.57,0.43,237.87,316.15,29.93,29.67,40.75,45.31,332.47,356.64,51.1,29.08,9.92,16.0,65.0,109.91,12.79,16.33,286.09,340.9,16.78,3.57
0,5,52,26,175,0.149,48,3,5,92,5,3,12,4,64.0,2,McNeese,199.89,306.8,105.0,132.27,648.42,929.53,0.57,0.65,237.87,310.36,29.93,32.83,40.75,57.92,332.47,445.36,51.1,37.67,9.92,14.78,65.0,90.09,12.79,14.91,286.09,401.75,16.78,17.22
0,3,22,20,91,0.022,22,2,1,31,9,1,10,5,30.0,3,Missouri St.,199.89,249.33,105.0,95.76,648.42,695.38,0.57,0.47,237.87,327.27,29.93,37.45,40.75,45.27,332.47,325.5,51.1,32.36,9.92,20.38,65.0,76.64,12.79,11.55,286.09,317.38,16.78,19.67
1,4,52,23,155,0.187,49,7,11,66,4,1,14,3,67.0,2,Chicago St.,199.89,203.94,105.0,107.24,648.42,584.35,0.57,0.57,237.87,215.27,29.93,29.15,40.75,35.21,332.47,240.69,51.1,37.92,9.92,8.5,65.0,85.92,12.79,11.64,286.09,280.59,16.78,11.22
1,5,58,21,171,0.216,53,7,8,71,9,1,10,4,71.0,3,Drake,199.89,279.47,105.0,118.53,648.42,826.65,0.57,0.53,237.87,295.93,29.93,33.08,40.75,37.21,332.47,399.75,51.1,42.2,9.92,10.45,65.0,109.58,12.79,11.9,286.09,372.09,16.78,11.3
0,4,33,28,144,0.035,31,5,5,65,6,2,20,0,50.0,5,Weber St.,199.89,214.56,105.0,90.78,648.42,598.11,0.57,0.49,237.87,261.71,29.93,31.42,40.75,38.46,332.47,284.88,51.1,32.55,9.92,15.36,65.0,102.08,12.79,14.62,286.09,338.1,16.78,28.6
1,3,40,11,112,0.259,38,6,7,59,1,0,16,1,54.0,1,Southeast Mo. St.,199.89,252.76,105.0,116.47,648.42,759.0,0.57,0.59,237.87,288.64,29.93,31.0,40.75,33.36,332.47,360.31,51.1,47.56,9.92,19.73,65.0,66.23,12.79,13.1,286.09,334.22,16.78,14.3
0,4,35,17,129,0.140,34,9,6,58,8,1,6,2,48.0,0,Saint Louis,199.89,234.47,105.0,100.63,648.42,600.68,0.57,0.58,237.87,245.24,29.93,36.93,40.75,51.47,332.47,246.06,51.1,34.64,9.92,12.25,65.0,85.07,12.79,15.77,286.09,314.75,16.78,12.75
0,3,30,18,123,0.098,29,8,7,61,4,2,10,1,45.0,1,South Dakota,199.89,257.53,105.0,97.12,648.42,728.53,0.57,0.53,237.87,275.6,29.93,34.5,40.75,48.82,332.47,389.93,51.1,35.5,9.92,11.1,65.0,76.75,12.79,18.3,286.09,335.22,16.78,15.88
0,3,25,22,115,0.026,23,1,2,51,3,0,8,3,30.0,2,Purdue Fort Wayne,199.89,262.5,105.0,102.22,648.42,720.94,0.57,0.52,237.87,294.67,29.93,34.33,40.75,56.08,332.47,332.94,51.1,28.86,9.92,15.3,65.0,79.83,12.79,12.4,286.09,339.35,16.78,9.91
1,4,45,20,166,0.151,43,9,3,94,3,4,12,1,64.0,1,Omaha,199.89,261.31,105.0,117.5,648.42,793.69,0.57,0.61,237.87,278.71,29.93,33.46,40.75,51.47,332.47,381.87,51.1,37.5,9.92,11.9,65.0,68.77,12.79,17.31,286.09,345.47,16.78,11.55
0,3,31,16,105,0.143,29,4,6,51,8,0,0,1,35.0,4,IUPUI,199.89,265.94,105.0,106.12,648.42,754.0,0.57,0.6,237.87,333.0,29.93,35.27,40.75,41.45,332.47,405.31,51.1,39.18,9.92,16.18,65.0,81.58,12.79,12.5,286.09,354.03,16.78,12.5
0,4,45,32,179,0.073,42,4,4,88,4,2,10,2,56.0,2,North Dakota St.,199.89,248.63,105.0,93.89,648.42,717.68,0.57,0.67,237.87,292.4,29.93,29.43,40.75,35.62,332.47,372.41,51.1,31.86,9.92,23.89,65.0,73.73,12.79,19.2,286.09,338.62,16.78,18.29
0,3,35,25,139,0.072,32,2,6,77,5,1,8,0,42.0,0,Valparaiso,199.89,304.25,105.0,135.75,648.42,960.12,0.57,0.59,237.87,301.07,29.93,32.08,40.75,43.85,332.47,473.87,51.1,30.92,9.92,13.42,65.0,101.14,12.79,16.23,286.09,408.13,16.78,19.78
0,3,22,17,91,0.055,20,2,5,47,7,0,6,2,27.0,1,Oral Roberts,199.89,240.33,105.0,100.22,648.42,632.72,0.57,0.51,237.87,270.2,29.93,49.67,40.75,72.15,332.47,304.73,51.1,39.92,9.92,10.09,65.0,84.67,12.79,17.2,286.09,369.4,16.78,11.78
