Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
304.13,275.12,120.53,111.71,854.47,714.47,0.5,0.55,305.14,335.92,34.58,35.64,55.67,46.23,396.36,307.44,35.23,35.82,22.17,20.25,67.83,103.25,7.1,19.91,403.57,365.66,8.38,15.5,0,4,56,19,153,0.242,54,5,10,66,5,3,6,2,67.0,2
304.13,278.18,120.53,106.41,854.47,742.53,0.5,0.57,305.14,294.6,34.58,28.36,55.67,44.0,396.36,338.73,35.23,30.36,22.17,11.78,67.83,95.15,7.1,12.0,403.57,365.66,8.38,10.0,1,3,44,13,111,0.279,44,9,8,55,3,4,10,0,62.0,0
304.13,226.16,120.53,90.32,854.47,671.42,0.5,0.47,305.14,272.47,34.58,38.0,55.67,43.07,396.36,334.06,35.23,29.38,22.17,13.67,67.83,103.62,7.1,16.3,403.57,328.68,8.38,12.3,0,3,38,21,121,0.140,36,2,6,51,5,1,6,2,44.0,0
304.13,262.5,120.53,102.22,854.47,720.94,0.5,0.52,305.14,294.67,34.58,34.33,55.67,56.08,396.36,332.94,35.23,28.86,22.17,15.3,67.83,79.83,7.1,12.4,403.57,339.35,8.38,9.91,1,5,72,25,177,0.266,69,2,15,71,3,2,8,0,80.0,0
304.13,266.29,120.53,94.59,854.47,773.12,0.5,0.62,305.14,307.29,34.58,52.0,55.67,69.09,396.36,411.07,35.23,51.67,22.17,12.6,67.83,122.7,7.1,16.27,403.57,364.91,8.38,8.67,0,4,53,20,165,0.200,48,3,5,86,8,2,4,0,60.0,0
304.13,289.53,120.53,112.65,854.47,791.0,0.5,0.54,305.14,354.0,34.58,33.64,55.67,45.91,396.36,397.87,35.23,34.7,22.17,21.0,67.83,116.5,7.1,15.4,403.57,433.11,8.38,18.75,0,3,29,18,95,0.116,28,5,3,25,5,2,4,1,38.0,3
304.13,257.26,120.53,103.89,854.47,683.21,0.5,0.58,305.14,310.07,34.58,36.0,55.67,38.56,396.36,308.29,35.23,36.5,22.17,17.88,67.83,110.58,7.1,14.31,403.57,408.43,8.38,13.0,0,3,40,22,104,0.173,39,3,7,49,2,1,2,0,45.0,3
304.13,198.27,120.53,78.59,854.47,513.23,0.5,0.45,305.14,214.16,34.58,24.44,55.67,44.33,396.36,226.3,35.23,25.07,22.17,14.0,67.83,82.93,7.1,15.0,403.57,275.75,8.38,8.0,0,4,46,20,134,0.194,44,1,7,45,4,5,6,0,55.0,0
304.13,299.24,120.53,117.88,854.47,770.94,0.5,0.67,305.14,313.8,34.58,37.82,55.67,45.4,396.36,346.33,35.23,34.33,22.17,18.9,67.83,98.67,7.1,14.33,403.57,392.75,8.38,11.11,1,4,66,17,159,0.308,65,3,12,78,5,5,6,0,77.0,0
304.13,225.61,120.53,105.56,854.47,633.94,0.5,0.48,305.14,292.46,34.58,34.6,55.67,39.25,396.36,277.76,35.23,26.21,22.17,15.92,67.83,90.5,7.1,14.5,403.57,326.97,8.38,8.5,0,5,58,22,144,0.250,56,3,11,74,8,7,10,0,73.0,0
304.13,253.11,120.53,118.33,854.47,691.72,0.5,0.46,305.14,285.07,34.58,46.17,55.67,57.42,396.36,359.07,35.23,38.08,22.17,15.5,67.83,143.2,7.1,23.88,403.57,396.67,8.38,12.43,0,3,34,28,101,0.059,34,3,2,30,6,0,8,2,41.0,0
304.13,206.17,120.53,87.67,854.47,599.44,0.5,0.54,305.14,251.07,34.58,18.64,55.67,33.0,396.36,279.53,35.23,23.77,22.17,8.9,67.83,78.91,7.1,11.17,403.57,280.94,8.38,11.22,1,4,57,13,124,0.355,53,8,7,52,2,3,10,2,73.0,2
304.13,265.12,120.53,110.31,854.47,765.44,0.5,0.6,305.14,279.36,34.58,32.58,55.67,38.71,396.36,352.33,35.23,36.45,22.17,17.44,67.83,106.7,7.1,15.2,403.57,354.9,8.38,10.33,1,5,72,24,181,0.265,66,4,4,76,8,4,10,4,85.0,0
304.13,236.5,120.53,91.17,854.47,623.61,0.5,0.51,305.14,281.5,34.58,46.8,55.67,54.5,396.36,274.06,35.23,36.5,22.17,22.89,67.83,118.1,7.1,18.18,403.57,345.09,8.38,9.0,0,4,47,21,129,0.202,47,4,8,52,10,2,6,3,56.0,0
304.13,240.18,120.53,108.18,854.47,683.0,0.5,0.59,305.14,253.6,34.58,42.8,55.67,44.15,396.36,310.81,35.23,45.36,22.17,13.33,67.83,71.58,7.1,11.22,403.57,364.32,8.38,14.43,0,4,46,21,153,0.163,42,7,7,63,8,3,12,0,62.0,0
304.13,249.12,120.53,102.06,854.47,677.69,0.5,0.61,305.14,264.07,34.58,41.8,55.67,48.85,396.36,324.5,35.23,37.27,22.17,15.56,67.83,75.75,7.1,14.2,403.57,333.23,8.38,13.5,0,5,39,16,135,0.170,34,4,13,56,8,6,23,0,60.5,1
304.13,241.28,120.53,108.17,854.47,690.56,0.5,0.5,305.14,274.2,34.58,37.0,55.67,50.92,396.36,360.93,35.23,33.77,22.17,20.89,67.83,87.42,7.1,13.55,403.57,321.32,8.38,13.27,1,3,33,6,87,0.310,32,9,4,42,2,5,6,0,50.0,0
304.13,236.8,120.53,102.35,854.47,685.25,0.5,0.49,305.14,261.18,34.58,26.69,55.67,34.88,396.36,322.05,35.23,26.24,22.17,18.91,67.83,90.67,7.1,14.54,403.57,328.61,8.38,11.8,0,4,51,25,160,0.163,50,3,8,77,4,5,10,1,64.0,0
304.13,237.29,120.53,102.18,854.47,651.65,0.5,0.68,305.14,309.17,34.58,35.73,55.67,39.5,396.36,299.4,35.23,28.85,22.17,11.67,67.83,79.73,7.1,12.64,403.57,331.37,8.38,20.67,1,3,44,16,113,0.248,41,3,9,45,6,1,10,0,53.0,0
304.13,263.2,120.53,118.33,854.47,708.73,0.5,0.71,305.14,306.5,34.58,35.55,55.67,46.91,396.36,330.0,35.23,40.08,22.17,24.67,67.83,71.42,7.1,13.18,403.57,356.39,8.38,8.88,1,4,62,23,177,0.220,54,6,8,62,5,3,8,0,75.0,0
304.13,246.26,120.53,99.53,854.47,715.58,0.5,0.43,305.14,294.47,34.58,29.85,55.67,46.86,396.36,357.76,35.23,28.08,22.17,17.64,67.83,86.42,7.1,11.36,403.57,321.08,8.38,14.64,0,5,71,18,197,0.269,65,3,13,84,8,3,10,5,82.0,3
304.13,230.42,120.53,89.53,854.47,631.16,0.5,0.61,305.14,294.79,34.58,28.4,55.67,45.38,396.36,302.71,35.23,39.3,22.17,14.92,67.83,74.54,7.1,6.33,403.57,303.75,8.38,10.33,0,3,26,22,116,0.034,24,3,1,57,6,2,12,0,37.0,0
304.13,236.5,120.53,91.17,854.47,623.61,0.5,0.51,305.14,281.5,34.58,46.8,55.67,54.5,396.36,274.06,35.23,36.5,22.17,22.89,67.83,118.1,7.1,18.18,403.57,345.09,8.38,9.0,0,4,55,22,151,0.219,52,6,11,51,6,6,4,0,69.0,0
304.13,242.22,120.53,86.56,854.47,671.78,0.5,0.54,305.14,256.12,34.58,34.46,55.67,41.62,396.36,331.0,35.23,30.38,22.17,12.6,67.83,76.36,7.1,11.0,403.57,356.93,8.38,19.14,0,3,36,19,127,0.134,35,3,6,57,5,3,8,3,46.0,1
304.13,249.12,120.53,102.06,854.47,677.69,0.5,0.61,305.14,264.07,34.58,41.8,55.67,48.85,396.36,324.5,35.23,37.27,22.17,15.56,67.83,75.75,7.1,14.2,403.57,333.23,8.38,13.5,1,3,41,5,86,0.419,37,4,6,30,1,4,10,0,54.0,0
304.13,240.18,120.53,108.18,854.47,683.0,0.5,0.59,305.14,253.6,34.58,42.8,55.67,44.15,396.36,310.81,35.23,45.36,22.17,13.33,67.83,71.58,7.1,11.22,403.57,364.32,8.38,14.43,1,4,59,17,175,0.240,55,4,10,65,8,5,10,0,73.0,0
304.13,236.8,120.53,102.35,854.47,685.25,0.5,0.49,305.14,261.18,34.58,26.69,55.67,34.88,396.36,322.05,35.23,26.24,22.17,18.91,67.83,90.67,7.1,14.54,403.57,328.61,8.38,11.8,0,4,47,31,165,0.097,41,2,4,77,6,2,16,0,59.0,1
304.13,241.28,120.53,108.17,854.47,690.56,0.5,0.5,305.14,274.2,34.58,37.0,55.67,50.92,396.36,360.93,35.23,33.77,22.17,20.89,67.83,87.42,7.1,13.55,403.57,321.32,8.38,13.27,1,4,60,19,169,0.243,56,5,9,79,4,1,8,0,70.0,0
304.13,236.8,120.53,102.35,854.47,685.25,0.5,0.49,305.14,261.18,34.58,26.69,55.67,34.88,396.36,322.05,35.23,26.24,22.17,18.91,67.83,90.67,7.1,14.54,403.57,328.61,8.38,11.8,1,3,48,8,108,0.370,45,3,4,55,4,1,16,0,60.0,3
304.13,242.22,120.53,86.56,854.47,671.78,0.5,0.54,305.14,256.12,34.58,34.46,55.67,41.62,396.36,331.0,35.23,30.38,22.17,12.6,67.83,76.36,7.1,11.0,403.57,356.93,8.38,19.14,0,4,51,30,162,0.130,48,2,2,65,10,2,10,0,60.0,2
