Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
218.44,268.69,103.94,107.94,599.78,699.56,0.27,0.54,240.47,332.0,31.17,33.9,44.62,52.92,266.31,299.4,24.47,29.4,19.56,19.75,104.17,110.17,11.0,18.42,300.41,363.8,6.25,5.78,0,3,27,20,93,0.075,27,0,5,35,5,0,4,1,29.0,0
218.44,336.87,103.94,136.33,599.78,827.13,0.27,0.75,240.47,336.86,31.17,44.11,44.62,62.17,266.31,343.14,24.47,41.3,19.56,23.56,104.17,132.56,11.0,24.22,300.41,481.42,6.25,8.38,0,3,34,19,114,0.132,32,3,6,47,1,4,0,1,41.0,3
218.44,266.5,103.94,122.33,599.78,713.44,0.27,0.52,240.47,319.29,31.17,35.82,44.62,58.75,266.31,353.71,24.47,36.1,19.56,25.56,104.17,172.8,11.0,20.45,300.41,392.81,6.25,13.17,0,4,44,25,125,0.152,40,2,9,51,7,1,8,1,51.0,3
218.44,248.63,103.94,93.89,599.78,717.68,0.27,0.67,240.47,292.4,31.17,29.43,44.62,35.62,266.31,372.41,24.47,31.86,19.56,23.89,104.17,73.73,11.0,19.2,300.41,338.62,6.25,18.29,1,3,39,12,89,0.303,35,10,8,27,2,0,8,1,53.0,0
218.44,222.71,103.94,79.76,599.78,575.05,0.27,0.53,240.47,257.06,31.17,30.54,44.62,44.38,266.31,286.41,24.47,26.0,19.56,13.9,104.17,98.33,11.0,17.27,300.41,313.18,6.25,8.5,0,3,30,22,98,0.082,27,3,4,42,6,1,19,2,43.5,2
218.44,289.06,103.94,119.22,599.78,728.78,0.27,0.66,240.47,348.93,31.17,38.92,44.62,52.69,266.31,332.31,24.47,31.36,19.56,21.0,104.17,125.0,11.0,17.8,300.41,405.25,6.25,6.9,0,3,25,14,91,0.121,23,2,4,34,3,1,10,4,33.0,0
218.44,277.33,103.94,119.87,599.78,819.87,0.27,0.67,240.47,276.07,31.17,35.15,44.62,45.15,266.31,391.5,24.47,39.17,19.56,15.8,104.17,86.17,11.0,14.17,300.41,378.0,6.25,13.23,1,3,43,9,100,0.340,40,8,6,48,3,1,14,2,59.0,0
218.44,296.76,103.94,116.47,599.78,797.71,0.27,0.71,240.47,334.57,31.17,34.58,44.62,57.64,266.31,375.8,24.47,43.78,19.56,13.1,104.17,110.36,11.0,17.0,300.41,387.38,6.25,17.12,1,3,35,5,70,0.429,30,7,9,32,0,2,14,0,51.0,0
218.44,199.33,103.94,96.83,599.78,584.83,0.27,0.39,240.47,226.0,31.17,26.08,44.62,42.0,266.31,283.31,24.47,26.46,19.56,13.8,104.17,64.23,11.0,11.91,300.41,263.68,6.25,5.0,1,3,38,10,75,0.373,32,5,3,26,2,0,12,0,49.0,0
218.44,256.94,103.94,110.25,599.78,705.38,0.27,0.59,240.47,255.53,31.17,35.0,44.62,36.93,266.31,308.67,24.47,43.27,19.56,16.5,104.17,83.17,11.0,15.2,300.41,346.33,6.25,6.3,1,3,42,13,98,0.296,37,3,9,39,6,4,12,1,55.0,0
218.44,275.94,103.94,118.25,599.78,776.62,0.27,0.57,240.47,274.27,31.17,27.92,44.62,44.86,266.31,375.86,24.47,25.14,19.56,14.11,104.17,100.36,11.0,13.3,300.41,361.93,6.25,15.6,1,5,53,25,160,0.175,48,2,11,72,6,2,20,3,67.0,1
218.44,211.95,103.94,87.33,599.78,609.33,0.27,0.56,240.47,243.65,31.17,29.83,44.62,40.43,266.31,270.65,24.47,30.17,19.56,13.33,104.17,94.0,11.0,15.08,300.41,296.16,6.25,11.64,0,3,37,18,126,0.151,36,3,1,59,5,4,6,2,47.0,1
218.44,185.45,103.94,90.85,599.78,591.35,0.27,0.46,240.47,205.12,31.17,27.82,44.62,29.25,266.31,299.06,24.47,21.6,19.56,11.73,104.17,63.54,11.0,12.18,300.41,268.06,6.25,13.71,1,3,36,9,90,0.300,33,6,4,46,2,2,28,0,58.0,0
218.44,242.88,103.94,120.65,599.78,675.24,0.27,0.48,240.47,258.13,31.17,29.08,44.62,37.93,266.31,295.33,24.47,30.77,19.56,15.89,104.17,138.9,11.0,14.7,300.41,356.3,6.25,13.56,1,3,30,12,79,0.228,24,6,4,18,1,4,22,0,51.0,0
218.44,249.88,103.94,115.38,599.78,645.69,0.27,0.62,240.47,263.86,31.17,41.42,44.62,52.33,266.31,258.6,24.47,32.43,19.56,16.2,104.17,90.33,11.0,9.0,300.41,346.6,6.25,8.56,1,3,38,17,92,0.228,34,3,7,42,4,0,14,1,48.0,0
218.44,277.31,103.94,108.12,599.78,718.75,0.27,0.63,240.47,280.73,31.17,34.64,44.62,49.91,266.31,308.67,24.47,39.9,19.56,11.75,104.17,114.18,11.0,18.67,300.41,369.33,6.25,11.33,1,3,48,22,124,0.210,48,2,5,61,5,0,8,0,54.0,0
218.44,264.39,103.94,105.11,599.78,716.5,0.27,0.68,240.47,293.2,31.17,39.67,44.62,45.36,266.31,375.93,24.47,24.21,19.56,15.56,104.17,155.56,11.0,15.78,300.41,425.43,6.25,10.88,0,4,41,20,132,0.159,37,4,6,55,10,1,17,1,54.5,2
218.44,242.16,103.94,105.42,599.78,651.63,0.27,0.56,240.47,306.14,31.17,29.8,44.62,44.62,266.31,306.31,24.47,29.14,19.56,14.3,104.17,96.92,11.0,16.27,300.41,342.41,6.25,16.0,1,3,47,14,105,0.314,42,3,7,47,4,3,8,1,57.0,1
218.44,271.47,103.94,126.82,599.78,701.47,0.27,0.6,240.47,287.87,31.17,31.54,44.62,48.5,266.31,298.73,24.47,39.09,19.56,13.78,104.17,105.77,11.0,17.58,300.41,389.1,6.25,10.45,1,5,55,24,152,0.204,48,5,8,51,3,5,26,2,78.0,0
