Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,10,18,67,-0.119,10,3,5,26,8,0,6,2,16.0,0,LSU,219.53,230.37,107.29,96.26,648.65,621.0,0.13,0.17,217.0,294.21,35.21,27.92,38.47,48.46,286.88,291.06,34.13,26.43,14.4,18.73,72.18,81.71,13.0,18.22,297.88,322.94,12.7,16.57
0,3,21,14,85,0.082,20,1,3,23,9,0,8,5,26.0,1,South Fla.,219.53,210.15,107.29,86.15,648.65,597.55,0.13,0.14,217.0,234.71,35.21,30.69,38.47,35.54,286.88,316.24,34.13,33.75,14.4,15.09,72.18,68.86,13.0,21.8,297.88,308.82,12.7,16.71
0,3,16,14,68,0.029,14,1,5,23,10,1,2,1,19.0,3,Northwestern,219.53,230.17,107.29,86.72,648.65,574.0,0.13,0.2,217.0,260.13,35.21,35.77,38.47,53.64,286.88,244.06,34.13,29.6,14.4,15.78,72.18,98.55,13.0,11.58,297.88,311.29,12.7,9.62
0,3,30,19,112,0.098,28,2,5,45,13,1,8,0,37.0,0,Evansville,219.53,241.35,107.29,116.41,648.65,751.35,0.13,0.1,217.0,318.17,35.21,34.17,38.47,37.17,286.88,385.87,34.13,29.21,14.4,11.11,72.18,91.17,13.0,8.6,297.88,322.5,12.7,17.0
0,3,24,20,89,0.045,21,2,6,29,9,1,6,0,30.0,0,Southeast Mo. St.,219.53,238.33,107.29,101.11,648.65,671.0,0.13,0.16,217.0,248.56,35.21,38.75,38.47,35.5,286.88,341.93,34.13,37.77,14.4,16.2,72.18,81.5,13.0,10.67,297.88,342.97,12.7,17.27
0,4,40,23,107,0.159,37,8,4,33,5,1,16,0,57.0,0,Morgan St.,219.53,205.38,107.29,104.19,648.65,601.62,0.13,0.09,217.0,234.69,35.21,39.1,38.47,52.43,286.88,302.92,34.13,43.4,14.4,11.5,72.18,52.91,13.0,8.8,297.88,340.25,12.7,14.88
0,3,23,27,110,-0.036,22,1,6,50,4,1,6,2,28.0,0,Louisiana Tech,219.53,213.94,107.29,96.61,648.65,619.89,0.13,0.13,217.0,223.69,35.21,27.0,38.47,38.69,286.88,277.88,34.13,28.71,14.4,11.09,72.18,70.29,13.0,10.0,297.88,283.29,12.7,10.18
0,3,23,16,102,0.069,22,3,9,44,6,1,12,3,33.0,3,Sam Houston St.,219.53,230.11,107.29,105.11,648.65,668.89,0.13,0.1,217.0,274.93,35.21,33.36,38.47,37.8,286.88,323.62,34.13,32.91,14.4,12.88,72.18,100.25,13.0,13.1,297.88,347.57,12.7,14.0
0,3,22,17,85,0.059,20,1,2,31,7,0,4,3,25.0,1,Memphis,219.53,199.14,107.29,90.91,648.65,586.23,0.13,0.15,217.0,207.5,35.21,25.81,38.47,37.71,286.88,294.53,34.13,33.38,14.4,11.2,72.18,83.12,13.0,11.25,297.88,278.55,12.7,12.75
0,3,28,22,94,0.064,26,4,3,27,6,1,8,1,37.0,0,Air Force,219.53,202.95,107.29,103.5,648.65,544.09,0.13,0.12,217.0,260.62,35.21,35.36,38.47,47.56,286.88,223.05,34.13,36.92,14.4,17.3,72.18,96.73,13.0,14.36,297.88,325.47,12.7,11.31
0,3,27,11,83,0.193,24,3,6,20,5,0,0,3,30.0,1,South Dakota,219.53,254.69,107.29,103.12,648.65,751.25,0.13,0.12,217.0,271.57,35.21,29.17,38.47,40.25,286.88,369.13,34.13,38.11,14.4,10.91,72.18,66.92,13.0,13.36,297.88,329.77,12.7,10.8
0,3,25,12,76,0.171,21,0,9,25,10,0,2,0,26.0,1,Northern Colo.,219.53,240.88,107.29,105.82,648.65,686.88,0.13,0.09,217.0,223.82,35.21,33.09,38.47,54.58,286.88,311.25,34.13,26.69,14.4,22.4,72.18,67.67,13.0,14.09,297.88,318.06,12.7,15.0
1,3,44,21,110,0.209,42,7,3,52,7,1,5,1,54.5,5,Mississippi Val.,219.53,222.19,107.29,127.19,648.65,779.75,0.13,0.02,217.0,236.64,35.21,35.77,38.47,37.57,286.88,421.79,34.13,37.43,14.4,15.0,72.18,54.91,13.0,12.56,297.88,316.21,12.7,19.0
0,4,44,26,153,0.118,42,8,10,61,9,3,6,3,58.0,2,Jackson St.,219.53,223.83,107.29,123.22,648.65,679.0,0.13,0.09,217.0,218.35,35.21,33.86,38.47,39.73,286.88,292.06,34.13,33.75,14.4,10.38,72.18,71.29,13.0,11.27,297.88,321.06,12.7,14.6
1,3,33,11,88,0.250,32,13,4,45,1,2,8,3,52.0,0,Alcorn,219.53,143.38,107.29,90.73,648.65,473.73,0.13,0.01,217.0,153.95,35.21,33.21,38.47,40.57,286.88,222.78,34.13,37.57,14.4,8.73,72.18,40.33,13.0,9.67,297.88,220.59,12.7,26.81
0,4,41,23,137,0.131,38,6,7,61,4,4,18,1,60.0,6,Alabama St.,219.53,298.18,107.29,133.82,648.65,822.12,0.13,0.21,217.0,310.2,35.21,50.08,38.47,60.5,286.88,384.87,34.13,38.25,14.4,17.82,72.18,111.09,13.0,11.22,297.88,431.8,12.7,17.09
0,4,54,29,179,0.140,50,9,6,72,7,2,6,4,68.0,2,Alabama A&M,219.53,177.14,107.29,85.64,648.65,512.14,0.13,0.1,217.0,212.53,35.21,37.92,38.47,30.13,286.88,253.0,34.13,33.38,14.4,20.09,72.18,62.53,13.0,14.0,297.88,282.22,12.7,17.14
1,3,38,17,92,0.228,36,10,5,47,2,1,10,0,54.0,0,Southern U.,219.53,217.38,107.29,120.69,648.65,666.12,0.13,0.13,217.0,213.27,35.21,35.0,38.47,38.4,286.88,298.0,34.13,33.0,14.4,13.0,72.18,80.77,13.0,11.0,297.88,283.75,12.7,13.62
