Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,51,23,147,0.190,49,3,7,74,2,4,12,3,64.0,0,North Dakota St.,245.5,241.73,98.33,111.6,667.5,764.07,0.2,0.15,297.86,261.92,30.83,46.0,47.62,42.09,302.88,390.57,32.6,29.75,13.09,25.56,91.42,73.64,19.67,18.9,365.43,333.93,10.83,11.75
1,4,58,30,165,0.170,51,2,11,74,4,5,6,1,68.0,1,Weber St.,245.5,250.35,98.33,100.71,667.5,714.53,0.2,0.22,297.86,284.86,30.83,35.3,47.62,39.31,302.88,349.53,32.6,30.23,13.09,25.0,91.42,114.18,19.67,12.8,365.43,388.36,10.83,11.75
0,3,42,18,131,0.183,40,2,9,44,4,5,2,0,50.0,1,Arizona St.,245.5,274.71,98.33,110.65,667.5,745.41,0.2,0.32,297.86,316.71,30.83,25.08,47.62,40.88,302.88,340.88,32.6,26.38,13.09,30.5,91.42,71.5,19.67,12.7,365.43,380.33,10.83,12.83
0,3,50,27,129,0.178,48,1,6,56,2,1,8,3,56.0,0,BYU,245.5,245.11,98.33,94.53,667.5,634.53,0.2,0.16,297.86,312.57,30.83,33.17,47.62,39.75,302.88,279.0,32.6,32.0,13.09,12.5,91.42,116.21,19.67,15.08,365.43,352.56,10.83,8.17
1,5,69,29,197,0.203,63,4,8,86,3,1,20,3,84.0,2,Sacramento St.,245.5,368.12,98.33,135.38,667.5,1066.56,0.2,0.13,297.86,395.07,30.83,50.73,47.62,57.92,302.88,548.79,32.6,47.73,13.09,23.33,91.42,140.27,19.67,20.7,365.43,464.34,10.83,10.12
1,3,51,14,117,0.316,49,3,9,40,2,1,12,3,61.0,0,Missouri,245.5,343.33,98.33,140.73,667.5,888.07,0.2,0.25,297.86,341.43,30.83,36.08,47.62,61.45,302.88,380.86,32.6,34.31,13.09,29.0,91.42,136.82,19.67,18.18,365.43,473.25,10.83,13.7
0,5,60,19,178,0.230,56,4,9,81,3,4,24,4,80.0,1,UC Davis,245.5,252.06,98.33,106.29,667.5,695.35,0.2,0.28,297.86,268.13,30.83,33.62,47.62,47.79,302.88,307.69,32.6,30.93,13.09,16.9,91.42,86.92,19.67,12.15,365.43,363.73,10.83,14.3
1,3,40,6,90,0.378,33,6,5,35,1,0,12,3,52.0,2,Santa Clara,245.5,248.94,98.33,106.72,667.5,696.0,0.2,0.12,297.86,278.8,30.83,30.92,47.62,48.36,302.88,320.65,32.6,32.77,13.09,14.56,91.42,109.82,19.67,16.22,365.43,330.47,10.83,7.5
1,3,45,8,95,0.389,43,3,6,48,1,0,20,2,58.0,1,Portland St.,245.5,226.26,98.33,85.0,667.5,626.63,0.2,0.16,297.86,255.75,30.83,27.73,47.62,32.57,302.88,323.69,32.6,28.79,13.09,14.9,91.42,109.6,19.67,14.33,365.43,318.35,10.83,17.0
0,5,74,28,208/,0.221,73/,3,3,77,4,1,10,2,83.0,0,Minnesota,245.5,252.35,98.33,84.8,667.5,655.3,0.2,0.28,297.86,338.5,30.83,39.6,47.62,40.18,302.88,350.69,32.6,29.5,13.09,17.22,91.42,112.0,19.67,14.73,365.43,368.82,10.83,6.0
0,3,38,20,143,0.126,37,0,0,57,2,1,8,2,43.0,1,Oregon St.,245.5,283.59,98.33,103.0,667.5,799.06,0.2,0.18,297.86,300.47,30.83,41.5,47.62,44.0,302.88,394.47,32.6,32.0,13.09,20.1,91.42,96.23,19.67,15.25,365.43,404.17,10.83,5.1
1,3,41,19,115,0.191,39,7,8,44,2,0,12,3,54.0,1,Idaho St.,245.5,260.69,98.33,108.38,667.5,739.81,0.2,0.17,297.86,281.43,30.83,36.15,47.62,41.15,302.88,353.64,32.6,40.0,13.09,17.38,91.42,93.83,19.67,14.22,365.43,356.2,10.83,8.44
1,3,47,17,101,0.297,42,2,7,36,1,2,2,1,52.0,0,Fresno St.,245.5,229.17,98.33,104.61,667.5,618.0,0.2,0.05,297.86,276.86,30.83,37.0,47.62,54.83,302.88,269.19,32.6,32.79,13.09,25.75,91.42,102.77,19.67,14.64,365.43,340.19,10.83,8.29
1,3,40,12,103,0.272,34,6,9,34,1,0,16,0,54.0,1,San Diego St.,245.5,269.24,98.33,121.59,667.5,702.18,0.2,0.22,297.86,280.0,30.83,28.58,47.62,50.38,302.88,306.6,32.6,33.18,13.09,12.44,91.42,116.17,19.67,17.25,365.43,381.93,10.83,14.57
1,4,54,21,138,0.239,49,6,10,66,1,5,24,4,77.0,0,New Mexico,245.5,257.18,98.33,110.41,667.5,710.76,0.2,0.07,297.86,290.5,30.83,26.31,47.62,49.0,302.88,307.5,32.6,33.25,13.09,18.5,91.42,101.67,19.67,14.64,365.43,342.0,10.83,15.14
