Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
256.68,199.14,107.32,90.91,758.11,586.23,0.16,0.15,307.27,207.5,36.1,25.81,38.14,37.71,368.61,294.53,28.0,33.38,11.0,11.2,86.38,83.12,12.64,11.25,370.72,278.55,12.5,12.75,1,4,62,17,177,0.254,58,2,8,85,3,2,20,2,76.0,2
256.68,285.18,107.32,115.94,758.11,776.06,0.16,0.1,307.27,352.38,36.1,24.46,38.14,43.64,368.61,373.93,28.0,33.9,11.0,13.89,86.38,103.83,12.64,13.64,370.72,394.27,12.5,7.67,0,3,48,19,128,0.227,46,0,5,53,3,0,10,2,53.0,2
256.68,246.28,107.32,102.83,758.11,723.0,0.16,0.17,307.27,274.4,36.1,35.17,38.14,44.0,368.61,354.19,28.0,35.64,11.0,12.3,86.38,95.23,12.64,10.08,370.72,329.24,12.5,15.75,0,5,68,32,190,0.189,63,3,7,91,4,1,20,3,82.0,0
256.68,305.33,107.32,133.67,758.11,887.93,0.16,0.2,307.27,333.85,36.1,32.0,38.14,73.3,368.61,420.14,28.0,27.62,11.0,18.22,86.38,88.5,12.64,15.3,370.72,401.93,12.5,12.8,1,3,44,12,109,0.294,42,2,3,53,4,4,8,0,54.0,0
256.68,227.45,107.32,95.55,758.11,649.7,0.16,0.24,307.27,265.19,36.1,30.13,38.14,33.22,368.61,301.89,28.0,40.73,11.0,21.36,86.38,80.62,12.64,14.82,370.72,303.16,12.5,12.78,0,4,53,34,179,0.106,49,3,3,70,6,3,14,1,66.0,1
256.68,213.05,107.32,78.86,758.11,602.81,0.16,0.21,307.27,279.0,36.1,27.75,38.14,35.75,368.61,308.67,28.0,40.2,11.0,21.91,86.38,63.64,12.64,16.09,370.72,280.23,12.5,14.38,0,4,68,26,195,0.215,64,2,6,88,5,3,14,4,80.0,1
256.68,319.57,107.32,152.21,758.11,921.71,0.16,0.11,307.27,384.36,36.1,33.09,38.14,52.45,368.61,412.92,28.0,39.56,11.0,15.0,86.38,116.67,12.64,16.75,370.72,420.62,12.5,9.0,0,5,72,25,167,0.281,70,5,8,80,2,0,6,5/,80.0,1
256.68,295.19,107.32,127.5,758.11,827.81,0.16,0.08,307.27,319.36,36.1,40.82,38.14,58.64,368.61,401.07,28.0,34.33,11.0,8.0,86.38,131.7,12.64,13.4,370.72,393.5,12.5,9.78,0,5,71,25,193,0.238,65,4,7,93,7,0,12,2,81.0,2
256.68,302.73,107.32,129.27,758.11,887.87,0.16,0.22,307.27,327.46,36.1,45.82,38.14,63.5,368.61,430.86,28.0,37.67,11.0,12.4,86.38,77.25,12.64,13.0,370.72,402.32,12.5,17.12,1,3,42,10,99,0.323,40,5,5,55,4,0,20,1,57.0,1
256.68,295.19,107.32,127.5,758.11,827.81,0.16,0.08,307.27,319.36,36.1,40.82,38.14,58.64,368.61,401.07,28.0,34.33,11.0,8.0,86.38,131.7,12.64,13.4,370.72,393.5,12.5,9.78,0,4,52,23,164,0.177,49,0,5,78,8,3,20,4,65.0,4
