Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,41,30,147,0.075,40,4,8,69,7,0,22,1,56.0,0,Arkansas,284.94,284.56,128.56,113.56,829.88,755.31,0.13,0.23,286.0,310.36,45.27,31.0,50.85,52.0,388.07,330.87,39.0,34.27,18.38,14.12,95.46,119.09,13.64,15.6,388.3,381.6,8.67,14.12
0,4,54,18,149,0.242,53,6,8,77,11,0,18,0,69.0,1,Utah St.,284.94,257.69,128.56,109.69,829.88,715.81,0.13,0.2,286.0,281.71,45.27,41.55,50.85,47.42,388.07,342.07,39.0,35.23,18.38,10.7,95.46,110.83,13.64,11.38,388.3,382.29,8.67,15.14
1,4,59,27,168,0.190,54,7,6,83,3,1,14,1,74.0,4,Valparaiso,284.94,288.81,128.56,120.0,829.88,917.12,0.13,0.17,286.0,312.14,45.27,37.73,50.85,43.54,388.07,508.07,39.0,30.85,18.38,15.5,95.46,92.5,13.64,15.27,388.3,385.13,8.67,11.22
1,5,61,21,151,0.265,57,4,7,62,6,3,8,3,72.0,1,South Dakota St.,284.94,183.29,128.56,87.53,829.88,541.88,0.13,0.12,286.0,225.15,45.27,30.27,50.85,30.73,388.07,237.5,39.0,30.92,18.38,13.44,95.46,56.83,13.64,9.3,388.3,300.85,8.67,9.22
1,4,61,24,181,0.204,58,6,5,91,1,3,10,1,75.0,2,Northern Ariz.,284.94,238.94,128.56,85.65,829.88,692.76,0.13,0.21,286.0,290.77,45.27,39.09,50.85,52.25,388.07,331.19,39.0,38.6,18.38,14.5,95.46,85.83,13.64,18.1,388.3,341.53,8.67,8.33
0,3,34,29,128,0.039,33,3,4,54,3,0,6,0,40.0,1,Fresno St.,284.94,229.17,128.56,104.61,829.88,618.0,0.13,0.05,286.0,276.86,45.27,37.0,50.85,54.83,388.07,269.19,39.0,32.79,18.38,25.75,95.46,102.77,13.64,14.64,388.3,340.19,8.67,8.29
0,3,29,20,107,0.084,27,1,6,39,4,1,6,3,34.0,1,Arizona St.,284.94,274.71,128.56,110.65,829.88,745.41,0.13,0.32,286.0,316.71,45.27,25.08,50.85,40.88,388.07,340.88,39.0,26.38,18.38,30.5,95.46,71.5,13.64,12.7,388.3,380.33,8.67,12.83
0,3,37,21,122,0.131,36,2,6,50,2,0,18,1,48.0,1,Utah St.,284.94,257.69,128.56,109.69,829.88,715.81,0.13,0.2,286.0,281.71,45.27,41.55,50.85,47.42,388.07,342.07,39.0,35.23,18.38,10.7,95.46,110.83,13.64,11.38,388.3,382.29,8.67,15.14
0,4,53,32,156,0.135,51,0,9,66,3,2,12,3,61.0,2,Northern Ariz.,284.94,238.94,128.56,85.65,829.88,692.76,0.13,0.21,286.0,290.77,45.27,39.09,50.85,52.25,388.07,331.19,39.0,38.6,18.38,14.5,95.46,85.83,13.64,18.1,388.3,341.53,8.67,8.33
0,5,68,20,151,0.318,68,8,13,72,7,5,18,3,90.0,0,Fresno St.,284.94,229.17,128.56,104.61,829.88,618.0,0.13,0.05,286.0,276.86,45.27,37.0,50.85,54.83,388.07,269.19,39.0,32.79,18.38,25.75,95.46,102.77,13.64,14.64,388.3,340.19,8.67,8.29
1,3,43,13,123,0.244,41,3,2,65,1,2,12,0,54.0,1,San Francisco,284.94,216.82,128.56,97.35,829.88,632.76,0.13,0.1,286.0,262.85,45.27,33.83,50.85,47.0,388.07,271.69,39.0,38.0,18.38,17.4,95.46,83.3,13.64,13.2,388.3,312.17,8.67,5.0
1,3,45,18,134,0.201,43,4,5,68,2,0,4,1,51.0,1,Montana St.,284.94,203.89,128.56,94.61,829.88,591.94,0.13,0.01,286.0,248.0,45.27,32.09,50.85,39.54,388.07,273.25,39.0,26.15,18.38,8.7,95.46,82.23,13.64,13.82,388.3,290.28,8.67,10.7
