Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,46,13,105,0.314,44,5,10,42,2,1,14,2,59.0,0,High Point,265.62,232.05,87.31,92.42,657.94,632.63,0.13,0.19,330.0,292.64,39.9,45.0,48.27,52.25,293.47,305.65,29.25,40.8,16.12,22.56,75.92,81.08,10.75,13.09,348.9,329.03,12.4,14.5
1,3,51,14,110,0.336,48,3,6,46,3,2,8,3,60.0,0,Dayton,265.62,247.35,87.31,95.47,657.94,661.47,0.13,0.19,330.0,259.07,39.9,35.38,48.27,46.23,293.47,290.19,29.25,29.42,16.12,9.89,75.92,93.69,10.75,14.36,348.9,335.19,12.4,11.0
1,3,43,12,86,0.360,40,8,4,47,2,0,10,0,56.0,0,Northern Ill.,265.62,244.53,87.31,111.41,657.94,718.0,0.13,0.07,330.0,259.13,39.9,28.77,48.27,45.0,293.47,315.06,29.25,37.33,16.12,12.33,75.92,87.25,10.75,16.25,348.9,325.16,12.4,9.88
1,3,47,11,84,0.429,42,8,4,31,2,1,12,0,62.0,0,Seattle U,265.62,224.94,87.31,95.71,657.94,619.12,0.13,0.13,330.0,237.73,39.9,30.07,48.27,45.81,293.47,290.47,29.25,36.62,16.12,11.0,75.92,96.0,10.75,11.45,348.9,308.19,12.4,11.4
1,3,43,21,131,0.168,38,4,5,56,3,1,12,4,54.0,1,Santa Clara,265.62,248.94,87.31,106.72,657.94,696.0,0.13,0.12,330.0,278.8,39.9,30.92,48.27,48.36,293.47,320.65,29.25,32.77,16.12,14.56,75.92,109.82,10.75,16.22,348.9,330.47,12.4,7.5
0,3,45,17,96,0.292,44,1,4,48,5,3,2,2,50.0,0,Washington,265.62,271.33,87.31,100.44,657.94,716.94,0.13,0.16,330.0,303.53,39.9,37.46,48.27,36.76,293.47,341.38,29.25,39.5,16.12,15.6,75.92,121.92,10.75,16.23,348.9,421.3,12.4,7.45
0,3,38,22,109,0.147,34,3,2,28,6,0,8,1,45.0,1,Oregon,265.62,281.06,87.31,103.06,657.94,728.44,0.13,0.21,330.0,280.13,39.9,36.91,48.27,46.92,293.47,315.53,29.25,30.15,16.12,11.67,75.92,114.25,10.75,13.58,348.9,406.68,12.4,8.9
1,3,46,8,119,0.319,44,6,5,53,5,0,10,3,57.0,0,Duquesne,265.62,239.29,87.31,102.94,657.94,675.71,0.13,0.08,330.0,321.67,39.9,46.78,48.27,42.08,293.47,329.8,29.25,35.0,16.12,11.22,75.92,73.92,10.75,13.7,348.9,359.54,12.4,12.33
1,5,87/,28,209,0.282,82/,3,7,87,3,1,12,3,97.0/,0,Wichita St.,265.62,231.25,87.31,80.65,657.94,606.35,0.13,0.19,330.0,310.29,39.9,19.0,48.27,32.5,293.47,285.68,29.25,18.77,16.12,12.11,75.92,85.33,10.75,15.91,348.9,282.0,12.4,10.4
1,3,49,14,110,0.318,44,5,4,49,5,4,6,3,61.0,0,IUPUI,265.62,294.81,87.31,117.5,657.94,885.75,0.13,0.15,330.0,368.5,39.9,41.1,48.27,49.83,293.47,499.0,29.25,40.8,16.12,14.9,75.92,118.36,10.75,14.3,348.9,456.0,12.4,9.5
1,3,51,7,96,0.458,47,2,7,34,2,1,9,0,58.5,0,North Dakota,265.62,269.75,87.31,104.9,657.94,787.15,0.13,0.17,330.0,337.07,39.9,37.3,48.27,49.58,293.47,407.06,29.25,25.14,16.12,25.0,75.92,133.91,10.75,12.67,348.9,420.59,12.4,12.62
1,3,44,11,93,0.355,42,5,5,37,1,2,10,1,56.0,0,Green Bay,265.62,285.18,87.31,115.94,657.94,776.06,0.13,0.1,330.0,352.38,39.9,24.46,48.27,43.64,293.47,373.93,29.25,33.9,16.12,13.89,75.92,103.83,10.75,13.64,348.9,394.27,12.4,7.67
1,3,48,9,101,0.386,43,9,7,41,2,0,8,0,61.0,1,UC Davis,265.62,252.06,87.31,106.29,657.94,695.35,0.13,0.28,330.0,268.13,39.9,33.62,48.27,47.79,293.47,307.69,29.25,30.93,16.12,16.9,75.92,86.92,10.75,12.15,348.9,363.73,12.4,14.3
1,3,50,8,88,0.477,49,2,5,43,3,3,8,2,59.0,0,Cal St. Fullerton,265.62,199.39,87.31,93.39,657.94,609.33,0.13,0.11,330.0,239.36,39.9,32.92,48.27,34.31,293.47,304.38,29.25,36.58,16.12,10.5,75.92,65.46,10.75,14.0,348.9,283.47,12.4,10.82
1,3,45,18,112,0.241,43,5,2,46,3,1,12,2,57.0,1,UC Riverside,265.62,178.82,87.31,79.41,657.94,519.18,0.13,0.1,330.0,249.73,39.9,19.07,48.27,30.06,293.47,261.58,29.25,20.81,16.12,12.73,75.92,69.08,10.75,11.46,348.9,253.11,12.4,9.27
1,4,62,15,154,0.305,54,6,7,74,6,3,8,1,75.0,1,Long Beach St.,265.62,219.44,87.31,90.06,657.94,613.33,0.13,0.18,330.0,243.87,39.9,29.43,48.27,50.36,293.47,265.47,29.25,34.67,16.12,12.33,75.92,71.44,10.75,15.73,348.9,317.59,12.4,8.56
1,3,43,13,92,0.326,40,7,3,33,2,3,2,3,54.0,0,CSUN,265.62,221.33,87.31,93.06,657.94,581.17,0.13,0.16,330.0,244.27,39.9,46.45,48.27,50.23,293.47,260.5,29.25,40.77,16.12,19.18,75.92,66.42,10.75,13.56,348.9,319.03,12.4,8.67
1,5,64,21,169,0.254,59,6,6,84,4,1,8,1,75.0,2,Hawaii,265.62,201.4,87.31,75.8,657.94,558.7,0.13,0.17,330.0,249.73,39.9,29.64,48.27,52.23,293.47,250.89,29.25,23.73,16.12,13.73,75.92,92.67,10.75,12.73,348.9,286.11,12.4,6.78
1,4,60,22,136,0.279,53,7,2,55,7,3,27,1,83.5,1,UC Santa Barbara,265.62,234.88,87.31,97.41,657.94,657.29,0.13,0.14,330.0,287.62,39.9,30.14,48.27,43.43,293.47,300.94,29.25,34.33,16.12,15.44,75.92,80.46,10.75,10.2,348.9,317.31,12.4,19.83
1,3,48,11,89,0.416,47,4,5,36,3,1,6,2,56.0,3,CSUN,265.62,221.33,87.31,93.06,657.94,581.17,0.13,0.16,330.0,244.27,39.9,46.45,48.27,50.23,293.47,260.5,29.25,40.77,16.12,19.18,75.92,66.42,10.75,13.56,348.9,319.03,12.4,8.67
