Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,66,28,179,0.212,64,5,13,84,6,4,24,1,87.0,2,Duke,243.37,306.12,86.11,124.56,582.95,844.38,0.35,0.22,335.54,310.13,33.86,26.33,42.06,49.33,250.0,375.87,31.57,28.6,14.82,17.17,102.07,120.67,16.36,14.25,351.5,402.73,7.82,13.75
1,4,56,18,126,0.302,52,7,10,49,7,1,14,2,71.0,3,UCF,243.37,264.74,86.11,104.11,582.95,730.37,0.35,0.24,335.54,279.82,33.86,31.0,42.06,51.0,250.0,336.56,31.57,38.1,14.82,19.1,102.07,104.0,16.36,12.4,351.5,345.39,7.82,19.0
1,3,39,8,77,0.403,38,5,12,29,4,2,10,1,51.0,0,Northern Colo.,243.37,240.88,86.11,105.82,582.95,686.88,0.35,0.09,335.54,223.82,33.86,33.09,42.06,54.58,250.0,311.25,31.57,26.69,14.82,22.4,102.07,67.67,16.36,14.09,351.5,318.06,7.82,15.0
1,3,41,7,80,0.425,39,8,8,28,5,0,18,2,58.0,0,UNC Asheville,243.37,214.53,86.11,88.53,582.95,603.41,0.35,0.12,335.54,221.87,33.86,36.54,42.06,44.36,250.0,287.93,31.57,34.54,14.82,16.67,102.07,66.9,16.36,9.45,351.5,307.1,7.82,13.4
1,5,62,20,149,0.282,59,6,10,65,7,4,30,4,87.0,2,TCU,243.37,223.15,86.11,97.25,582.95,609.25,0.35,0.06,335.54,262.69,33.86,26.31,42.06,47.71,250.0,276.0,31.57,31.36,14.82,9.42,102.07,98.62,16.36,22.82,351.5,308.83,7.82,10.33
1,3,48,12,95,0.379,45,6,4,42,1,3,10,4,62.0,0,Florida St.,243.37,279.62,86.11,104.75,582.95,763.31,0.35,0.13,335.54,301.07,33.86,26.7,42.06,40.27,250.0,376.57,31.57,29.4,14.82,13.2,102.07,120.18,16.36,17.1,351.5,395.29,7.82,11.62
1,3,48,8,101,0.396,46,3,6,37,4,1,6,0,55.0,0,Michigan,243.37,267.61,86.11,100.56,582.95,668.33,0.35,0.2,335.54,321.5,33.86,39.45,42.06,55.31,250.0,270.59,31.57,36.36,14.82,19.4,102.07,111.64,16.36,17.9,351.5,378.69,7.82,9.12
1,4,59,24,145,0.241,56,6,8,44,3,3,19,2,77.5,1,Ball St.,243.37,227.45,86.11,95.55,582.95,649.7,0.35,0.24,335.54,265.19,33.86,30.13,42.06,33.22,250.0,301.89,31.57,40.73,14.82,21.36,102.07,80.62,16.36,14.82,351.5,303.16,7.82,12.78
1,3,46,11,92,0.380,46,4,3,48,4,1,22,1,62.0,1,Idaho St.,243.37,260.69,86.11,108.38,582.95,739.81,0.35,0.17,335.54,281.43,33.86,36.15,42.06,41.15,250.0,353.64,31.57,40.0,14.82,17.38,102.07,93.83,16.36,14.22,351.5,356.2,7.82,8.44
1,3,49,10,84,0.464,47,2,3,43,0,1,10,1,57.0,1,Xavier,243.37,245.0,86.11,103.95,582.95,707.79,0.35,0.14,335.54,242.83,33.86,31.67,42.06,44.0,250.0,323.61,31.57,30.5,14.82,19.0,102.07,79.14,16.36,12.46,351.5,341.06,7.82,8.42
0,5,55,23,159,0.201,52,7,5,70,9,1,12,3,69.0,0,Colorado,243.37,286.44,86.11,108.89,582.95,769.5,0.35,0.23,335.54,372.62,33.86,38.8,42.06,47.15,250.0,359.88,31.57,31.67,14.82,22.0,102.07,99.79,16.36,13.33,351.5,402.53,7.82,8.3
1,3,50,18,95,0.337,48,5,8,31,1,1,12,2,62.0,0,New Mexico,243.37,257.18,86.11,110.41,582.95,710.76,0.35,0.07,335.54,290.5,33.86,26.31,42.06,49.0,250.0,307.5,31.57,33.25,14.82,18.5,102.07,101.67,16.36,14.64,351.5,342.0,7.82,15.14
1,3,44,10,80,0.425,41,5,12,30,4,1,20,3,60.0,0,UNLV,243.37,265.25,86.11,127.5,582.95,782.19,0.35,0.09,335.54,328.75,33.86,39.55,42.06,53.67,250.0,339.33,31.57,41.73,14.82,19.22,102.07,111.17,16.36,17.4,351.5,367.93,7.82,14.7
