Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
240.31,233.82,129.15,91.12,746.08,645.41,0.15,0.26,265.09,257.86,32.67,36.92,74.83,42.08,341.5,320.87,38.82,44.11,12.67,10.73,61.9,80.64,16.7,11.56,328.29,331.97,21.12,11.57,0,3,14,16,65,-0.031,11,1,12,25,9,3,0,0,18.0,0
240.31,202.0,129.15,88.76,746.08,557.29,0.15,0.15,265.09,246.0,32.67,25.6,74.83,44.6,341.5,283.88,38.82,28.15,12.67,16.17,61.9,73.15,16.7,10.23,328.29,278.71,21.12,8.56,0,3,26,19,108,0.065,26,1,4,57,5,0,6,0,30.0,0
240.31,240.29,129.15,115.29,746.08,700.24,0.15,0.08,265.09,242.44,32.67,38.46,74.83,41.53,341.5,326.73,38.82,44.25,12.67,13.4,61.9,83.36,16.7,11.36,328.29,331.41,21.12,16.0,0,3,30,21,101,0.089,29,3,6,52,10,2,2,0,36.0,0
240.31,237.67,129.15,114.73,746.08,693.53,0.15,0.09,265.09,232.43,32.67,39.75,74.83,47.0,341.5,311.86,38.82,37.31,12.67,10.0,61.9,84.09,16.7,14.1,328.29,327.46,21.12,11.86,0,4,43,28,151,0.099,41,5,17,67,7,0,6,3,51.0,4
240.31,239.29,129.15,102.94,746.08,675.71,0.15,0.08,265.09,321.67,32.67,46.78,74.83,42.08,341.5,329.8,38.82,35.0,12.67,11.22,61.9,73.92,16.7,13.7,328.29,359.54,21.12,12.33,0,3,32,18,101,0.139,32,4,9,38,7,0,0,5,36.0,0
240.31,242.94,129.15,104.5,746.08,712.5,0.15,0.13,265.09,268.67,32.67,55.0,74.83,64.91,341.5,333.24,38.82,43.0,12.67,11.0,61.9,79.5,16.7,14.46,328.29,349.34,21.12,11.44,0,3,18,19,108,-0.009,17,2,8,42,3,2,8,1,26.0,2
240.31,158.62,129.15,72.67,746.08,467.0,0.15,0.14,265.09,184.29,32.67,25.21,74.83,33.94,341.5,223.26,38.82,23.44,12.67,9.1,61.9,53.89,16.7,10.31,328.29,213.0,21.12,8.88,0,3,19,30,107,-0.103,18,4,9,44,4,1,6,3,27.0,2
240.31,237.12,129.15,98.24,746.08,639.76,0.15,0.22,265.09,344.55,32.67,43.5,74.83,56.67,341.5,307.27,38.82,34.75,12.67,23.62,61.9,72.73,16.7,18.0,328.29,337.0,21.12,14.5,0,3,23,17,89,0.067,21,3,12,40,3,2,8,2,32.0,3
240.31,206.2,129.15,87.15,746.08,586.45,0.15,0.39,265.09,237.5,32.67,25.62,74.83,39.8,341.5,284.61,38.82,26.45,12.67,8.45,61.9,105.08,16.7,14.3,328.29,290.72,21.12,14.7,0,3,20,26,100,-0.060,16,3,7,32,4,1,4,1,26.0,0
240.31,228.42,129.15,91.89,746.08,608.26,0.15,0.16,265.09,247.38,32.67,34.93,74.83,48.76,341.5,270.82,38.82,33.38,12.67,11.88,61.9,70.36,16.7,8.08,328.29,318.62,21.12,12.0,0,3,18,19,84,-0.012,17,2,5,28,8,1,4,4,23.0,2
240.31,226.71,129.15,101.47,746.08,643.88,0.15,0.12,265.09,237.73,32.67,29.15,74.83,44.07,341.5,280.31,38.82,36.42,12.67,17.4,61.9,63.62,16.7,12.7,328.29,321.37,21.12,10.0,0,3,24,19,104,0.048,24,4,11,54,4,1,4,0,31.0,3
240.31,289.56,129.15,116.06,746.08,769.12,0.15,0.2,265.09,303.86,32.67,53.46,74.83,72.47,341.5,366.71,38.82,41.86,12.67,16.4,61.9,86.58,16.7,16.82,328.29,429.39,21.12,24.78,0,3,23,21,73,0.027,22,1,13,23,5,0,4,2,26.0,2
240.31,237.82,129.15,103.0,746.08,674.53,0.15,0.1,265.09,307.33,32.67,47.5,74.83,55.69,341.5,339.73,38.82,38.5,12.67,17.12,61.9,83.2,16.7,13.82,328.29,362.21,21.12,12.0,0,3,18,23,86,-0.058,16,4,5,34,2,0,10,1,27.0,3
240.31,214.53,129.15,88.53,746.08,603.41,0.15,0.12,265.09,221.87,32.67,36.54,74.83,44.36,341.5,287.93,38.82,34.54,12.67,16.67,61.9,66.9,16.7,9.45,328.29,307.1,21.12,13.4,0,5,54,19,152,0.230,51,6,13,66,10,0,14,7,67.0,5
240.31,174.17,129.15,93.22,746.08,515.61,0.15,0.12,265.09,197.0,32.67,29.46,74.83,37.07,341.5,223.65,38.82,31.0,12.67,10.27,61.9,59.36,16.7,13.92,328.29,238.03,21.12,15.62,0,4,34,22,119,0.101,31,2,12,34,7,0,10,4,41.0,4
240.31,143.36,129.15,70.82,746.08,409.86,0.15,0.14,265.09,180.44,32.67,26.19,74.83,42.38,341.5,185.58,38.82,28.47,12.67,14.5,61.9,67.46,16.7,12.09,328.29,197.93,21.12,8.3,0,3,38,19,97,0.196,38,2,8,34,6,1,8,3,45.0,5
240.31,154.79,129.15,88.42,746.08,458.0,0.15,0.03,265.09,195.0,32.67,26.38,74.83,45.94,341.5,203.41,38.82,29.44,12.67,10.09,61.9,45.47,16.7,10.64,328.29,224.41,21.12,15.9,1,4,43,28,136,0.110,40,6,13,67,1,3,12,2,58.0,1
