Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
217.17,226.71,91.61,101.47,625.06,643.88,0.11,0.12,215.65,237.73,39.83,29.15,42.0,44.07,284.82,280.31,38.46,36.42,15.42,17.4,76.58,63.62,14.88,12.7,295.97,321.37,18.86,10.0,1,3,30,14,90,0.178,29,10,8,45,1,4,8,0,48.0,0
217.17,208.21,91.61,86.47,625.06,632.05,0.11,0.13,215.65,242.73,39.83,28.46,42.0,37.69,284.82,282.89,38.46,25.86,15.42,10.3,76.58,86.62,14.88,10.64,295.97,356.57,18.86,10.56,0,4,56,20,173,0.208,50,3,5,78,10,1,0,2,60.0,3
217.17,242.88,91.61,108.88,625.06,655.69,0.11,0.09,215.65,261.79,39.83,35.0,42.0,42.64,284.82,278.0,38.46,34.92,15.42,11.67,76.58,89.5,14.88,8.82,295.97,332.2,18.86,12.82,1,4,45,17,117,0.239,37,7,5,44,4,0,20,0,62.0,0
217.17,161.61,91.61,86.72,625.06,461.89,0.11,0.02,215.65,191.93,39.83,36.75,42.0,42.43,284.82,192.88,38.46,37.29,15.42,11.36,76.58,59.45,14.88,9.83,295.97,237.62,18.86,11.0,1,3,35,9,74,0.351,32,10,6,30,5,0,12,0,51.0,0
217.17,263.25,91.61,116.31,625.06,729.25,0.11,0.2,215.65,283.07,39.83,28.75,42.0,46.09,284.82,323.07,38.46,31.31,15.42,11.0,76.58,91.0,14.88,11.11,295.97,347.53,18.86,16.0,1,4,54,12,134,0.313,51,5,11,60,10,1,10,1,65.0,9
217.17,252.89,91.61,102.89,625.06,653.72,0.11,0.1,215.65,305.43,39.83,36.85,42.0,63.42,284.82,295.0,38.46,41.0,15.42,12.3,76.58,93.67,14.88,11.8,295.97,357.25,18.86,9.56,0,4,51,22,150,0.193,51,5,3,66,7,3,8,1,63.0,1
217.17,247.47,91.61,109.53,625.06,674.0,0.11,0.18,215.65,314.86,39.83,40.17,42.0,64.75,284.82,338.75,38.46,43.91,15.42,17.75,76.58,63.88,14.88,16.21,295.97,324.28,18.86,18.5,1,4,54,7,117,0.402,50,10,4,46,6,2,16,2,74.0,1
217.17,271.5,91.61,102.56,625.06,732.94,0.11,0.13,215.65,291.0,39.83,33.82,42.0,58.45,284.82,359.64,38.46,32.18,15.42,16.27,76.58,84.92,14.88,9.0,295.97,360.3,18.86,11.33,0,5,54,31,136,0.169,51,11,8,54,10,4,2,2,70.0,0
217.17,244.17,91.61,97.44,625.06,693.83,0.11,0.13,215.65,314.69,39.83,30.17,42.0,41.43,284.82,340.31,38.46,34.0,15.42,16.9,76.58,124.42,14.88,15.08,295.97,354.53,18.86,21.11,0,5,62,25,170,0.218,59,5,7,75,5,0,14,3,74.0,3
217.17,193.29,91.61,108.21,625.06,571.79,0.11,0.05,215.65,227.82,39.83,40.6,42.0,46.75,284.82,243.77,38.46,35.69,15.42,11.44,76.58,59.73,14.88,15.0,295.97,272.58,18.86,12.33,1,3,39,11,92,0.304,38,6,5,44,2,3,6,1,51.0,1
