Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,45,19,128,0.203,42,5,6,41,2,1,4,1,53.0,1,Indiana St.,198.05,246.47,84.9,96.26,556.24,707.68,0.09,0.01,216.5,242.5,32.29,29.75,34.5,39.79,255.53,330.33,28.31,37.3,12.3,18.62,82.75,98.5,9.85,11.0,275.29,334.21,11.6,14.25
0,4,46,22,132,0.182,43,5,7,42,10,1,16,3,60.0,0,Indiana,198.05,223.37,84.9,88.95,556.24,567.37,0.09,0.11,216.5,281.86,32.29,34.23,34.5,52.79,255.53,263.31,28.31,32.71,12.3,14.9,82.75,81.92,9.85,14.0,275.29,313.5,11.6,8.56
0,4,44,26,126,0.143,43,9,7,49,8,1,6,2,57.0,2,Ball St.,198.05,227.45,84.9,95.55,556.24,649.7,0.09,0.24,216.5,265.19,32.29,30.13,34.5,33.22,255.53,301.89,28.31,40.73,12.3,21.36,82.75,80.62,9.85,14.82,275.29,303.16,11.6,12.78
1,4,58,26,168,0.190,55,2,9,83,9,5,6,1,68.0,1,Idaho,198.05,257.12,84.9,85.81,556.24,691.62,0.09,0.2,216.5,274.57,32.29,36.9,34.5,50.64,255.53,337.5,28.31,33.0,12.3,15.75,82.75,97.73,9.85,17.0,275.29,367.61,11.6,17.11
1,4,60,26,157,0.217,51,6,6,60,4,1,16,2,75.0,0,UIC,198.05,295.19,84.9,127.5,556.24,827.81,0.09,0.08,216.5,319.36,32.29,40.82,34.5,58.64,255.53,401.07,28.31,34.33,12.3,8.0,82.75,131.7,9.85,13.4,275.29,393.5,11.6,9.78
0,4,50,19,134,0.231,45,3,6,60,2,2,17,2,63.5,1,Army West Point,198.05,188.43,84.9,70.91,556.24,496.17,0.09,0.18,216.5,249.94,32.29,26.06,34.5,35.94,255.53,227.57,28.31,28.93,12.3,15.55,82.75,53.13,9.85,10.42,275.29,241.84,11.6,7.09
0,3,29,17,101,0.119,28,1,4,35,7,2,4,0,34.0,1,Northwestern,198.05,230.17,84.9,86.72,556.24,574.0,0.09,0.2,216.5,260.13,32.29,35.77,34.5,53.64,255.53,244.06,28.31,29.6,12.3,15.78,82.75,98.55,9.85,11.58,275.29,311.29,11.6,9.62
0,3,34,10,103,0.233,30,4,4,34,8,0,10,0,43.0,2,Milwaukee,198.05,283.38,84.9,117.06,556.24,752.19,0.09,0.15,216.5,330.23,32.29,42.0,34.5,50.4,255.53,322.93,28.31,38.4,12.3,15.0,82.75,99.5,9.85,12.64,275.29,378.27,11.6,9.29
1,3,31,6,81,0.309,30,7,6,46,4,1,18,0,48.0,1,Loyola Chicago,198.05,224.81,84.9,109.88,556.24,660.25,0.09,0.12,216.5,259.38,32.29,34.58,34.5,46.85,255.53,295.6,28.31,36.23,12.3,9.18,82.75,79.36,9.85,16.55,275.29,303.3,11.6,7.73
1,4,55,17,138,0.275,50,10,10,58,9,1,4,2,68.0,1,Saint Louis,198.05,218.33,84.9,98.0,556.24,571.39,0.09,0.21,216.5,245.4,32.29,41.5,34.5,53.73,255.53,235.88,28.31,40.5,12.3,9.12,82.75,82.17,9.85,17.82,275.29,332.93,11.6,11.57
