Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,34,6,92,0.304,32,6,10,46,0,2,4,0,44.0,2,Tennessee St.,201.05,267.27,77.1,122.13,547.7,788.47,0.24,0.05,209.67,265.43,25.88,31.15,39.25,47.85,270.33,368.21,22.69,37.5,13.44,17.62,106.0,78.7,10.67,20.22,282.56,353.46,10.15,15.71
1,4,62,19,149,0.289,58,5,9,81,5,1,22,2,79.0,2,USC Upstate,201.05,255.56,77.1,110.31,547.7,784.94,0.24,0.13,209.67,290.85,25.88,29.83,39.25,39.08,270.33,369.67,22.69,34.92,13.44,13.0,106.0,65.62,10.67,13.45,282.56,358.32,10.15,7.88
1,4,58,18,156,0.256,53,5,8,76,6,0,20,3,73.0,4,Col. of Charleston,201.05,293.62,77.1,118.06,547.7,788.88,0.24,0.24,209.67,313.71,25.88,28.77,39.25,34.82,270.33,364.8,22.69,39.44,13.44,15.42,106.0,97.38,10.67,17.0,282.56,392.67,10.15,10.9
1,3,44,13,110,0.282,42,2,8,43,2,1,14,0,54.0,1,UC Davis,201.05,252.06,77.1,106.29,547.7,695.35,0.24,0.28,209.67,268.13,25.88,33.62,39.25,47.79,270.33,307.69,22.69,30.93,13.44,16.9,106.0,86.92,10.67,12.15,282.56,363.73,10.15,14.3
1,4,52,14,120,0.317,49,7,13,63,5,2,16,0,69.0,4,Niagara,201.05,202.37,77.1,92.84,547.7,639.95,0.24,0.13,209.67,258.71,25.88,34.67,39.25,40.15,270.33,348.75,22.69,32.08,13.44,16.25,106.0,66.0,10.67,12.36,282.56,301.25,10.15,12.25
1,3,44,14,106,0.283,40,3,7,41,2,0,22,0,58.0,0,Eastern Ill.,201.05,246.28,77.1,102.83,547.7,723.0,0.24,0.17,209.67,274.4,25.88,35.17,39.25,44.0,270.33,354.19,22.69,35.64,13.44,12.3,106.0,95.23,10.67,10.08,282.56,329.24,10.15,15.75
0,3,29,22,106,0.066,25,2,3,38,5,1,10,3,37.0,3,Minnesota,201.05,252.35,77.1,84.8,547.7,655.3,0.24,0.28,209.67,338.5,25.88,39.6,39.25,40.18,270.33,350.69,22.69,29.5,13.44,17.22,106.0,112.0,10.67,14.73,282.56,368.82,10.15,6.0
0,3,34,18,103,0.155,33,5,7,43,2,0,9,0,43.5,1,Texas,201.05,250.82,77.1,82.59,547.7,645.71,0.24,0.33,209.67,284.5,25.88,25.75,39.25,58.92,270.33,341.57,22.69,28.64,13.44,11.6,106.0,137.2,10.67,22.56,282.56,335.94,10.15,7.71
1,4,56,26,162,0.185,52,11,9,65,4,1,10,3,73.0,2,A&M-Corpus Christi,201.05,211.95,77.1,79.2,547.7,581.2,0.24,0.18,209.67,207.53,25.88,31.85,39.25,42.6,270.33,269.21,22.69,35.0,13.44,13.73,106.0,46.8,10.67,8.83,282.56,271.32,10.15,12.5
1,3,41,11,103,0.291,41,5,6,48,3,1,14,2,54.0,2,Gonzaga,201.05,252.47,77.1,110.71,547.7,700.71,0.24,0.19,209.67,271.53,25.88,28.71,39.25,43.38,270.33,309.38,22.69,32.14,13.44,13.1,106.0,87.23,10.67,13.3,282.56,337.0,10.15,16.43
1,3,43,3,105,0.381,40,8,8,54,2,0,20,0,61.0,1,UC Riverside,201.05,178.82,77.1,79.41,547.7,519.18,0.24,0.1,209.67,249.73,25.88,19.07,39.25,30.06,270.33,261.58,22.69,20.81,13.44,12.73,106.0,69.08,10.67,11.46,282.56,253.11,10.15,9.27
0,4,56,22,147,0.231,54,5,6,51,2,3,22,2,75.0,1,San Diego St.,201.05,269.24,77.1,121.59,547.7,702.18,0.24,0.22,209.67,280.0,25.88,28.58,39.25,50.38,270.33,306.6,22.69,33.18,13.44,12.44,106.0,116.17,10.67,17.25,282.56,381.93,10.15,14.57
1,5,63,25,161,0.236,62,5,13,59,6,3,16,1,79.0,2,Purdue Fort Wayne,201.05,305.33,77.1,133.67,547.7,887.93,0.24,0.2,209.67,333.85,25.88,32.0,39.25,73.3,270.33,420.14,22.69,27.62,13.44,18.22,106.0,88.5,10.67,15.3,282.56,401.93,10.15,12.8
0,4,52,31,166,0.127,49,7,13,69,5,1,6,2,63.0,3,North Dakota St.,201.05,241.73,77.1,111.6,547.7,764.07,0.24,0.15,209.67,261.92,25.88,46.0,39.25,42.09,270.33,390.57,22.69,29.75,13.44,25.56,106.0,73.64,10.67,18.9,282.56,333.93,10.15,11.75
1,3,43,13,108,0.278,37,10,4,59,1,0,10,1,58.0,1,South Dakota St.,201.05,183.29,77.1,87.53,547.7,541.88,0.24,0.12,209.67,225.15,25.88,30.27,39.25,30.73,270.33,237.5,22.69,30.92,13.44,13.44,106.0,56.83,10.67,9.3,282.56,300.85,10.15,9.22
1,4,50,25,166,0.151,45,6,4,84,4,1,18,2,66.0,4,Omaha,201.05,248.19,77.1,106.94,547.7,743.19,0.24,0.14,209.67,261.71,25.88,31.38,39.25,48.43,270.33,357.73,22.69,37.8,13.44,16.5,106.0,74.0,10.67,13.5,282.56,335.0,10.15,9.8
0,3,36,15,95,0.221,34,2,10,37,7,0,10,1,43.0,1,Oral Roberts,201.05,259.75,77.1,103.25,547.7,669.94,0.24,0.14,209.67,261.4,25.88,30.46,39.25,48.15,270.33,284.53,22.69,34.64,13.44,8.78,106.0,76.42,10.67,14.82,282.56,339.3,10.15,9.4
1,3,45,15,100,0.300,41,10,9,50,2,1,14,3,63.0,0,Western Ill.,201.05,199.53,77.1,85.58,547.7,609.47,0.24,0.18,209.67,252.5,25.88,27.4,39.25,38.4,270.33,310.59,22.69,36.23,13.44,13.8,106.0,86.33,10.67,11.64,282.56,285.76,10.15,13.57
1,3,48,13,121,0.289,44,6,4,63,3,1,14,3,62.0,0,South Dakota,201.05,254.69,77.1,103.12,547.7,751.25,0.24,0.12,209.67,271.57,25.88,29.17,39.25,40.25,270.33,369.13,22.69,38.11,13.44,10.91,106.0,66.92,10.67,13.36,282.56,329.77,10.15,10.8
1,4,61,15,145,0.317,57,6,13,65,1,3,20,1,80.0,1,Purdue Fort Wayne,201.05,305.33,77.1,133.67,547.7,887.93,0.24,0.2,209.67,333.85,25.88,32.0,39.25,73.3,270.33,420.14,22.69,27.62,13.44,18.22,106.0,88.5,10.67,15.3,282.56,401.93,10.15,12.8
1,3,52,18,111,0.306,49,6,9,51,1,1,8,0,63.0,2,South Dakota St.,201.05,183.29,77.1,87.53,547.7,541.88,0.24,0.12,209.67,225.15,25.88,30.27,39.25,30.73,270.33,237.5,22.69,30.92,13.44,13.44,106.0,56.83,10.67,9.3,282.56,300.85,10.15,9.22
1,3,48,10,112,0.339,43,2,1,53,3,3,8,1,57.0,1,North Dakota St.,201.05,241.73,77.1,111.6,547.7,764.07,0.24,0.15,209.67,261.92,25.88,46.0,39.25,42.09,270.33,390.57,22.69,29.75,13.44,25.56,106.0,73.64,10.67,18.9,282.56,333.93,10.15,11.75
1,3,41,15,94,0.277,39,4,6,39,2,1,9,2,50.5,1,Oral Roberts,201.05,259.75,77.1,103.25,547.7,669.94,0.24,0.14,209.67,261.4,25.88,30.46,39.25,48.15,270.33,284.53,22.69,34.64,13.44,8.78,106.0,76.42,10.67,14.82,282.56,339.3,10.15,9.4
1,4,60,16,133,0.331,58,6,5,62,4,1,8,2,71.0,4,Omaha,201.05,248.19,77.1,106.94,547.7,743.19,0.24,0.14,209.67,261.71,25.88,31.38,39.25,48.43,270.33,357.73,22.69,37.8,13.44,16.5,106.0,74.0,10.67,13.5,282.56,335.0,10.15,9.8
1,5,57,29,213,0.131,54,6,7,113,8,0,21,3,73.5,2,South Dakota,201.05,254.69,77.1,103.12,547.7,751.25,0.24,0.12,209.67,271.57,25.88,29.17,39.25,40.25,270.33,369.13,22.69,38.11,13.44,10.91,106.0,66.92,10.67,13.36,282.56,329.77,10.15,10.8
1,4,64,25,154,0.253,62,5,7,71,8,1,20,0,80.0,3,Western Ill.,201.05,199.53,77.1,85.58,547.7,609.47,0.24,0.18,209.67,252.5,25.88,27.4,39.25,38.4,270.33,310.59,22.69,36.23,13.44,13.8,106.0,86.33,10.67,11.64,282.56,285.76,10.15,13.57
1,3,49,14,110,0.318,48,5,4,58,2,2,14,2,63.0,1,North Dakota St.,201.05,241.73,77.1,111.6,547.7,764.07,0.24,0.15,209.67,261.92,25.88,46.0,39.25,42.09,270.33,390.57,22.69,29.75,13.44,25.56,106.0,73.64,10.67,18.9,282.56,333.93,10.15,11.75
1,4,60,15,123,0.366,56,5,7,46,1,1,17,2,74.5,1,Oral Roberts,201.05,259.75,77.1,103.25,547.7,669.94,0.24,0.14,209.67,261.4,25.88,30.46,39.25,48.15,270.33,284.53,22.69,34.64,13.44,8.78,106.0,76.42,10.67,14.82,282.56,339.3,10.15,9.4
