Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
241.35,319.57,116.41,152.21,751.35,921.71,0.1,0.11,318.17,384.36,34.17,33.09,37.17,52.45,385.87,412.92,29.21,39.56,11.11,15.0,91.17,116.67,8.6,16.75,322.5,420.62,17.0,9.0,1,4,57,20,178,0.208,52,3,10,88,2,0,14,0,67.0,3
241.35,199.53,116.41,85.58,751.35,609.47,0.1,0.18,318.17,252.5,34.17,27.4,37.17,38.4,385.87,310.59,29.21,36.23,11.11,13.8,91.17,86.33,8.6,11.64,322.5,285.76,17.0,13.57,1,5,56,26,214,0.140,51,5,5,110,3,3,16,1,72.0,6/
241.35,185.84,116.41,84.68,751.35,542.53,0.1,0.06,318.17,231.79,34.17,39.0,37.17,43.06,385.87,256.18,29.21,42.0,11.11,13.12,91.17,60.14,8.6,13.55,322.5,268.47,17.0,15.2,1,3,47,19,127,0.220,45,9,2,68,1,0,8,0,60.0,0
241.35,205.38,116.41,104.19,751.35,601.62,0.1,0.09,318.17,234.69,34.17,39.1,37.17,52.43,385.87,302.92,29.21,43.4,11.11,11.5,91.17,52.91,8.6,8.8,322.5,340.25,17.0,14.88,1,5,58,25,151,0.219,55,14/,5,73,5,0,16,0,80.0,0
241.35,219.53,116.41,107.29,751.35,648.65,0.1,0.13,318.17,217.0,34.17,35.21,37.17,38.47,385.87,286.88,29.21,34.13,11.11,14.4,91.17,72.18,8.6,13.0,322.5,297.88,17.0,12.7,1,3,36,13,103,0.223,33,13,4,52,2,2,6,0,54.0,0
241.35,238.33,116.41,101.11,751.35,671.0,0.1,0.16,318.17,248.56,34.17,38.75,37.17,35.5,385.87,341.93,29.21,37.77,11.11,16.2,91.17,81.5,8.6,10.67,322.5,342.97,17.0,17.27,0,5,60,25,170,0.206,53,7,2,67,8,2,6,0,72.0,3
241.35,223.37,116.41,88.95,751.35,567.37,0.1,0.11,318.17,281.86,34.17,34.23,37.17,52.79,385.87,263.31,29.21,32.71,11.11,14.9,91.17,81.92,8.6,14.0,322.5,313.5,17.0,8.56,0,3,26,15,105,0.105,24,5,4,47,5,0,24,3,43.0,0
241.35,226.68,116.41,97.89,751.35,628.32,0.1,0.23,318.17,283.79,34.17,30.6,37.17,43.76,385.87,270.5,29.21,38.42,11.11,17.55,91.17,73.0,8.6,11.67,322.5,303.89,17.0,9.29,1,5,64,25,172,0.227,55,4,1,76,4,1,16,1,77.0,0
241.35,272.93,116.41,132.6,751.35,794.73,0.1,0.12,318.17,270.0,34.17,28.77,37.17,43.77,385.87,357.5,29.21,31.0,11.11,14.1,91.17,101.17,8.6,20.18,322.5,372.57,17.0,14.7,0,4,43,26,148,0.115,36,2,7,49,4,1,14,5/,53.0,0
241.35,227.45,116.41,95.55,751.35,649.7,0.1,0.24,318.17,265.19,34.17,30.13,37.17,33.22,385.87,301.89,29.21,40.73,11.11,21.36,91.17,80.62,8.6,14.82,322.5,303.16,17.0,12.78,0,3,27,15,94,0.128,26,2,4,39,7,0,6,0,32.0,5
241.35,314.27,116.41,121.13,751.35,867.2,0.1,0.19,318.17,363.58,34.17,34.58,37.17,50.57,385.87,400.29,29.21,33.15,11.11,15.27,91.17,107.42,8.6,13.82,322.5,424.39,17.0,9.38,0,3,36,31,134,0.037,29,3,3,55,4,3,4,0,44.0,1
241.35,239.29,116.41,102.94,751.35,675.71,0.1,0.08,318.17,321.67,34.17,46.78,37.17,42.08,385.87,329.8,29.21,35.0,11.11,11.22,91.17,73.92,8.6,13.7,322.5,359.54,17.0,12.33,0,5,50,25,140,0.179,46,10,8,48,5,2,20,0,72.0,2
241.35,246.47,116.41,96.26,751.35,707.68,0.1,0.01,318.17,242.5,34.17,29.75,37.17,39.79,385.87,330.33,29.21,37.3,11.11,18.62,91.17,98.5,8.6,11.0,322.5,334.21,17.0,14.25,0,5,65,32,176,0.188,61,5,7,79,5,3,10,0,78.0,6/
241.35,272.68,116.41,114.37,751.35,816.95,0.1,0.12,318.17,303.44,34.17,32.77,37.17,48.6,385.87,461.12,29.21,29.67,11.11,15.27,91.17,87.25,8.6,13.25,322.5,370.5,17.0,8.9,0,3,25,20,89,0.056,23,0,2,35,9,2,4,2,29.0,0
241.35,217.05,116.41,86.79,751.35,625.47,0.1,0.15,318.17,296.08,34.17,32.42,37.17,39.12,385.87,318.82,29.21,32.64,11.11,12.45,91.17,70.46,8.6,10.92,322.5,340.53,17.0,10.0,0,5,55,30,175,0.143,53,9,11,77,5,2,10,2,71.0,2
241.35,278.42,116.41,99.95,751.35,797.16,0.1,0.18,318.17,335.2,34.17,33.0,37.17,41.42,385.87,398.78,29.21,32.1,11.11,12.38,91.17,90.08,8.6,11.09,322.5,355.53,17.0,13.86,0,3,20,25,104,-0.048,18,2,2,38,6,1,14,1,30.0,5
241.35,285.41,116.41,114.24,751.35,872.82,0.1,0.06,318.17,286.75,34.17,24.93,37.17,38.71,385.87,437.06,29.21,37.22,11.11,11.75,91.17,97.92,8.6,12.0,322.5,367.66,17.0,12.0,0,4,38,26,153,0.078,38,4,6,69,4,2,16,0,52.0,0
241.35,350.56,116.41,131.25,751.35,997.06,0.1,0.17,318.17,403.85,34.17,32.45,37.17,46.55,385.87,536.43,29.21,29.73,11.11,27.0,91.17,104.9,8.6,18.89,322.5,447.1,17.0,10.1,0,3,28,16,103,0.117,26,2,6,45,4,0,4,1,32.0,0
241.35,256.68,116.41,107.32,751.35,758.11,0.1,0.16,318.17,307.27,34.17,36.1,37.17,38.14,385.87,368.61,29.21,28.0,11.11,11.0,91.17,86.38,8.6,12.64,322.5,370.72,17.0,12.5,1,5,66,27,200,0.195,64,3,6,94,5,1,28/,3,84.0,0
241.35,224.81,116.41,109.88,751.35,660.25,0.1,0.12,318.17,259.38,34.17,34.58,37.17,46.85,385.87,295.6,29.21,36.23,11.11,9.18,91.17,79.36,8.6,16.55,322.5,303.3,17.0,7.73,1,5,45,21,155,0.155,39,5,3,64,9,0,18,2,59.0,3
241.35,288.81,116.41,120.0,751.35,917.12,0.1,0.17,318.17,312.14,34.17,37.73,37.17,43.54,385.87,508.07,29.21,30.85,11.11,15.5,91.17,92.5,8.6,15.27,322.5,385.13,17.0,11.22,0,3,28,16,120,0.100,26,2,2,56,5,2,4,2,34.0,4
241.35,246.47,116.41,96.26,751.35,707.68,0.1,0.01,318.17,242.5,34.17,29.75,37.17,39.79,385.87,330.33,29.21,37.3,11.11,18.62,91.17,98.5,8.6,11.0,322.5,334.21,17.0,14.25,1,5,51,28,162,0.142,48,6,3,74,8,1,16,3,66.0,0
241.35,278.42,116.41,99.95,751.35,797.16,0.1,0.18,318.17,335.2,34.17,33.0,37.17,41.42,385.87,398.78,29.21,32.1,11.11,12.38,91.17,90.08,8.6,11.09,322.5,355.53,17.0,13.86,0,3,47,14,132,0.250,46,1,3,48,1,0,12,0,54.0,0
241.35,217.05,116.41,86.79,751.35,625.47,0.1,0.15,318.17,296.08,34.17,32.42,37.17,39.12,385.87,318.82,29.21,32.64,11.11,12.45,91.17,70.46,8.6,10.92,322.5,340.53,17.0,10.0,1,3,45,18,114,0.237,41,8,4,57,4,1,21,0,64.5,0
241.35,350.56,116.41,131.25,751.35,997.06,0.1,0.17,318.17,403.85,34.17,32.45,37.17,46.55,385.87,536.43,29.21,29.73,11.11,27.0,91.17,104.9,8.6,18.89,322.5,447.1,17.0,10.1,0,3,33,18,109,0.138,30,0,4,49,2,0,9,1,37.5,2
241.35,285.41,116.41,114.24,751.35,872.82,0.1,0.06,318.17,286.75,34.17,24.93,37.17,38.71,385.87,437.06,29.21,37.22,11.11,11.75,91.17,97.92,8.6,12.0,322.5,367.66,17.0,12.0,0,3,48,20,158,0.177,43,3,4,76,1,0,12,0,57.0,0
241.35,288.81,116.41,120.0,751.35,917.12,0.1,0.17,318.17,312.14,34.17,37.73,37.17,43.54,385.87,508.07,29.21,30.85,11.11,15.5,91.17,92.5,8.6,15.27,322.5,385.13,17.0,11.22,0,4,51,34,178,0.096,48,2,4,85,3,1,10,1,59.0,2
241.35,224.81,116.41,109.88,751.35,660.25,0.1,0.12,318.17,259.38,34.17,34.58,37.17,46.85,385.87,295.6,29.21,36.23,11.11,9.18,91.17,79.36,8.6,16.55,322.5,303.3,17.0,7.73,0,3,36,24,127,0.094,32,3,1,62,8,1,10,1,45.0,0
241.35,256.68,116.41,107.32,751.35,758.11,0.1,0.16,318.17,307.27,34.17,36.1,37.17,38.14,385.87,368.61,29.21,28.0,11.11,11.0,91.17,86.38,8.6,12.64,322.5,370.72,17.0,12.5,0,3,44,24,141,0.142,39,3,5,63,3,0,13,0,53.5,1
241.35,272.68,116.41,114.37,751.35,816.95,0.1,0.12,318.17,303.44,34.17,32.77,37.17,48.6,385.87,461.12,29.21,29.67,11.11,15.27,91.17,87.25,8.6,13.25,322.5,370.5,17.0,8.9,0,3,23,22,115,0.009,22,2,6,46,4,0,2,1,26.0,2
