Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,29,12,97,0.175,27,2,4,46,9,1,2,1,33.0,0,Cal St. Fullerton,232.87,199.39,106.27,93.39,751.6,609.33,0.1,0.11,230.57,239.36,31.62,32.92,31.0,34.31,375.5,304.38,40.83,36.58,12.5,10.5,73.58,65.46,11.73,14.0,317.54,283.47,12.5,10.82
0,3,27,18,107,0.084,26,4,2,39,5,1,4,1,34.0,1,UC Riverside,232.87,178.82,106.27,79.41,751.6,519.18,0.1,0.1,230.57,249.73,31.62,19.07,31.0,30.06,375.5,261.58,40.83,20.81,12.5,12.73,73.58,69.08,11.73,11.46,317.54,253.11,12.5,9.27
0,3,32,20,126,0.095,31,3,3,59,5,2,4,1,39.0,0,Drake,232.87,285.41,106.27,114.24,751.6,872.82,0.1,0.06,230.57,286.75,31.62,24.93,31.0,38.71,375.5,437.06,40.83,37.22,12.5,11.75,73.58,97.92,11.73,12.0,317.54,367.66,12.5,12.0
0,3,31,20,122,0.090,25,5,2,49,5,0,12,1,42.0,1,Brown,232.87,176.63,106.27,83.95,751.6,530.84,0.1,0.15,230.57,207.33,31.62,31.54,31.0,32.69,375.5,252.29,40.83,34.08,12.5,14.38,73.58,81.75,11.73,9.0,317.54,257.15,12.5,15.2
0,3,22,17,95,0.053,19,5,3,36,6,0,8,0,31.0,0,Holy Cross,232.87,183.25,106.27,86.25,751.6,570.55,0.1,0.14,230.57,197.24,31.62,30.71,31.0,41.33,375.5,285.44,40.83,29.53,12.5,11.67,73.58,62.77,11.73,7.27,317.54,256.0,12.5,8.9
1,4,38,18,120,0.167,34,18/,8,50,8,2,12,1,64.0,0,Manhattan,232.87,185.84,106.27,84.68,751.6,542.53,0.1,0.06,230.57,231.79,31.62,39.0,31.0,43.06,375.5,256.18,40.83,42.0,12.5,13.12,73.58,60.14,11.73,13.55,317.54,268.47,12.5,15.2
1,5,62,23,176,0.222,58,2,4,87,9,2,16,3,74.0,3,Quinnipiac,232.87,255.29,106.27,120.0,751.6,718.88,0.1,0.04,230.57,271.6,31.62,45.25,31.0,49.71,375.5,302.31,40.83,30.18,12.5,10.0,73.58,91.58,11.73,16.09,317.54,368.83,12.5,11.33
0,4,48,22,177,0.147,45,6,4,91,6,1,2,1,56.0,2,Rider,232.87,238.94,106.27,100.06,751.6,710.61,0.1,0.12,230.57,289.21,31.62,39.46,31.0,48.57,375.5,338.35,40.83,39.86,12.5,13.0,73.58,78.75,11.73,12.45,317.54,338.53,12.5,16.25
0,3,29,19,106,0.094,24,2,3,43,7,0,8,2,35.0,0,Providence,232.87,271.19,106.27,115.38,751.6,747.69,0.1,0.12,230.57,291.14,31.62,41.92,31.0,57.67,375.5,346.86,40.83,42.83,12.5,12.1,73.58,80.17,11.73,14.6,317.54,388.86,12.5,12.5
0,3,33,22,140,0.079,30,0,2,75,3,0,8,2,37.0,1,Rider,232.87,238.94,106.27,100.06,751.6,710.61,0.1,0.12,230.57,289.21,31.62,39.46,31.0,48.57,375.5,338.35,40.83,39.86,12.5,13.0,73.58,78.75,11.73,12.45,317.54,338.53,12.5,16.25
0,4,39,21,139,0.129,36,6,4,73,17/,4,16,4,57.0,0,Lafayette,232.87,189.47,106.27,93.65,751.6,585.35,0.1,0.09,230.57,215.57,31.62,39.42,31.0,50.33,375.5,283.73,40.83,50.55,12.5,13.2,73.58,54.25,11.73,11.0,317.54,276.77,12.5,7.27
0,3,30,22,126,0.063,25,1,0,58,8,3,12,1,40.0,1,NJIT,232.87,268.53,106.27,125.07,751.6,775.87,0.1,0.14,230.57,267.21,31.62,45.55,31.0,72.09,375.5,344.57,40.83,39.5,12.5,11.67,73.58,88.92,11.73,16.09,317.54,369.11,12.5,14.8
0,4,39,24,157,0.096,36,4,5,71,6,2,12,1,51.0,1,NJIT,232.87,268.53,106.27,125.07,751.6,775.87,0.1,0.14,230.57,267.21,31.62,45.55,31.0,72.09,375.5,344.57,40.83,39.5,12.5,11.67,73.58,88.92,11.73,16.09,317.54,369.11,12.5,14.8
0,4,31,18,135,0.096,29,4,3,67,3,4,18,0,48.0,1,Sacred Heart,232.87,214.58,106.27,109.89,751.6,596.89,0.1,0.07,230.57,267.79,31.62,35.33,31.0,52.69,375.5,298.93,40.83,34.0,12.5,12.78,73.58,124.7,11.73,12.7,317.54,327.47,12.5,12.3
0,3,29,9,96,0.208,26,1,6,45,10,1,14,0,38.0,0,Robert Morris,232.87,242.94,106.27,104.5,751.6,712.5,0.1,0.13,230.57,268.67,31.62,55.0,31.0,64.91,375.5,333.24,40.83,43.0,12.5,11.0,73.58,79.5,11.73,14.46,317.54,349.34,12.5,11.44
0,4,36,19,152,0.112,34,4,2,58,8,3,18,1,52.0,0,Bryant,232.87,275.12,106.27,126.12,751.6,809.41,0.1,0.14,230.57,336.62,31.62,42.64,31.0,44.71,375.5,365.69,40.83,33.85,12.5,12.33,73.58,117.73,11.73,16.82,317.54,369.03,12.5,23.12
0,4,49,17,168,0.190,47,0,4,85,7,2,12,4,57.0,1,Central Conn. St.,232.87,233.06,106.27,104.44,751.6,701.61,0.1,0.06,230.57,281.64,31.62,33.18,31.0,43.27,375.5,353.31,40.83,31.27,12.5,12.45,73.58,115.83,11.73,12.67,317.54,337.0,12.5,22.0
1,3,41,9,109,0.294,38,6,3,43,3,0,10,2,52.0,0,St. Francis Brooklyn,232.87,221.44,106.27,102.19,751.6,606.81,0.1,0.13,230.57,252.69,31.62,37.75,31.0,41.33,375.5,278.43,40.83,42.92,12.5,8.7,73.58,77.08,11.73,15.83,317.54,303.03,12.5,11.7
1,3,42,17,103,0.243,38,4,2,55,1,0,8,0,50.0,1,Manhattan,232.87,185.84,106.27,84.68,751.6,542.53,0.1,0.06,230.57,231.79,31.62,39.0,31.0,43.06,375.5,256.18,40.83,42.0,12.5,13.12,73.58,60.14,11.73,13.55,317.54,268.47,12.5,15.2
0,3,29,16,99,0.131,28,5,4,37,5,2,12,2,42.0,1,Sacred Heart,232.87,214.58,106.27,109.89,751.6,596.89,0.1,0.07,230.57,267.79,31.62,35.33,31.0,52.69,375.5,298.93,40.83,34.0,12.5,12.78,73.58,124.7,11.73,12.7,317.54,327.47,12.5,12.3
0,3,32,16,122,0.131,31,2,4,48,5,0,2,2,35.0,0,Robert Morris,232.87,242.94,106.27,104.5,751.6,712.5,0.1,0.13,230.57,268.67,31.62,55.0,31.0,64.91,375.5,333.24,40.83,43.0,12.5,11.0,73.58,79.5,11.73,14.46,317.54,349.34,12.5,11.44
0,3,23,14,93,0.097,22,3,0,40,8,0,8,0,30.0,3,Bryant,232.87,275.12,106.27,126.12,751.6,809.41,0.1,0.14,230.57,336.62,31.62,42.64,31.0,44.71,375.5,365.69,40.83,33.85,12.5,12.33,73.58,117.73,11.73,16.82,317.54,369.03,12.5,23.12
0,3,37,23,123,0.114,35,5,1,62,9,0,8,2,46.0,3,Central Conn. St.,232.87,233.06,106.27,104.44,751.6,701.61,0.1,0.06,230.57,281.64,31.62,33.18,31.0,43.27,375.5,353.31,40.83,31.27,12.5,12.45,73.58,115.83,11.73,12.67,317.54,337.0,12.5,22.0
0,3,18,14,80,0.050,15,4,4,26,11,1,8,0,27.0,0,St. Francis Brooklyn,232.87,221.44,106.27,102.19,751.6,606.81,0.1,0.13,230.57,252.69,31.62,37.75,31.0,41.33,375.5,278.43,40.83,42.92,12.5,8.7,73.58,77.08,11.73,15.83,317.54,303.03,12.5,11.7
