Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
191.72,248.12,86.11,105.25,534.17,685.69,0.14,0.08,202.75,233.88,42.31,32.64,41.19,43.71,235.47,296.0,47.55,38.75,8.22,17.89,60.31,81.92,10.15,13.67,279.19,338.63,12.11,18.08,1,5,61,24,178,0.208,61,10,15,69,6,0,10,3,76.0,3
191.72,238.33,86.11,101.11,534.17,671.0,0.14,0.16,202.75,248.56,42.31,38.75,41.19,35.5,235.47,341.93,47.55,37.77,8.22,16.2,60.31,81.5,10.15,10.67,279.19,342.97,12.11,17.27,1,4,42,11,83,0.373,37,15,14,29,7,4,8,0,65.0,4
191.72,143.38,86.11,90.73,534.17,473.73,0.14,0.01,202.75,153.95,42.31,33.21,41.19,40.57,235.47,222.78,47.55,37.57,8.22,8.73,60.31,40.33,10.15,9.67,279.19,220.59,12.11,26.81,1,3,40,8,82,0.390,32,8,6,44,0,1,4,1,51.0,4
191.72,185.84,86.11,84.68,534.17,542.53,0.14,0.06,202.75,231.79,42.31,39.0,41.19,43.06,235.47,256.18,47.55,42.0,8.22,13.12,60.31,60.14,10.15,13.55,279.19,268.47,12.11,15.2,1,3,43,24,103,0.184,39,10,9,36,2,1,6,1,57.0,2
191.72,237.0,86.11,89.25,534.17,635.9,0.14,0.24,202.75,279.75,42.31,30.08,41.19,42.53,235.47,288.32,47.55,34.4,8.22,13.2,60.31,110.0,10.15,17.1,279.19,324.33,12.11,11.2,0,3,42,17,130,0.192,40,2,13,54,4,1,6,2,48.0,0
191.72,238.94,86.11,100.06,534.17,710.61,0.14,0.12,202.75,289.21,42.31,39.46,41.19,48.57,235.47,338.35,47.55,39.86,8.22,13.0,60.31,78.75,10.15,12.45,279.19,338.53,12.11,16.25,1,4,49,24,135,0.185,48,10,8,65,7,2,8,1,65.0,4
191.72,189.0,86.11,81.75,534.17,553.4,0.14,0.12,202.75,237.87,42.31,26.14,41.19,34.8,235.47,267.94,47.55,24.43,8.22,13.88,60.31,76.14,10.15,12.92,279.19,252.11,12.11,12.29,1,4,57,24,161,0.205,52,7,7,73,5,1,14,1,72.0,0
191.72,252.47,86.11,110.71,534.17,700.71,0.14,0.19,202.75,271.53,42.31,28.71,41.19,43.38,235.47,309.38,47.55,32.14,8.22,13.1,60.31,87.23,10.15,13.3,279.19,337.0,12.11,16.43,0,4,44,30,138,0.101,43,6,5,54,8,0,8,1,54.0,4
191.72,257.12,86.11,85.81,534.17,691.62,0.14,0.2,202.75,274.57,42.31,36.9,41.19,50.64,235.47,337.5,47.55,33.0,8.22,15.75,60.31,97.73,10.15,17.0,279.19,367.61,12.11,17.11,0,3,26,22,94,0.043,26,3,4,34,11,2,2,3,32.0,0
191.72,183.44,86.11,76.33,534.17,514.89,0.14,0.11,202.75,201.67,42.31,30.86,41.19,43.0,235.47,249.0,47.55,35.45,8.22,10.11,60.31,69.23,10.15,12.0,279.19,237.5,12.11,8.88,0,3,31,27,111,0.036,31,2,4,51,6,0,8,0,37.0,1
191.72,221.44,86.11,102.19,534.17,606.81,0.14,0.13,202.75,252.69,42.31,37.75,41.19,41.33,235.47,278.43,47.55,42.92,8.22,8.7,60.31,77.08,10.15,15.83,279.19,303.03,12.11,11.7,1,3,44,9,79,0.443,41,11,8,34,7,0,8,4,59.0,3
191.72,217.17,86.11,91.61,534.17,625.06,0.14,0.11,202.75,215.65,42.31,39.83,41.19,42.0,235.47,284.82,47.55,38.46,8.22,15.42,60.31,76.58,10.15,14.88,279.19,295.97,12.11,18.86,0,3,34,16,93,0.194,32,6,8,31,8,1,10,2,46.0,3
191.72,212.5,86.11,98.0,534.17,594.95,0.14,0.17,202.75,266.2,42.31,44.73,41.19,46.62,235.47,254.32,47.55,39.55,8.22,18.11,60.31,145.36,10.15,14.45,279.19,356.53,12.11,13.22,0,3,34,19,88,0.170,33,2,5,38,7,0,6,0,39.0,0
