Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,3,40,11,96,0.302,40,7,10,39,6,0,4,2,49.0,1,Presbyterian,252.89,275.69,102.89,118.75,653.72,835.25,0.1,0.13,305.43,312.77,36.85,45.73,63.42,54.5,295.0,396.33,41.0,50.8,12.3,17.78,93.67,68.55,11.8,16.36,357.25,363.4,9.56,22.89
1,3,39,10,86,0.337,34,5,11,35,2,1,8,3,49.0,0,George Mason,252.89,212.44,102.89,98.31,653.72,614.12,0.1,0.17,305.43,241.15,36.85,26.5,63.42,38.08,295.0,288.36,41.0,28.15,12.3,7.89,93.67,67.08,11.8,14.83,357.25,322.35,9.56,15.75
1,3,46,15,99,0.313,40,7,7,44,3,0,6,1,56.0,0,UNC Asheville,252.89,214.53,102.89,88.53,653.72,603.41,0.1,0.12,305.43,221.87,36.85,36.54,63.42,44.36,295.0,287.93,41.0,34.54,12.3,16.67,93.67,66.9,11.8,9.45,357.25,307.1,9.56,13.4
1,3,45,13,93,0.344,45,7,3,45,2,1,10,0,58.0,0,Ohio,252.89,282.62,102.89,133.56,653.72,836.31,0.1,0.11,305.43,356.75,36.85,47.0,63.42,63.25,295.0,417.86,41.0,30.19,12.3,20.64,93.67,79.62,11.8,12.73,357.25,385.57,9.56,10.12
0,4,57,21,154,0.234,55,4,12,66,8,2,12,0,69.0,0,High Point,252.89,232.05,102.89,92.42,653.72,632.63,0.1,0.19,305.43,292.64,36.85,45.0,63.42,52.25,295.0,305.65,41.0,40.8,12.3,22.56,93.67,81.08,11.8,13.09,357.25,329.03,9.56,14.5
1,3,46,19,93,0.290,43,6,4,40,1,1,16,0,61.0,0,Oklahoma,252.89,241.12,102.89,109.65,653.72,651.47,0.1,0.23,305.43,274.64,36.85,22.54,63.42,39.62,295.0,317.43,41.0,23.0,12.3,10.36,93.67,101.09,11.8,13.27,357.25,337.47,9.56,9.67
1,4,65,19,158,0.291,63,7,10,70,5,5,10,1,82.0,0,Davidson,252.89,217.17,102.89,91.61,653.72,625.06,0.1,0.11,305.43,215.65,36.85,39.83,63.42,42.0,295.0,284.82,41.0,38.46,12.3,15.42,93.67,76.58,11.8,14.88,357.25,295.97,9.56,18.86
1,3,47,10,99,0.374,43,5,5,41,2,1,10,3,58.0,0,FGCU,252.89,271.5,102.89,102.56,653.72,732.94,0.1,0.13,305.43,291.0,36.85,33.82,63.42,58.45,295.0,359.64,41.0,32.18,12.3,16.27,93.67,84.92,11.8,9.0,357.25,360.3,9.56,11.33
0,5,51,27,138,0.174,50,17/,11,45,2,1,15,2,76.5,3,Wofford,252.89,247.47,102.89,109.53,653.72,674.0,0.1,0.18,305.43,314.86,36.85,40.17,63.42,64.75,295.0,338.75,41.0,43.91,12.3,17.75,93.67,63.88,11.8,16.21,357.25,324.28,9.56,18.5
0,3,31,20,97,0.113,31,4,8,41,5,0,10,1,40.0,0,Kennesaw St.,252.89,181.95,102.89,79.74,653.72,503.63,0.1,0.27,305.43,213.73,36.85,24.18,63.42,34.13,295.0,237.24,41.0,24.3,12.3,11.73,93.67,71.92,11.8,13.73,357.25,267.72,9.56,7.11
1,4,69,20,156,0.314,64,5,8,73,2,1,18,2,84.0,0,Texas Tech,252.89,248.3,102.89,100.35,653.72,688.85,0.1,0.09,305.43,311.53,36.85,26.62,63.42,43.67,295.0,344.12,41.0,27.67,12.3,17.5,93.67,118.36,11.8,17.0,357.25,381.44,9.56,11.75
1,4,54,27,166,0.163,53,12,10,77,1,1,20,2,77.0,0,Georgia Tech,252.89,260.71,102.89,103.24,653.72,691.53,0.1,0.35,305.43,323.54,36.85,33.73,63.42,39.91,295.0,339.64,41.0,37.5,12.3,12.73,93.67,82.69,11.8,13.09,357.25,342.53,9.56,11.57
1,3,44,14,105,0.286,40,1,6,42,4,0,14,0,52.0,1,Alabama,252.89,237.26,102.89,106.53,653.72,690.95,0.1,0.18,305.43,323.38,36.85,37.73,63.42,55.55,295.0,333.76,41.0,38.0,12.3,26.4,93.67,86.46,11.8,17.0,357.25,383.27,9.56,18.57
0,3,32,20,102,0.118,31,1,12,49,4,2,4,0,37.0,0,Auburn,252.89,289.07,102.89,118.36,653.72,817.5,0.1,0.03,305.43,316.75,36.85,34.8,63.42,70.64,295.0,414.58,41.0,37.88,12.3,15.88,93.67,88.33,11.8,16.0,357.25,409.96,9.56,9.14
0,3,33,16,94,0.181,31,3,5,26,6,0,8,1,40.0,2,Texas A&M,252.89,191.82,102.89,87.47,653.72,530.12,0.1,0.22,305.43,218.57,36.85,24.92,63.42,40.0,295.0,244.87,41.0,25.75,12.3,13.4,93.67,80.83,11.8,13.67,357.25,262.75,9.56,13.43
0,5,66,28,178,0.213,58,3,10,59,4,2,20,5,81.0,2,Ole Miss,252.89,337.31,102.89,144.69,653.72,935.06,0.1,0.18,305.43,416.0,36.85,41.7,63.42,63.91,295.0,433.8,41.0,36.91,12.3,28.5,93.67,105.5,11.8,8.8,357.25,448.8,9.56,12.92
1,5,58,28,146,0.205,51,5,14,62,8,1,14,3,71.0,1,South Carolina,252.89,240.44,102.89,97.17,653.72,633.83,0.1,0.18,305.43,269.8,36.85,37.42,63.42,54.07,295.0,308.0,41.0,34.14,12.3,24.88,93.67,84.25,11.8,16.2,357.25,342.59,9.56,21.5
0,3,30,22,107,0.075,30,2,6,47,3,0,4,0,34.0,0,Florida,252.89,264.76,102.89,98.35,653.72,716.82,0.1,0.28,305.43,348.67,36.85,39.7,63.42,66.82,295.0,341.93,41.0,38.44,12.3,11.4,93.67,123.0,11.8,12.6,357.25,383.33,9.56,12.0
0,5,67,25,178,0.236,66,6,7,62,2,1,10,2,79.0,2,Tennessee,252.89,198.7,102.89,79.75,653.72,569.75,0.1,0.21,305.43,247.67,36.85,22.38,63.42,33.2,295.0,290.29,41.0,25.25,12.3,11.82,93.67,96.92,11.8,8.08,357.25,279.17,9.56,11.27
1,3,43,13,83,0.361,40,3,6,38,3,0,16,1,54.0,0,Mississippi St.,252.89,253.88,102.89,120.62,653.72,701.81,0.1,0.08,305.43,294.31,36.85,35.69,63.42,55.15,295.0,290.47,41.0,40.58,12.3,19.3,93.67,79.27,11.8,11.09,357.25,343.67,9.56,10.0
1,3,48,15,97,0.340,45,8,7,29,2,1,10,0,62.0,0,Missouri,252.89,343.33,102.89,140.73,653.72,888.07,0.1,0.25,305.43,341.43,36.85,36.08,63.42,61.45,295.0,380.86,41.0,34.31,12.3,29.0,93.67,136.82,11.8,18.18,357.25,473.25,9.56,13.7
1,4,55,18,134,0.276,54,11,7,51,7,1,13,1,73.5,0,Arkansas,252.89,284.56,102.89,113.56,653.72,755.31,0.1,0.23,305.43,310.36,36.85,31.0,63.42,52.0,295.0,330.87,41.0,34.27,12.3,14.12,93.67,119.09,11.8,15.6,357.25,381.6,9.56,14.12
0,4,45,32,125,0.104,42,8,8,32,4,0,6,0,56.0,1,Missouri,252.89,343.33,102.89,140.73,653.72,888.07,0.1,0.25,305.43,341.43,36.85,36.08,63.42,61.45,295.0,380.86,41.0,34.31,12.3,29.0,93.67,136.82,11.8,18.18,357.25,473.25,9.56,13.7
1,3,55,19,105,0.343,51,4,8,41,4,0,12,0,65.0,1,Mississippi St.,252.89,253.88,102.89,120.62,653.72,701.81,0.1,0.08,305.43,294.31,36.85,35.69,63.42,55.15,295.0,290.47,41.0,40.58,12.3,19.3,93.67,79.27,11.8,11.09,357.25,343.67,9.56,10.0
1,3,46,14,118,0.271,42,7,6,58,1,0,14,1,60.0,1,Alabama,252.89,237.26,102.89,106.53,653.72,690.95,0.1,0.18,305.43,323.38,36.85,37.73,63.42,55.55,295.0,333.76,41.0,38.0,12.3,26.4,93.67,86.46,11.8,17.0,357.25,383.27,9.56,18.57
1,3,52,15,113,0.327,48,6,9,40,2,0,8,1,62.0,2,Ole Miss,252.89,337.31,102.89,144.69,653.72,935.06,0.1,0.18,305.43,416.0,36.85,41.7,63.42,63.91,295.0,433.8,41.0,36.91,12.3,28.5,93.67,105.5,11.8,8.8,357.25,448.8,9.56,12.92
0,3,36,18,99,0.182,34,1,3,39,3,1,2,1,39.0,1,Kentucky,252.89,252.05,102.89,81.75,653.72,602.6,0.1,0.19,305.43,357.46,36.85,31.33,63.42,48.87,295.0,276.41,41.0,34.4,12.3,15.0,93.67,93.0,11.8,21.78,357.25,364.88,9.56,6.3
1,3,47,17,115,0.261,45,2,10,60,2,0,14,0,56.0,1,Tennessee,252.89,198.7,102.89,79.75,653.72,569.75,0.1,0.21,305.43,247.67,36.85,22.38,63.42,33.2,295.0,290.29,41.0,25.25,12.3,11.82,93.67,96.92,11.8,8.08,357.25,279.17,9.56,11.27
1,3,41,20,120,0.175,39,4,10,57,0,1,10,1,51.0,0,LSU,252.89,230.37,102.89,96.26,653.72,621.0,0.1,0.17,305.43,294.21,36.85,27.92,63.42,48.46,295.0,291.06,41.0,26.43,12.3,18.73,93.67,81.71,11.8,18.22,357.25,322.94,9.56,16.57
0,3,36,18,112,0.161,33,3,7,45,3,1,4,1,42.0,0,Kentucky,252.89,252.05,102.89,81.75,653.72,602.6,0.1,0.19,305.43,357.46,36.85,31.33,63.42,48.87,295.0,276.41,41.0,34.4,12.3,15.0,93.67,93.0,11.8,21.78,357.25,364.88,9.56,6.3
1,3,42,14,87,0.322,40,12,10,33,3,1,4,0,57.0,0,Alabama A&M,252.89,177.14,102.89,85.64,653.72,512.14,0.1,0.1,305.43,212.53,36.85,37.92,63.42,30.13,295.0,253.0,41.0,33.38,12.3,20.09,93.67,62.53,11.8,14.0,357.25,282.22,9.56,17.14
1,3,47,19,105,0.267,43,4,7,47,4,0,12,3,57.0,0,UCF,252.89,264.74,102.89,104.11,653.72,730.37,0.1,0.24,305.43,279.82,36.85,31.0,63.42,51.0,295.0,336.56,41.0,38.1,12.3,19.1,93.67,104.0,11.8,12.4,357.25,345.39,9.56,19.0
0,3,41,21,114,0.175,34,0,11,47,4,0,4,0,43.0,1,Ole Miss,252.89,337.31,102.89,144.69,653.72,935.06,0.1,0.18,305.43,416.0,36.85,41.7,63.42,63.91,295.0,433.8,41.0,36.91,12.3,28.5,93.67,105.5,11.8,8.8,357.25,448.8,9.56,12.92
