Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
196.1,252.94,86.43,101.17,591.62,738.56,0.17,0.16,203.53,267.44,33.23,49.8,41.43,61.83,312.39,372.81,27.92,46.91,20.67,16.33,78.75,101.92,12.42,12.73,325.53,341.74,26.86,13.5,0,5,70,40/,221,0.136,65,8,9,93,2,2,4,4,82.0,5
196.1,217.38,86.43,120.69,591.62,666.12,0.17,0.13,203.53,213.27,33.23,35.0,41.43,38.4,312.39,298.0,27.92,33.0,20.67,13.0,78.75,80.77,12.42,11.0,325.53,283.75,26.86,13.62,1,3,40,15,92,0.272,37,10,13,33,2,2,2,2,53.0,3
196.1,243.88,86.43,107.88,591.62,676.76,0.17,0.2,203.53,239.75,33.23,25.47,41.43,43.6,312.39,302.81,27.92,30.85,20.67,16.12,78.75,63.5,12.42,12.82,325.53,318.84,26.86,14.15,0,5,58,21,161,0.230,54,7,10,64,3,1,20,3,76.0,3
196.1,252.94,86.43,101.17,591.62,738.56,0.17,0.16,203.53,267.44,33.23,49.8,41.43,61.83,312.39,372.81,27.92,46.91,20.67,16.33,78.75,101.92,12.42,12.73,325.53,341.74,26.86,13.5,0,5,62,39,208,0.111,57,9,8,97,6,5,10,7,81.0,2
196.1,217.56,86.43,97.44,591.62,672.06,0.17,0.15,203.53,230.36,33.23,34.27,41.43,26.79,312.39,343.43,27.92,32.15,20.67,20.11,78.75,72.17,12.42,19.4,325.53,319.43,26.86,14.64,1,4,57,26,158,0.196,54,5,9,74,5,6,16,1,76.0,2
196.1,253.88,86.43,120.62,591.62,701.81,0.17,0.08,203.53,294.31,33.23,35.69,41.43,55.15,312.39,290.47,27.92,40.58,20.67,19.3,78.75,79.27,12.42,11.09,325.53,343.67,26.86,10.0,1,4,48,26,130,0.169,44,11,12,52,3,1,6,0,63.0,2
196.1,165.15,86.43,94.8,591.62,500.3,0.17,0.07,203.53,182.12,33.23,26.23,41.43,26.59,312.39,235.22,27.92,21.16,20.67,10.1,78.75,51.38,12.42,10.0,325.53,218.74,26.86,17.12,1,3,43,17,110,0.236,38,5,5,53,4,4,6,3,55.0,2
196.1,230.37,86.43,96.26,591.62,621.0,0.17,0.17,203.53,294.21,33.23,27.92,41.43,48.46,312.39,291.06,27.92,26.43,20.67,18.73,78.75,81.71,12.42,18.22,325.53,322.94,26.86,16.57,0,3,29,27,101,0.020,29,4,4,34,6,2,8,0,39.0,1
196.1,312.93,86.43,137.8,591.62,961.6,0.17,0.16,203.53,340.31,33.23,28.69,41.43,49.54,312.39,517.23,27.92,31.92,20.67,16.44,78.75,115.0,12.42,18.1,325.53,445.38,26.86,18.5,0,4,42,32,154,0.065,37,5,4,71,6,1,14,2,55.0,4
196.1,277.82,86.43,117.18,591.62,813.18,0.17,0.19,203.53,298.6,33.23,24.64,41.43,36.6,312.39,423.0,27.92,32.7,20.67,18.2,78.75,115.82,12.42,15.7,325.53,367.94,26.86,12.57,0,3,36,22,126,0.111,34,5,8,55,2,0,16,2,49.0,1
196.1,268.5,86.43,123.56,591.62,760.5,0.17,0.2,203.53,270.73,33.23,28.36,41.43,53.64,312.39,334.93,27.92,31.92,20.67,14.5,78.75,79.25,12.42,9.92,325.53,354.23,26.86,8.2,1,3,36,14,107,0.206,35,4,7,46,0,6,10,3,51.0,1
196.1,283.5,86.43,104.88,591.62,783.75,0.17,0.22,203.53,266.94,33.23,29.08,41.43,51.75,312.39,395.5,27.92,30.73,20.67,17.38,78.75,104.33,12.42,12.75,325.53,376.67,26.86,10.83,0,5,71,25,192,0.240,66,6,11,78,5,4,6,3,84.0,3
196.1,199.14,86.43,90.91,591.62,586.23,0.17,0.15,203.53,207.5,33.23,25.81,41.43,37.71,312.39,294.53,27.92,33.38,20.67,11.2,78.75,83.12,12.42,11.25,325.53,278.55,26.86,12.75,1,3,46,13,120,0.275,44,6,2,53,0,0,22,0,63.0,5
196.1,231.25,86.43,80.65,591.62,606.35,0.17,0.19,203.53,310.29,33.23,19.0,41.43,32.5,312.39,285.68,27.92,18.77,20.67,12.11,78.75,85.33,12.42,15.91,325.53,282.0,26.86,10.4,0,3,26,20,107,0.056,25,2,4,40,0,1,2,1,30.0,1
196.1,279.06,86.43,129.25,591.62,825.56,0.17,0.09,203.53,299.64,33.23,28.17,41.43,49.79,312.39,380.73,27.92,30.36,20.67,16.64,78.75,131.8,12.42,12.45,325.53,376.33,26.86,16.0,0,4,57,26,168,0.185,52,4,7,71,3,3,6,1,67.0,4
196.1,266.56,86.43,105.33,591.62,738.28,0.17,0.19,203.53,319.5,33.23,30.33,41.43,33.6,312.39,366.94,27.92,40.89,20.67,15.5,78.75,116.0,12.42,16.7,325.53,368.56,26.86,15.55,0,4,56,23,164,0.201,50,3,10,66,3,2,8,2,65.0,6
196.1,264.74,86.43,104.11,591.62,730.37,0.17,0.24,203.53,279.82,33.23,31.0,41.43,51.0,312.39,336.56,27.92,38.1,20.67,19.1,78.75,104.0,12.42,12.4,325.53,345.39,26.86,19.0,1,4,67,23,178,0.247,64,4,5,83,3,3,12,1,80.0,1
196.1,210.15,86.43,86.15,591.62,597.55,0.17,0.14,203.53,234.71,33.23,30.69,41.43,35.54,312.39,316.24,27.92,33.75,20.67,15.09,78.75,68.86,12.42,21.8,325.53,308.82,26.86,16.71,1,3,50,12,126,0.302,47,9,4,62,4,1,8,4,64.0,0
196.1,283.5,86.43,104.88,591.62,783.75,0.17,0.22,203.53,266.94,33.23,29.08,41.43,51.75,312.39,395.5,27.92,30.73,20.67,17.38,78.75,104.33,12.42,12.75,325.53,376.67,26.86,10.83,0,3,40,17,125,0.184,38,1,4,55,1,1,10,3,47.0,4
196.1,268.5,86.43,123.56,591.62,760.5,0.17,0.2,203.53,270.73,33.23,28.36,41.43,53.64,312.39,334.93,27.92,31.92,20.67,14.5,78.75,79.25,12.42,9.92,325.53,354.23,26.86,8.2,1,5,60,26,189,0.180,57,8,4,82,3,2,13,0,76.5,5
196.1,277.82,86.43,117.18,591.62,813.18,0.17,0.19,203.53,298.6,33.23,24.64,41.43,36.6,312.39,423.0,27.92,32.7,20.67,18.2,78.75,115.82,12.42,15.7,325.53,367.94,26.86,12.57,0,5,71,37,233/,0.146,68,4,10,115/,3,1,22,1,87.0,7/
196.1,312.93,86.43,137.8,591.62,961.6,0.17,0.16,203.53,340.31,33.23,28.69,41.43,49.54,312.39,517.23,27.92,31.92,20.67,16.44,78.75,115.0,12.42,18.1,325.53,445.38,26.86,18.5,0,4,46,20,178,0.146,44,10,8,81,6,2,8,2,62.0,3
196.1,210.15,86.43,86.15,591.62,597.55,0.17,0.14,203.53,234.71,33.23,30.69,41.43,35.54,312.39,316.24,27.92,33.75,20.67,15.09,78.75,68.86,12.42,21.8,325.53,308.82,26.86,16.71,1,3,54,13,126,0.325,48,6,6,52,3,1,6,1,64.0,3
196.1,264.74,86.43,104.11,591.62,730.37,0.17,0.24,203.53,279.82,33.23,31.0,41.43,51.0,312.39,336.56,27.92,38.1,20.67,19.1,78.75,104.0,12.42,12.4,325.53,345.39,26.86,19.0,0,3,22,22,110,0,21,3,4,51,3,0,6,0,28.0,1
196.1,266.56,86.43,105.33,591.62,738.28,0.17,0.19,203.53,319.5,33.23,30.33,41.43,33.6,312.39,366.94,27.92,40.89,20.67,15.5,78.75,116.0,12.42,16.7,325.53,368.56,26.86,15.55,0,5,59,25,184,0.185,53,15/,7,84,7,4,10,1,83.0,2
196.1,279.06,86.43,129.25,591.62,825.56,0.17,0.09,203.53,299.64,33.23,28.17,41.43,49.79,312.39,380.73,27.92,30.36,20.67,16.64,78.75,131.8,12.42,12.45,325.53,376.33,26.86,16.0,0,3,33,16,112,0.152,32,1,9,48,7,2,12,3,42.0,2
196.1,284.82,86.43,123.82,591.62,808.71,0.17,0.04,203.53,291.25,33.23,35.43,41.43,47.47,312.39,393.93,27.92,47.0,20.67,18.22,78.75,120.5,12.42,19.3,325.53,406.97,26.86,13.36,1,4,54,18,145,0.248,51,8,11,70,4,4,20,3,76.0,0
196.1,284.82,86.43,123.82,591.62,808.71,0.17,0.04,203.53,291.25,33.23,35.43,41.43,47.47,312.39,393.93,27.92,47.0,20.67,18.22,78.75,120.5,12.42,19.3,325.53,406.97,26.86,13.36,1,5,63,20,187,0.230,63,4,7,92,4,5,14,3,79.0,4
