Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
330.64,268.53,156.71,125.07,928.07,775.87,0.08,0.14,334.92,267.21,58.18,45.55,63.86,72.09,405.69,344.57,53.67,39.5,15.9,11.67,105.36,88.92,12.27,16.09,462.12,369.11,15.29,14.8,1,5,54,22,146,0.219,50,9,19/,61,7,1,12,1,70.0,0
330.64,244.72,156.71,102.28,928.07,683.78,0.08,0.16,334.92,255.38,58.18,33.86,63.86,55.2,405.69,326.56,53.67,36.83,15.9,16.3,105.36,75.64,12.27,10.67,462.12,321.06,15.29,13.5,0,4,44,30,133,0.105,42,3,8,49,8,0,8,3,51.0,3
330.64,204.0,156.71,92.21,928.07,585.16,0.08,0.04,334.92,237.47,58.18,30.36,63.86,37.33,405.69,311.13,53.67,42.1,15.9,17.67,105.36,85.23,12.27,10.92,462.12,313.38,15.29,12.12,0,5,62,36,182,0.143,57,14,11,65,7,3,10,0,84.0,0
330.64,143.36,156.71,70.82,928.07,409.86,0.08,0.14,334.92,180.44,58.18,26.19,63.86,42.38,405.69,185.58,53.67,28.47,15.9,14.5,105.36,67.46,12.27,12.09,462.12,197.93,15.29,8.3,1,5,58,23,130,0.269,56,11,15,42,16,0,18,3,78.0,2
330.64,268.5,156.71,123.56,928.07,760.5,0.08,0.2,334.92,270.73,58.18,28.36,63.86,53.64,405.69,334.93,53.67,31.92,15.9,14.5,105.36,79.25,12.27,9.92,462.12,354.23,15.29,8.2,0,3,18,21,75,-0.040,17,1,8,21,8,1,6,0,23.0,1
330.64,230.37,156.71,96.26,928.07,621.0,0.08,0.17,334.92,294.21,58.18,27.92,63.86,48.46,405.69,291.06,53.67,26.43,15.9,18.73,105.36,81.71,12.27,18.22,462.12,322.94,15.29,16.57,0,3,25,22,101,0.030,25,2,6,39,6,0,2,1,28.0,2
330.64,214.58,156.71,109.89,928.07,596.89,0.08,0.07,334.92,267.79,58.18,35.33,63.86,52.69,405.69,298.93,53.67,34.0,15.9,12.78,105.36,124.7,12.27,12.7,462.12,327.47,15.29,12.3,0,3,27,16,87,0.126,26,2,5,24,7,5,2,0,35.0,0
330.64,311.56,156.71,130.62,928.07,843.69,0.08,0.09,334.92,361.69,58.18,42.82,63.86,63.42,405.69,379.87,53.67,36.92,15.9,19.27,105.36,119.58,12.27,22.23,462.12,456.11,15.29,9.12,0,4,43,23,123,0.163,40,2,8,41,6,1,8,0,50.0,0
330.64,154.68,156.71,76.26,928.07,458.95,0.08,0.1,334.92,177.93,58.18,22.42,63.86,37.77,405.69,204.83,53.67,23.85,15.9,12.36,105.36,65.14,12.27,5.3,462.12,211.11,15.29,5.5,0,4,43,24,128,0.148,37,7,13,43,3,2,8,0,56.0,0
330.64,233.06,156.71,104.44,928.07,701.61,0.08,0.06,334.92,281.64,58.18,33.18,63.86,43.27,405.69,353.31,53.67,31.27,15.9,12.45,105.36,115.83,12.27,12.67,462.12,337.0,15.29,22.0,0,3,37,25,113,0.106,37,4,5,45,6,0,8,1,45.0,3
