Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
206.2,214.58,87.15,109.89,586.45,596.89,0.39,0.07,237.5,267.79,25.62,35.33,39.8,52.69,284.61,298.93,26.45,34.0,8.45,12.78,105.08,124.7,14.3,12.7,290.72,327.47,14.7,12.3,1,4,52,19,122,0.270,48,4,8,55,3,0,26,5,69.0,2
206.2,178.81,87.15,94.76,586.45,545.76,0.39,0.0,237.5,218.62,25.62,27.53,39.8,37.13,284.61,267.56,26.45,29.69,8.45,13.75,105.08,72.43,14.3,9.58,290.72,268.89,14.7,20.3,1,3,40,14,99,0.263,36,8,11,49,3,1,8,0,53.0,1
206.2,238.94,87.15,100.06,586.45,710.61,0.39,0.12,237.5,289.21,25.62,39.46,39.8,48.57,284.61,338.35,26.45,39.86,8.45,13.0,105.08,78.75,14.3,12.45,290.72,338.53,14.7,16.25,1,3,49,14,106,0.330,45,5,8,51,2,0,6,1,57.0,2
206.2,145.21,87.15,63.21,586.45,437.38,0.39,0.14,237.5,172.58,25.62,31.55,39.8,30.53,284.61,234.25,26.45,29.0,8.45,14.0,105.08,58.5,14.3,8.3,290.72,219.9,14.7,8.33,1,3,38,10,105,0.267,38,6,9,55,2,1,14,0,52.0,1
206.2,285.41,87.15,114.24,586.45,872.82,0.39,0.06,237.5,286.75,25.62,24.93,39.8,38.71,284.61,437.06,26.45,37.22,8.45,11.75,105.08,97.92,14.3,12.0,290.72,367.66,14.7,12.0,1,4,60,15,166,0.271,57,1,6,91,4,1,28,1,76.0,0
206.2,196.22,87.15,103.5,586.45,536.89,0.39,0.02,237.5,234.57,25.62,29.67,39.8,41.62,284.61,225.0,26.45,35.5,8.45,10.67,105.08,64.0,14.3,10.7,290.72,269.71,14.7,16.82,1,3,36,14,87,0.253,31,10,5,37,2,0,12,1,52.0,2
206.2,228.42,87.15,91.89,586.45,608.26,0.39,0.16,237.5,247.38,25.62,34.93,39.8,48.76,284.61,270.82,26.45,33.38,8.45,11.88,105.08,70.36,14.3,8.08,290.72,318.62,14.7,12.0,1,5,47,23,134,0.179,42,10,8,66,4,1,26,3,71.0,5
206.2,240.31,87.15,129.15,586.45,746.08,0.39,0.15,237.5,265.09,25.62,32.67,39.8,74.83,284.61,341.5,26.45,38.82,8.45,12.67,105.08,61.9,14.3,16.7,290.72,328.29,14.7,21.12,1,3,37,11,80,0.325,36,4,9,43,3,3,12,1,50.0,5
206.2,237.12,87.15,98.24,586.45,639.76,0.39,0.22,237.5,344.55,25.62,43.5,39.8,56.67,284.61,307.27,26.45,34.75,8.45,23.62,105.08,72.73,14.3,18.0,290.72,337.0,14.7,14.5,1,3,41,14,96,0.281,38,9,8,40,1,3,10,1,58.0,0
206.2,263.25,87.15,116.31,586.45,729.25,0.39,0.2,237.5,283.07,25.62,28.75,39.8,46.09,284.61,323.07,26.45,31.31,8.45,11.0,105.08,91.0,14.3,11.11,290.72,347.53,14.7,16.0,1,4,55,15,138,0.290,48,5,9,52,1,0,20,1,70.0,1
