Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,5,49,22,145,0.186,49,7,6,62,11,2,14,1,65.0,2,Western Ill.,185.84,199.53,84.68,85.58,542.53,609.47,0.06,0.18,231.79,252.5,39.0,27.4,43.06,38.4,256.18,310.59,42.0,36.23,13.12,13.8,60.14,86.33,13.55,11.64,268.47,285.76,15.2,13.57
0,3,22,7,82,0.183,21,3,5,41,11,0,14,0,32.0,1,Chicago St.,185.84,319.57,84.68,152.21,542.53,921.71,0.06,0.11,231.79,384.36,39.0,33.09,43.06,52.45,256.18,412.92,42.0,39.56,13.12,15.0,60.14,116.67,13.55,16.75,268.47,420.62,15.2,9.0
0,3,25,16,111,0.081,24,1,2,53,9,0,12,1,32.0,0,Evansville,185.84,241.35,84.68,116.41,542.53,751.35,0.06,0.1,231.79,318.17,39.0,34.17,43.06,37.17,256.18,385.87,42.0,29.21,13.12,11.11,60.14,91.17,13.55,8.6,268.47,322.5,15.2,17.0
0,3,19,15,80,0.050,16,2,5,29,10,1,6,5,25.0,0,Fordham,185.84,191.72,84.68,86.11,542.53,534.17,0.06,0.14,231.79,202.75,39.0,42.31,43.06,41.19,256.18,235.47,42.0,47.55,13.12,8.22,60.14,60.31,13.55,10.15,268.47,279.19,15.2,12.11
0,3,20,11,87,0.103,20,4,7,38,10,1,2,1,26.0,2,Brown,185.84,176.63,84.68,83.95,542.53,530.84,0.06,0.15,231.79,207.33,39.0,31.54,43.06,32.69,256.18,252.29,42.0,34.08,13.12,14.38,60.14,81.75,13.55,9.0,268.47,257.15,15.2,15.2
0,4,46,22,123,0.195,41,8,14,55,18/,1,8,4,59.0,2,Fairleigh Dickinson,185.84,232.87,84.68,106.27,542.53,751.6,0.06,0.1,231.79,230.57,39.0,31.62,43.06,31.0,256.18,375.5,42.0,40.83,13.12,12.5,60.14,73.58,13.55,11.73,268.47,317.54,15.2,12.5
0,3,24,19,88,0.057,22,2,8,36,6,3,8,1,33.0,1,Holy Cross,185.84,183.25,84.68,86.25,542.53,570.55,0.06,0.14,231.79,197.24,39.0,30.71,43.06,41.33,256.18,285.44,42.0,29.53,13.12,11.67,60.14,62.77,13.55,7.27,268.47,256.0,15.2,8.9
0,3,21,21,95,0,21,2,4,34,4,0,8,0,27.0,2,Bryant,185.84,275.12,84.68,126.12,542.53,809.41,0.06,0.14,231.79,336.62,39.0,42.64,43.06,44.71,256.18,365.69,42.0,33.85,13.12,12.33,60.14,117.73,13.55,16.82,268.47,369.03,15.2,23.12
0,3,33,12,88,0.239,31,6,9,36,6,1,0,0,40.0,0,Brown,185.84,176.63,84.68,83.95,542.53,530.84,0.06,0.15,231.79,207.33,39.0,31.54,43.06,32.69,256.18,252.29,42.0,34.08,13.12,14.38,60.14,81.75,13.55,9.0,268.47,257.15,15.2,15.2
0,3,28,16,108,0.111,26,5,7,53,8,0,10,2,38.0,1,Stony Brook,185.84,266.88,84.68,103.18,542.53,770.94,0.06,0.05,231.79,306.36,39.0,41.18,43.06,57.18,256.18,398.8,42.0,33.0,13.12,18.1,60.14,88.36,13.55,11.3,268.47,353.56,15.2,11.86
