Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
267.62,297.31,106.12,100.06,695.75,708.44,0.2,0.31,289.71,400.91,44.36,41.18,65.09,69.55,292.67,299.4,34.33,41.1,12.9,20.11,99.55,96.92,7.27,13.82,389.04,398.17,10.33,13.0,0,4,60,32,180,0.156,51,0,5,71,2,2,8,2,66.0,3
267.62,238.94,106.12,85.65,695.75,692.76,0.2,0.21,289.71,290.77,44.36,39.09,65.09,52.25,292.67,331.19,34.33,38.6,12.9,14.5,99.55,85.83,7.27,18.1,389.04,341.53,10.33,8.33,1,4,64,16,172,0.279,53,5,8,73,3,3,4,2,74.0,1
267.62,217.05,106.12,86.79,695.75,625.47,0.2,0.15,289.71,296.08,44.36,32.42,65.09,39.12,292.67,318.82,34.33,32.64,12.9,12.45,99.55,70.46,7.27,10.92,389.04,340.53,10.33,10.0,1,3,48,13,112,0.312,39,2,8,51,2,2,4,0,54.0,0
267.62,245.0,106.12,103.95,695.75,707.79,0.2,0.14,289.71,242.83,44.36,31.67,65.09,44.0,292.67,323.61,34.33,30.5,12.9,19.0,99.55,79.14,7.27,12.46,389.04,341.06,10.33,8.42,1,4,61,24,197,0.188,59,0,5,101,7,3,14,2,71.0,1
267.62,279.0,106.12,97.88,695.75,736.12,0.2,0.14,289.71,319.29,44.36,31.92,65.09,53.92,292.67,337.5,34.33,28.67,12.9,10.67,99.55,96.67,7.27,17.2,389.04,364.62,10.33,21.8,0,3,36,18,95,0.189,34,3,3,35,9,1,2,1,41.0,0
267.62,231.25,106.12,80.65,695.75,606.35,0.2,0.19,289.71,310.29,44.36,19.0,65.09,32.5,292.67,285.68,34.33,18.77,12.9,12.11,99.55,85.33,7.27,15.91,389.04,282.0,10.33,10.4,0,4,50,22,140,0.200,50,3,5,52,4,4,12,2,63.0,0
267.62,294.81,106.12,117.5,695.75,885.75,0.2,0.15,289.71,368.5,44.36,41.1,65.09,49.83,292.67,499.0,34.33,40.8,12.9,14.9,99.55,118.36,7.27,14.3,389.04,456.0,10.33,9.5,1,5,74,30,222,0.198,69,6,5,105,6,3,8,2,87.0,0
267.62,247.35,106.12,95.47,695.75,661.47,0.2,0.19,289.71,259.07,44.36,35.38,65.09,46.23,292.67,290.19,34.33,29.42,12.9,9.89,99.55,93.69,7.27,14.36,389.04,335.19,10.33,11.0,0,5,64,16,182,0.264,58,1,9,84,8,2,18,1,76.0,2
267.62,240.44,106.12,97.17,695.75,633.83,0.2,0.18,289.71,269.8,44.36,37.42,65.09,54.07,292.67,308.0,34.33,34.14,12.9,24.88,99.55,84.25,7.27,16.2,389.04,342.59,10.33,21.5,1,5,57,22,160,0.219,49,13,12,57,10,4,6,5,77.0,3
267.62,233.82,106.12,91.12,695.75,645.41,0.2,0.26,289.71,257.86,44.36,36.92,65.09,42.08,292.67,320.87,34.33,44.11,12.9,10.73,99.55,80.64,7.27,11.56,389.04,331.97,10.33,11.57,1,3,42,11,99,0.313,36,5,7,47,2,1,2,1,49.0,0
267.62,269.76,106.12,128.65,695.75,785.65,0.2,0.17,289.71,304.21,44.36,29.0,65.09,39.44,292.67,341.19,34.33,29.15,12.9,15.09,99.55,105.27,7.27,11.1,389.04,380.53,10.33,16.89,1,5,59,22,138,0.268,54,2,9,63,7,1,20,4,72.0,1
267.62,281.35,106.12,100.94,695.75,669.0,0.2,0.32,289.71,317.64,44.36,39.36,65.09,53.85,292.67,295.87,34.33,35.42,12.9,17.1,99.55,102.73,7.27,15.91,389.04,396.8,10.33,9.57,0,3,30,17,109,0.119,30,2,6,39,6,3,6,1,38.0,1
267.62,224.81,106.12,109.88,695.75,660.25,0.2,0.12,289.71,259.38,44.36,34.58,65.09,46.85,292.67,295.6,34.33,36.23,12.9,9.18,99.55,79.36,7.27,16.55,389.04,303.3,10.33,7.73,1,3,38,9,107,0.271,37,7,5,48,5,1,4,1,48.0,0
267.62,256.29,106.12,110.76,695.75,817.65,0.2,0.12,289.71,289.71,44.36,38.09,65.09,41.79,292.67,390.94,34.33,26.67,12.9,14.55,99.55,104.83,7.27,10.3,389.04,347.81,10.33,14.0,1,4,55,22,196,0.168,50,6,9,98,4,6,6,0,70.0,2
267.62,299.31,106.12,129.19,695.75,842.19,0.2,0.24,289.71,338.31,44.36,37.45,65.09,76.91,292.67,390.73,34.33,33.67,12.9,25.3,99.55,91.0,7.27,8.11,389.04,422.07,10.33,13.71,0,4,52,30,191,0.115,49,3,14,102,5,4,6,0,62.0,2
267.62,282.62,106.12,133.56,695.75,836.31,0.2,0.11,289.71,356.75,44.36,47.0,65.09,63.25,292.67,417.86,34.33,30.19,12.9,20.64,99.55,79.62,7.27,12.73,389.04,385.57,10.33,10.12,0,5,51,33,186,0.097,48,3,6,86,10,6,4,0,62.0,1
267.62,185.21,106.12,87.0,695.75,587.05,0.2,0.14,289.71,237.0,44.36,22.92,65.09,37.29,292.67,290.94,34.33,23.38,12.9,15.0,99.55,54.43,7.27,11.25,389.04,241.11,10.33,15.22,1,5,63,25,202,0.188,58,5,7,94,5,9,22,4,88.0,2
267.62,237.12,106.12,98.24,695.75,639.76,0.2,0.22,289.71,344.55,44.36,43.5,65.09,56.67,292.67,307.27,34.33,34.75,12.9,23.62,99.55,72.73,7.27,18.0,389.04,337.0,10.33,14.5,1,4,53,22,153,0.203,49,6,14,69,2,1,14,1,67.0,2
267.62,212.33,106.12,91.61,695.75,595.78,0.2,0.15,289.71,234.93,44.36,36.54,65.09,47.5,292.67,237.76,34.33,38.92,12.9,20.8,99.55,65.5,7.27,13.56,389.04,306.12,10.33,11.6,1,4,59,17,149,0.282,54,8,8,76,3,2,16,0,77.0,1
267.62,247.12,106.12,105.82,695.75,684.12,0.2,0.19,289.71,303.08,44.36,32.42,65.09,52.23,292.67,326.87,34.33,36.91,12.9,18.27,99.55,76.75,7.27,16.2,389.04,375.11,10.33,10.71,1,4,59,14,141,0.319,54,2,12,60,1,3,10,4,69.0,0
267.62,310.31,106.12,142.56,695.75,911.69,0.2,0.08,289.71,359.46,44.36,39.17,65.09,53.0,292.67,468.86,34.33,47.2,12.9,16.64,99.55,110.31,7.27,14.0,389.04,422.33,10.33,9.8,1,3,55,22,158,0.209,50,4,6,71,1,0,10,6,64.0,2
267.62,230.11,106.12,101.67,695.75,690.22,0.2,0.14,289.71,277.14,44.36,32.79,65.09,42.0,292.67,339.71,34.33,34.07,12.9,17.18,99.55,76.62,7.27,15.64,389.04,311.06,10.33,11.56,1,3,36,4,120,0.267,33,6,6,70,5,3,6,0,48.0,0
267.62,227.45,106.12,95.55,695.75,649.7,0.2,0.24,289.71,265.19,44.36,30.13,65.09,33.22,292.67,301.89,34.33,40.73,12.9,21.36,99.55,80.62,7.27,14.82,389.04,303.16,10.33,12.78,1,4,62,25,206,0.180,56,3,8,90,1,5,8,3,74.0,4
267.62,256.29,106.12,110.76,695.75,817.65,0.2,0.12,289.71,289.71,44.36,38.09,65.09,41.79,292.67,390.94,34.33,26.67,12.9,14.55,99.55,104.83,7.27,10.3,389.04,347.81,10.33,14.0,0,4,60,20,171,0.234,55,2,10,83,8,2,16,2,72.0,2
267.62,244.53,106.12,111.41,695.75,718.0,0.2,0.07,289.71,259.13,44.36,28.77,65.09,45.0,292.67,315.06,34.33,37.33,12.9,12.33,99.55,87.25,7.27,16.25,389.04,325.16,10.33,9.88,1,3,47,16,125,0.248,44,1,6,66,5,0,10,0,53.0,1
267.62,185.21,106.12,87.0,695.75,587.05,0.2,0.14,289.71,237.0,44.36,22.92,65.09,37.29,292.67,290.94,34.33,23.38,12.9,15.0,99.55,54.43,7.27,11.25,389.04,241.11,10.33,15.22,1,3,44,20,128,0.188,42,4,9,67,2,2,6,1,53.0,2
267.62,282.62,106.12,133.56,695.75,836.31,0.2,0.11,289.71,356.75,44.36,47.0,65.09,63.25,292.67,417.86,34.33,30.19,12.9,20.64,99.55,79.62,7.27,12.73,389.04,385.57,10.33,10.12,1,3,38,18,125,0.160,35,5,7,64,3,3,14,0,53.0,0
