Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
252.35,215.61,84.8,93.83,655.3,598.0,0.28,0.24,338.5,228.69,39.6,24.57,40.18,32.88,350.69,259.06,29.5,24.33,17.22,8.11,112.0,132.0,14.73,12.33,368.82,295.53,6.0,9.36,1,3,38,11,96,0.281,37,5,2,51,3,3,17,1,54.5,0
252.35,244.56,84.8,102.94,655.3,667.5,0.28,0.2,338.5,374.64,39.6,25.47,40.18,47.75,350.69,338.53,29.5,33.8,17.22,15.11,112.0,119.3,14.73,16.0,368.82,344.78,6.0,18.75,1,4,50,15,134,0.261,49,2,7,68,5,1,14,3,60.0,0
252.35,249.05,84.8,108.84,655.3,657.0,0.28,0.25,338.5,280.12,39.6,32.86,40.18,50.33,350.69,273.5,29.5,33.31,17.22,10.09,112.0,118.33,14.73,12.75,368.82,334.06,6.0,23.83,1,3,46,15,96,0.323,45,2,3,38,1,0,12,2,54.0,0
252.35,198.7,84.8,79.75,655.3,569.75,0.28,0.21,338.5,247.67,39.6,22.38,40.18,33.2,350.69,290.29,29.5,25.25,17.22,11.82,112.0,96.92,14.73,8.08,368.82,279.17,6.0,11.27,1,3,58,14,111,0.396,56,3,3,51,0,1,12,1,68.0,1
252.35,230.26,84.8,96.11,655.3,647.21,0.28,0.07,338.5,272.2,39.6,38.25,40.18,43.36,350.69,284.78,29.5,43.4,17.22,15.44,112.0,102.82,14.73,14.0,368.82,307.69,6.0,8.9,1,3,41,7,89,0.382,38,8,1,46,4,0,12,1,55.0,0
252.35,211.95,84.8,79.2,655.3,581.2,0.28,0.18,338.5,207.53,39.6,31.85,40.18,42.6,350.69,269.21,29.5,35.0,17.22,13.73,112.0,46.8,14.73,8.83,368.82,271.32,6.0,12.5,1,3,42,12,101,0.297,39,3,8,48,2,2,16,4,55.0,0
252.35,201.05,84.8,77.1,655.3,547.7,0.28,0.24,338.5,209.67,39.6,25.88,40.18,39.25,350.69,270.33,29.5,22.69,17.22,13.44,112.0,106.0,14.73,10.67,368.82,282.56,6.0,10.15,1,3,41,13,96,0.292,40,5,4,49,2,4,16,1,58.0,0
252.35,250.82,84.8,82.59,655.3,645.71,0.28,0.33,338.5,284.5,39.6,25.75,40.18,58.92,350.69,341.57,29.5,28.64,17.22,11.6,112.0,137.2,14.73,22.56,368.82,335.94,6.0,7.71,1,4,61,18,163,0.264,58,5,6,82,5,3,18,2,78.0,0
252.35,245.5,84.8,98.33,655.3,667.5,0.28,0.2,338.5,297.86,39.6,30.83,40.18,47.62,350.69,302.88,29.5,32.6,17.22,13.09,112.0,91.42,14.73,19.67,368.82,365.43,6.0,10.83,1,5,72,23,201,0.244,66,4,1,76,3,2,14,3,85.0,1
252.35,283.59,84.8,103.0,655.3,799.06,0.28,0.18,338.5,300.47,39.6,41.5,40.18,44.0,350.69,394.47,29.5,32.0,17.22,20.1,112.0,96.23,14.73,15.25,368.82,404.17,6.0,5.1,1,4,50,14,130,0.277,48,6,3,72,2,1,20,1,67.0,0
