Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
224.06,231.75,105.17,109.19,643.06,658.0,0.22,0.11,270.86,243.79,29.31,32.69,37.14,38.64,319.53,269.87,37.64,36.31,14.5,14.33,78.62,80.0,14.5,14.0,316.88,338.71,8.0,10.5,1,4,55,24,121,0.256,46,13,12,25,4,4,8,0,76.0,1
224.06,298.35,105.17,102.65,643.06,752.18,0.22,0.19,270.86,315.53,29.31,33.21,37.14,42.27,319.53,322.75,37.64,32.25,14.5,16.09,78.62,90.15,14.5,17.22,316.88,393.75,8.0,12.17,0,3,23,13,82,0.122,20,2,4,29,6,2,19,3,36.5,1
224.06,312.93,105.17,137.8,643.06,961.6,0.22,0.16,270.86,340.31,29.31,28.69,37.14,49.54,319.53,517.23,37.64,31.92,14.5,16.44,78.62,115.0,14.5,18.1,316.88,445.38,8.0,18.5,1,5,60,23,168,0.220,56,7,9,59,4,1,26,4,81.0,0
224.06,219.44,105.17,90.06,643.06,613.33,0.22,0.18,270.86,243.87,29.31,29.43,37.14,50.36,319.53,265.47,37.64,34.67,14.5,12.33,78.62,71.44,14.5,15.73,316.88,317.59,8.0,8.56,1,3,39,18,113,0.186,36,8,8,57,3,1,14,1,55.0,0
224.06,268.12,105.17,106.53,643.06,742.71,0.22,0.16,270.86,281.2,29.31,29.46,37.14,44.08,319.53,345.0,37.64,35.33,14.5,12.1,78.62,125.69,14.5,15.83,316.88,367.44,8.0,14.86,0,3,36,17,107,0.178,33,2,7,49,8,2,6,2,43.0,2
224.06,282.82,105.17,104.88,643.06,747.12,0.22,0.16,270.86,322.36,29.31,29.5,37.14,54.75,319.53,362.33,37.64,27.73,14.5,7.89,78.62,111.36,14.5,14.45,316.88,413.32,8.0,11.14,0,3,22,19,90,0.033,20,5,3,37,8,0,10,2,32.0,1
224.06,248.19,105.17,106.94,643.06,743.19,0.22,0.14,270.86,261.71,29.31,31.38,37.14,48.43,319.53,357.73,37.64,37.8,14.5,16.5,78.62,74.0,14.5,13.5,316.88,335.0,8.0,9.8,1,3,42,19,109,0.211,38,2,6,50,2,0,10,4,49.0,2
224.06,238.33,105.17,101.11,643.06,671.0,0.22,0.16,270.86,248.56,29.31,38.75,37.14,35.5,319.53,341.93,37.64,37.77,14.5,16.2,78.62,81.5,14.5,10.67,316.88,342.97,8.0,17.27,1,5,64,30,164,0.207,58,7,7,72,6,2,20,3,83.0,4
224.06,237.83,105.17,101.33,643.06,620.11,0.22,0.08,270.86,265.53,29.31,37.17,37.14,54.77,319.53,268.5,37.64,34.58,14.5,12.78,78.62,90.58,14.5,11.17,316.88,359.03,8.0,14.38,0,3,29,24,101,0.050,27,0,7,35,4,0,10,2,34.0,2
224.06,285.41,105.17,114.24,643.06,872.82,0.22,0.06,270.86,286.75,29.31,24.93,37.14,38.71,319.53,437.06,37.64,37.22,14.5,11.75,78.62,97.92,14.5,12.0,316.88,367.66,8.0,12.0,0,4,44,20,158,0.152,44,5,11,68,5,0,10,3,54.0,1
224.06,295.19,105.17,127.5,643.06,827.81,0.22,0.08,270.86,319.36,29.31,40.82,37.14,58.64,319.53,401.07,37.64,34.33,14.5,8.0,78.62,131.7,14.5,13.4,316.88,393.5,8.0,9.78,0,4,47,25,137,0.161,47,5,5,46,7,0,26,1,65.0,1
224.06,224.94,105.17,95.71,643.06,619.12,0.22,0.13,270.86,237.73,29.31,30.07,37.14,45.81,319.53,290.47,37.64,36.62,14.5,11.0,78.62,96.0,14.5,11.45,316.88,308.19,8.0,11.4,0,3,33,22,124,0.089,31,6,7,50,4,1,12,0,46.0,1
224.06,241.84,105.17,104.79,643.06,687.05,0.22,0.08,270.86,268.62,29.31,43.2,37.14,47.67,319.53,350.65,37.64,37.09,14.5,18.6,78.62,75.43,14.5,11.67,316.88,337.71,8.0,17.11,0,4,48,28,161,0.124,47,1,3,70,4,1,12,2,56.0,2
224.06,221.38,105.17,106.44,643.06,673.81,0.22,0.12,270.86,223.8,29.31,28.0,37.14,51.42,319.53,340.93,37.64,26.29,14.5,15.73,78.62,47.21,14.5,11.55,316.88,292.1,8.0,9.33,0,4,43,19,135,0.178,43,1,6,59,6,5,10,1,54.0,0
224.06,257.12,105.17,85.81,643.06,691.62,0.22,0.2,270.86,274.57,29.31,36.9,37.14,50.64,319.53,337.5,37.64,33.0,14.5,15.75,78.62,97.73,14.5,17.0,316.88,367.61,8.0,17.11,0,3,35,26,126,0.071,34,1,1,57,5,3,8,2,43.0,0
224.06,368.12,105.17,135.38,643.06,1066.56,0.22,0.13,270.86,395.07,29.31,50.73,37.14,57.92,319.53,548.79,37.64,47.73,14.5,23.33,78.62,140.27,14.5,20.7,316.88,464.34,8.0,10.12,0,3,35,18,106,0.160,32,2,2,51,6,1,4,2,40.0,0
224.06,203.89,105.17,94.61,643.06,591.94,0.22,0.01,270.86,248.0,29.31,32.09,37.14,39.54,319.53,273.25,37.64,26.15,14.5,8.7,78.62,82.23,14.5,13.82,316.88,290.28,8.0,10.7,0,3,31,24,105,0.067,31,4,5,37,2,2,12,2,43.0,1
224.06,260.69,105.17,108.38,643.06,739.81,0.22,0.17,270.86,281.43,29.31,36.15,37.14,41.15,319.53,353.64,37.64,40.0,14.5,17.38,78.62,93.83,14.5,14.22,316.88,356.2,8.0,8.44,0,5,53,27,164,0.159,53,8,3,72,10,1,22,0,73.0,0
224.06,250.35,105.17,100.71,643.06,714.53,0.22,0.22,270.86,284.86,29.31,35.3,37.14,39.31,319.53,349.53,37.64,30.23,14.5,25.0,78.62,114.18,14.5,12.8,316.88,388.36,8.0,11.75,1,4,78,28,185,0.270,72,4,6,79,2,3,6,2,88.0,1
224.06,240.88,105.17,105.82,643.06,686.88,0.22,0.09,270.86,223.82,29.31,33.09,37.14,54.58,319.53,311.25,37.64,26.69,14.5,22.4,78.62,67.67,14.5,14.09,316.88,318.06,8.0,15.0,0,3,35,23,100,0.120,33,2,4,43,5,3,4,2,42.0,1
224.06,269.75,105.17,104.9,643.06,787.15,0.22,0.17,270.86,337.07,29.31,37.3,37.14,49.58,319.53,407.06,37.64,25.14,14.5,25.0,78.62,133.91,14.5,12.67,316.88,420.59,8.0,12.62,0,3,35,19,107,0.150,33,2,3,38,3,1,8,0,42.0,2
224.06,265.87,105.17,118.2,643.06,778.2,0.22,0.15,270.86,291.54,29.31,27.92,37.14,38.43,319.53,346.21,37.64,37.73,14.5,13.71,78.62,105.17,14.5,12.82,316.88,390.62,8.0,13.78,1,5,78,30,171,0.281,75,4,7,67,5,3,10,0,90.0,0
224.06,238.94,105.17,85.65,643.06,692.76,0.22,0.21,270.86,290.77,29.31,39.09,37.14,52.25,319.53,331.19,37.64,38.6,14.5,14.5,78.62,85.83,14.5,18.1,316.88,341.53,8.0,8.33,0,3,33,18,87,0.172,33,1,5,35,10,1,4,3,37.0,1
224.06,269.75,105.17,104.9,643.06,787.15,0.22,0.17,270.86,337.07,29.31,37.3,37.14,49.58,319.53,407.06,37.64,25.14,14.5,25.0,78.62,133.91,14.5,12.67,316.88,420.59,8.0,12.62,0,4,52,31,170,0.124,46,4,11,74,5,1,10,0,62.0,0
224.06,240.88,105.17,105.82,643.06,686.88,0.22,0.09,270.86,223.82,29.31,33.09,37.14,54.58,319.53,311.25,37.64,26.69,14.5,22.4,78.62,67.67,14.5,14.09,316.88,318.06,8.0,15.0,0,3,26,22,105,0.038,25,2,4,43,6,0,10,2,33.0,2
224.06,226.26,105.17,85.0,643.06,626.63,0.22,0.16,270.86,255.75,29.31,27.73,37.14,32.57,319.53,323.69,37.64,28.79,14.5,14.9,78.62,109.6,14.5,14.33,316.88,318.35,8.0,17.0,0,4,54,24,145,0.207,51,6,2,69,4,0,12,2,66.0,3
224.06,203.89,105.17,94.61,643.06,591.94,0.22,0.01,270.86,248.0,29.31,32.09,37.14,39.54,319.53,273.25,37.64,26.15,14.5,8.7,78.62,82.23,14.5,13.82,316.88,290.28,8.0,10.7,0,5,61,22,181,0.215,59,3,5,88,7,5,10,3,74.0,2
224.06,257.12,105.17,85.81,643.06,691.62,0.22,0.2,270.86,274.57,29.31,36.9,37.14,50.64,319.53,337.5,37.64,33.0,14.5,15.75,78.62,97.73,14.5,17.0,316.88,367.61,8.0,17.11,0,5,71,41/,222,0.135,68,5,9,105,3,4,6,2,83.0,0
224.06,221.38,105.17,106.44,643.06,673.81,0.22,0.12,270.86,223.8,29.31,28.0,37.14,51.42,319.53,340.93,37.64,26.29,14.5,15.73,78.62,47.21,14.5,11.55,316.88,292.1,8.0,9.33,1,3,41,18,108,0.213,40,4,8,37,5,2,8,1,51.0,0
