Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,4,51,19,159,0.201,47,5,7,73,4,1,16,2,65.0,1,Kansas,269.26,282.82,108.32,104.88,704.84,747.12,0.15,0.16,284.29,322.36,28.25,29.5,41.2,54.75,305.39,362.33,21.38,27.73,15.8,7.89,130.42,111.36,12.36,14.45,355.31,413.32,10.27,11.14
0,5,62,24,158,0.241,60,4,6,59,5,0,16,1,74.0,1,Kansas,269.26,282.82,108.32,104.88,704.84,747.12,0.15,0.16,284.29,322.36,28.25,29.5,41.2,54.75,305.39,362.33,21.38,27.73,15.8,7.89,130.42,111.36,12.36,14.45,355.31,413.32,10.27,11.14
0,5,78,22,192,0.292,75,1,5,86,4,2,24,0,93.0,4,Missouri St.,269.26,278.42,108.32,99.95,704.84,797.16,0.15,0.18,284.29,335.2,28.25,33.0,41.2,41.42,305.39,398.78,21.38,32.1,15.8,12.38,130.42,90.08,12.36,11.09,355.31,355.53,10.27,13.86
0,3,33,16,99,0.172,32,2,5,29,5,3,6,1,41.0,1,Florida,269.26,264.76,108.32,98.35,704.84,716.82,0.15,0.28,284.29,348.67,28.25,39.7,41.2,66.82,305.39,341.93,21.38,38.44,15.8,11.4,130.42,123.0,12.36,12.6,355.31,383.33,10.27,12.0
0,5,72,23,168,0.292,68,5,8,83,3,1,14,2,85.0,5/,Auburn,269.26,289.07,108.32,118.36,704.84,817.5,0.15,0.03,284.29,316.75,28.25,34.8,41.2,70.64,305.39,414.58,21.38,37.88,15.8,15.88,130.42,88.33,12.36,16.0,355.31,409.96,10.27,9.14
1,5,69,27,174,0.241,66,3,3,85,3,2,16,2,82.0,2,UNCW,269.26,208.21,108.32,86.47,704.84,632.05,0.15,0.13,284.29,242.73,28.25,28.46,41.2,37.69,305.39,282.89,21.38,25.86,15.8,10.3,130.42,86.62,12.36,10.64,355.31,356.57,10.27,10.56
1,3,48,15,105,0.314,43,5,7,48,1,2,10,0,60.0,2,High Point,269.26,232.05,108.32,92.42,704.84,632.63,0.15,0.19,284.29,292.64,28.25,45.0,41.2,52.25,305.39,305.65,21.38,40.8,15.8,22.56,130.42,81.08,12.36,13.09,355.31,329.03,10.27,14.5
0,3,40,15,86,0.291,37,4,9,24,3,2,10,1,51.0,2,Michigan,269.26,267.61,108.32,100.56,704.84,668.33,0.15,0.2,284.29,321.5,28.25,39.45,41.2,55.31,305.39,270.59,21.38,36.36,15.8,19.4,130.42,111.64,12.36,17.9,355.31,378.69,10.27,9.12
1,3,47,9,85,0.447,40,7,7,38,3,1,12,0,61.0,1,Cincinnati,269.26,279.06,108.32,129.25,704.84,825.56,0.15,0.09,284.29,299.64,28.25,28.17,41.2,49.79,305.39,380.73,21.38,30.36,15.8,16.64,130.42,131.8,12.36,12.45,355.31,376.33,10.27,16.0
1,3,43,22,111,0.189,38,3,6,36,1,1,20,2,57.0,0,Milwaukee,269.26,283.38,108.32,117.06,704.84,752.19,0.15,0.15,284.29,330.23,28.25,42.0,41.2,50.4,305.39,322.93,21.38,38.4,15.8,15.0,130.42,99.5,12.36,12.64,355.31,378.27,10.27,9.29
1,5,64,20,150,0.293,63,1,9,58,5,1,20,1,76.0,2,North Carolina,269.26,215.61,108.32,93.83,704.84,598.0,0.15,0.24,284.29,228.69,28.25,24.57,41.2,32.88,305.39,259.06,21.38,24.33,15.8,8.11,130.42,132.0,12.36,12.33,355.31,295.53,10.27,9.36
1,5,62,29,179,0.184,62,2,6,94,4,1,35,4,82.5,1,Notre Dame,269.26,239.21,108.32,102.11,704.84,769.37,0.15,0.04,284.29,267.31,28.25,43.55,41.2,54.08,305.39,429.56,21.38,35.0,15.8,12.88,130.42,134.67,12.36,18.3,355.31,370.94,10.27,10.0
1,4,69,25,160,0.275,68,3,9,57,0,0,12,0,78.0,0,Georgia Tech,269.26,260.71,108.32,103.24,704.84,691.53,0.15,0.35,284.29,323.54,28.25,33.73,41.2,39.91,305.39,339.64,21.38,37.5,15.8,12.73,130.42,82.69,12.36,13.09,355.31,342.53,10.27,11.57
1,3,42,18,102,0.235,40,2,1,46,6,2,25,0,58.5,1,Clemson,269.26,194.47,108.32,102.0,704.84,535.47,0.15,0.21,284.29,228.13,28.25,34.27,41.2,47.62,305.39,217.18,21.38,26.67,15.8,16.2,130.42,87.25,12.36,13.33,355.31,279.85,10.27,14.67
1,3,42,13,85,0.341,39,4,5,29,5,1,20,2,57.0,1,Wake Forest,269.26,224.42,108.32,111.42,704.84,623.16,0.15,0.11,284.29,283.43,28.25,27.36,41.2,55.67,305.39,255.83,21.38,29.0,15.8,21.3,130.42,90.07,12.36,17.0,355.31,305.03,10.27,14.25
1,3,48,21,124,0.218,47,1,4,59,0,2,14,2,58.0,1,Duke,269.26,306.12,108.32,124.56,704.84,844.38,0.15,0.22,284.29,310.13,28.25,26.33,41.2,49.33,305.39,375.87,21.38,28.6,15.8,17.17,130.42,120.67,12.36,14.25,355.31,402.73,10.27,13.75
1,3,42,8,94,0.362,40,4,4,42,2,1,18,1,56.0,0,Virginia,269.26,269.25,108.32,115.31,704.84,731.44,0.15,0.18,284.29,271.47,28.25,32.33,41.2,51.31,305.39,313.4,21.38,33.15,15.8,11.45,130.42,88.0,12.36,11.38,355.31,356.67,10.27,10.67
1,4,62,17,136,0.331,59,0,3,49,2,4,20,3,76.0,0,Virginia Tech,269.26,229.84,108.32,100.11,704.84,601.21,0.15,0.06,284.29,240.18,28.25,32.17,41.2,40.19,305.39,253.83,21.38,28.4,15.8,15.5,130.42,82.08,12.36,9.25,355.31,300.58,10.27,9.22
0,4,41,22,128,0.148,40,5,5,52,7,1,16,1,55.0,1,North Carolina,269.26,215.61,108.32,93.83,704.84,598.0,0.15,0.24,284.29,228.69,28.25,24.57,41.2,32.88,305.39,259.06,21.38,24.33,15.8,8.11,130.42,132.0,12.36,12.33,355.31,295.53,10.27,9.36
1,4,49,20,118,0.246,45,5,6,37,7,2,16,2,64.0,1,Pittsburgh,269.26,277.41,108.32,110.24,704.84,680.82,0.15,0.06,284.29,339.46,28.25,39.82,41.2,52.54,305.39,291.27,21.38,46.88,15.8,13.7,130.42,119.25,12.36,22.0,355.31,400.43,10.27,10.33
1,5,80/,31,191,0.257,78/,5,9,62,1,4,10,1,94.0/,1,Florida St.,269.26,279.62,108.32,104.75,704.84,763.31,0.15,0.13,284.29,301.07,28.25,26.7,41.2,40.27,305.39,376.57,21.38,29.4,15.8,13.2,130.42,120.18,12.36,17.1,355.31,395.29,10.27,11.62
1,3,58,16,119,0.353,55,6,11,53,2,1,8,1,69.0,0,Syracuse,269.26,311.56,108.32,130.62,704.84,843.69,0.15,0.09,284.29,361.69,28.25,42.82,41.2,63.42,305.39,379.87,21.38,36.92,15.8,19.27,130.42,119.58,12.36,22.23,355.31,456.11,10.27,9.12
1,3,56,14,112,0.375,50,3,4,54,2,0,8,0,63.0,0,Boston College,269.26,205.65,108.32,90.7,704.84,580.6,0.15,0.14,284.29,257.4,28.25,25.8,41.2,35.71,305.39,260.17,21.38,31.0,15.8,12.36,130.42,88.31,12.36,9.17,355.31,306.47,10.27,10.64
1,4,60,24,140,0.257,56,1,7,52,4,2,12,1,69.0,0,Clemson,269.26,194.47,108.32,102.0,704.84,535.47,0.15,0.21,284.29,228.13,28.25,34.27,41.2,47.62,305.39,217.18,21.38,26.67,15.8,16.2,130.42,87.25,12.36,13.33,355.31,279.85,10.27,14.67
1,3,52,13,121,0.322,48,3,1,45,1,0,12,1,61.0,3,Georgia Tech,269.26,260.71,108.32,103.24,704.84,691.53,0.15,0.35,284.29,323.54,28.25,33.73,41.2,39.91,305.39,339.64,21.38,37.5,15.8,12.73,130.42,82.69,12.36,13.09,355.31,342.53,10.27,11.57
0,3,37,24,118,0.110,35,2,6,45,3,1,4,0,42.0,1,Louisville,269.26,244.56,108.32,102.94,704.84,667.5,0.15,0.2,284.29,374.64,28.25,25.47,41.2,47.75,305.39,338.53,21.38,33.8,15.8,15.11,130.42,119.3,12.36,16.0,355.31,344.78,10.27,18.75
