Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
0,3,39,19,105,0.190,33,2,9,41,4,2,2,0,44.0,0,San Francisco,264.62,216.82,123.31,97.35,742.19,632.76,0.13,0.1,283.36,262.85,34.17,33.83,45.36,47.0,318.73,271.69,31.5,38.0,16.4,17.4,97.08,83.3,19.18,13.2,359.37,312.17,3.44,5.0
1,4,65,22,145,0.297,61,5,9,57,2,3,16,1,81.0,0,Utah Valley,264.62,268.12,123.31,106.53,742.19,742.71,0.13,0.16,283.36,281.2,34.17,29.46,45.36,44.08,318.73,345.0,31.5,35.33,16.4,12.1,97.08,125.69,19.18,15.83,359.37,367.44,3.44,14.86
1,4,56,26,143,0.210,52,6,13,55,5,1,10,2,68.0,0,San Francisco,264.62,216.82,123.31,97.35,742.19,632.76,0.13,0.1,283.36,262.85,34.17,33.83,45.36,47.0,318.73,271.69,31.5,38.0,16.4,17.4,97.08,83.3,19.18,13.2,359.37,312.17,3.44,5.0
0,4,53,29,163,0.147,49,6,7,65,0,0,4,2,61.0,0,Arizona St.,264.62,274.71,123.31,110.65,742.19,745.41,0.13,0.32,283.36,316.71,34.17,25.08,45.36,40.88,318.73,340.88,31.5,26.38,16.4,30.5,97.08,71.5,19.18,12.7,359.37,380.33,3.44,12.83
0,4,54,24,159,0.189,50,10,3,66,8,2,12,6,72.0,0,Portland St.,264.62,226.26,123.31,85.0,742.19,626.63,0.13,0.16,283.36,255.75,34.17,27.73,45.36,32.57,318.73,323.69,31.5,28.79,16.4,14.9,97.08,109.6,19.18,14.33,359.37,318.35,3.44,17.0
0,3,33,16,98,0.173,30,2,6,33,5,3,10,3,43.0,0,Gonzaga,264.62,252.47,123.31,110.71,742.19,700.71,0.13,0.19,283.36,271.53,34.17,28.71,45.36,43.38,318.73,309.38,31.5,32.14,16.4,13.1,97.08,87.23,19.18,13.3,359.37,337.0,3.44,16.43
0,4,32,27,151,0.033,30,4,7,58,6,2,16,0,46.0,1,Baylor,264.62,224.75,123.31,88.6,742.19,594.55,0.13,0.23,283.36,324.85,34.17,32.18,45.36,47.29,318.73,359.14,31.5,32.4,16.4,14.0,97.08,96.15,19.18,12.91,359.37,400.0,3.44,15.14
0,3,30,20,101,0.099,28,3,6,44,3,0,10,2,38.0,0,BYU,264.62,245.11,123.31,94.53,742.19,634.53,0.13,0.16,283.36,312.57,34.17,33.17,45.36,39.75,318.73,279.0,31.5,32.0,16.4,12.5,97.08,116.21,19.18,15.08,359.37,352.56,3.44,8.17
0,3,30,15,113,0.133,26,2,6,46,4,1,9,3,37.5,0,Hawaii,264.62,201.4,123.31,75.8,742.19,558.7,0.13,0.17,283.36,249.73,34.17,29.64,45.36,52.23,318.73,250.89,31.5,23.73,16.4,13.73,97.08,92.67,19.18,12.73,359.37,286.11,3.44,6.78
0,4,55,27,156,0.179,53,7,8,72,5,1,18,5,72.0,1,Sacramento St.,264.62,368.12,123.31,135.38,742.19,1066.56,0.13,0.13,283.36,395.07,34.17,50.73,45.36,57.92,318.73,548.79,31.5,47.73,16.4,23.33,97.08,140.27,19.18,20.7,359.37,464.34,3.44,10.12
