Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE
194.79,268.5,86.11,123.56,564.79,760.5,-0.0,0.2,248.57,270.73,35.07,28.36,41.31,53.64,273.76,334.93,33.71,31.92,12.25,14.5,47.62,79.25,8.14,9.92,262.22,354.23,11.67,8.2,0,4,49,22,164,0.165,48,2,15,69,6,0,4,2,53.0,1
194.79,183.25,86.11,86.25,564.79,570.55,-0.0,0.14,248.57,197.24,35.07,30.71,41.31,41.33,273.76,285.44,33.71,29.53,12.25,11.67,47.62,62.77,8.14,7.27,262.22,256.0,11.67,8.9,1,3,37,18,122,0.156,36,9,10,64,6,0,8,1,50.0,2
194.79,368.12,86.11,135.38,564.79,1066.56,-0.0,0.13,248.57,395.07,35.07,50.73,41.31,57.92,273.76,548.79,33.71,47.73,12.25,23.33,47.62,140.27,8.14,20.7,262.22,464.34,11.67,10.12,0,4,40,23,136,0.125,37,3,10,52,8,3,8,3,50.0,0
194.79,285.18,86.11,115.94,564.79,776.06,-0.0,0.1,248.57,352.38,35.07,24.46,41.31,43.64,273.76,373.93,33.71,33.9,12.25,13.89,47.62,103.83,8.14,13.64,262.22,394.27,11.67,7.67,0,4,52,24,146,0.192,48,4,3,48,4,1,0,1,57.0,0
194.79,267.61,86.11,100.56,564.79,668.33,-0.0,0.2,248.57,321.5,35.07,39.45,41.31,55.31,273.76,270.59,33.71,36.36,12.25,19.4,47.62,111.64,8.14,17.9,262.22,378.69,11.67,9.12,0,3,29,15,94,0.149,28,3,3,36,5,0,4,2,34.0,2
194.79,314.27,86.11,121.13,564.79,867.2,-0.0,0.19,248.57,363.58,35.07,34.58,41.31,50.57,273.76,400.29,33.71,33.15,12.25,15.27,47.62,107.42,8.14,13.82,262.22,424.39,11.67,9.38,0,4,38,25,135,0.096,37,10,14,54,9,1,4,1,51.0,1
194.79,275.12,86.11,126.12,564.79,809.41,-0.0,0.14,248.57,336.62,35.07,42.64,41.31,44.71,273.76,365.69,33.71,33.85,12.25,12.33,47.62,117.73,8.14,16.82,262.22,369.03,11.67,23.12,1,3,41,18,109,0.211,41,7,8,41,3,5,2,1,54.0,4
194.79,265.06,86.11,116.06,564.79,732.17,-0.0,0.22,248.57,293.33,35.07,31.58,41.31,58.17,273.76,337.81,33.71,45.56,12.25,15.5,47.62,133.42,8.14,17.62,262.22,381.59,11.67,10.44,0,3,26,23,97,0.031,23,2,6,39,7,0,2,0,29.0,1
194.79,264.31,86.11,126.0,564.79,750.06,-0.0,0.18,248.57,269.0,35.07,32.62,41.31,45.62,273.76,352.6,33.71,30.92,12.25,11.9,47.62,83.31,8.14,13.92,262.22,354.23,11.67,15.4,0,4,38,18,168,0.119,36,9,11,77,8,0,24,4,59.0,0
194.79,226.0,86.11,105.58,564.79,654.95,-0.0,0.16,248.57,307.15,35.07,33.85,41.31,45.93,273.76,341.19,33.71,32.15,12.25,12.2,47.62,114.73,8.14,12.82,262.22,304.83,11.67,16.62,0,5,48,25,164,0.140,48,11,9,64,6,2,12,1,67.0,2
194.79,182.5,86.11,89.94,564.79,525.72,-0.0,0.08,248.57,188.81,35.07,37.57,41.31,50.0,273.76,225.59,33.71,39.71,12.25,7.3,47.62,52.07,8.14,9.09,262.22,251.44,11.67,13.56,1,3,49,20,115,0.252,47,5,10,40,5,0,6,1,57.0,0
