Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp,Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE
1,5,49,22,137,0.197,47,3,9,59,9,5,26,0,70.0,3,Troy,266.56,309.4,119.06,148.27,765.81,828.93,0.12,0.02,251.19,305.79,29.29,47.3,50.79,78.83,350.13,329.93,31.0,40.45,19.89,20.5,120.6,103.45,17.11,7.73,363.8,420.57,15.27,16.11
1,5,57,20,151,0.245,52,4,11,65,4,5,18,4,75.0,5,Mercer,266.56,229.68,119.06,90.89,765.81,646.74,0.12,0.15,251.19,291.64,29.29,34.14,50.79,49.25,350.13,287.28,31.0,45.45,19.89,16.62,120.6,77.25,17.11,10.5,363.8,319.91,15.27,17.5
0,3,31,22,109,0.083,30,6,6,40,4,1,8,0,42.0,0,South Carolina,266.56,240.44,119.06,97.17,765.81,633.83,0.12,0.18,251.19,269.8,29.29,37.42,50.79,54.07,350.13,308.0,31.0,34.14,19.89,24.88,120.6,84.25,17.11,16.2,363.8,342.59,15.27,21.5
1,3,49,9,92,0.435,47,3,12,46,1,2,14,0,61.0,1,Savannah St.,266.56,161.61,119.06,86.72,765.81,461.89,0.12,0.02,251.19,191.93,29.29,36.75,50.79,42.43,350.13,192.88,31.0,37.29,19.89,11.36,120.6,59.45,17.11,9.83,363.8,237.62,15.27,11.0
0,3,34,19,106,0.142,33,3,5,45,4,1,8,3,42.0,4,Ga. Southern,266.56,181.52,119.06,81.05,765.81,504.86,0.12,0.11,251.19,256.14,29.29,34.25,50.79,45.57,350.13,228.89,31.0,39.27,19.89,16.8,120.6,98.0,17.11,12.27,363.8,273.89,15.27,17.5
1,4,52,27,163,0.153,50,5,7,77,5,2,16,1,67.0,2,Bethune-Cookman,266.56,205.83,119.06,88.89,765.81,594.22,0.12,0.16,251.19,219.31,29.29,21.92,50.79,34.77,350.13,297.5,31.0,28.36,19.89,17.7,120.6,55.31,17.11,11.69,363.8,271.15,15.27,11.18
0,3,28,21,110,0.064,27,4,7,42,3,0,12,2,38.0,7,Charlotte,266.56,244.17,119.06,97.44,765.81,693.83,0.12,0.13,251.19,314.69,29.29,30.17,50.79,41.43,350.13,340.31,31.0,34.0,19.89,16.9,120.6,124.42,17.11,15.08,363.8,354.53,15.27,21.11
0,4,41,23,126,0.143,39,4,4,56,8,1,14,2,53.0,0,Kansas St.,266.56,247.17,119.06,97.5,765.81,686.83,0.12,0.11,251.19,277.07,29.29,26.86,50.79,47.0,350.13,328.88,31.0,26.23,19.89,9.9,120.6,96.46,17.11,16.33,363.8,370.07,15.27,13.56
0,3,34,22,115,0.104,32,2,8,44,3,2,12,0,44.0,0,Georgia Tech,266.56,260.71,119.06,103.24,765.81,691.53,0.12,0.35,251.19,323.54,29.29,33.73,50.79,39.91,350.13,339.64,31.0,37.5,19.89,12.73,120.6,82.69,17.11,13.09,363.8,342.53,15.27,11.57
1,4,41,30,151,0.073,40,10,11,61,5,3,16,1,62.0,1,Xavier,266.56,245.0,119.06,103.95,765.81,707.79,0.12,0.14,251.19,242.83,29.29,31.67,50.79,44.0,350.13,323.61,31.0,30.5,19.89,19.0,120.6,79.14,17.11,12.46,363.8,341.06,15.27,8.42
0,4,45,24,144,0.146,45,5,6,47,3,0,6,1,53.0,3,Alabama St.,266.56,298.18,119.06,133.82,765.81,822.12,0.12,0.21,251.19,310.2,29.29,50.08,50.79,60.5,350.13,384.87,31.0,38.25,19.89,17.82,120.6,111.09,17.11,11.22,363.8,431.8,15.27,17.09
0,3,44,16,116,0.241,42,5,9,49,6,0,12,2,55.0,2,Tulane,266.56,284.82,119.06,123.82,765.81,808.71,0.12,0.04,251.19,291.25,29.29,35.43,50.79,47.47,350.13,393.93,31.0,47.0,19.89,18.22,120.6,120.5,17.11,19.3,363.8,406.97,15.27,13.36
1,4,67,25,171,0.246,67,4,5,88,2,6,8,2,81.0,7,Northwestern St.,266.56,239.0,119.06,110.17,765.81,720.89,0.12,0.16,251.19,285.43,29.29,40.92,50.79,68.36,350.13,388.53,31.0,47.3,19.89,16.33,120.6,69.8,17.11,13.11,363.8,305.81,15.27,20.22
0,5,69,25,156,0.282,64,1,12,62,9,3,18,2,82.0,0,Florida A&M,266.56,238.73,119.06,109.4,765.81,694.2,0.12,0.15,251.19,252.54,29.29,30.92,50.79,44.83,350.13,346.77,31.0,33.27,19.89,17.6,120.6,70.83,17.11,12.42,363.8,352.62,15.27,14.0
0,4,58,25,170,0.194,56,2,4,71,3,3,24,4,75.0,4,Jacksonville,266.56,248.88,119.06,108.24,765.81,720.88,0.12,0.26,251.19,303.85,29.29,30.58,50.79,40.85,350.13,340.62,31.0,36.36,19.89,21.1,120.6,80.27,17.11,16.7,363.8,328.16,15.27,12.5
1,3,44,13,109,0.284,42,5,4,60,3,1,8,0,54.0,0,Florida A&M,266.56,238.73,119.06,109.4,765.81,694.2,0.12,0.15,251.19,252.54,29.29,30.92,50.79,44.83,350.13,346.77,31.0,33.27,19.89,17.6,120.6,70.83,17.11,12.42,363.8,352.62,15.27,14.0
0,4,45,24,120,0.175,43,5,16,41,8,2,6,3,55.0,2,NJIT,266.56,268.53,119.06,125.07,765.81,775.87,0.12,0.14,251.19,267.21,29.29,45.55,50.79,72.09,350.13,344.57,31.0,39.5,19.89,11.67,120.6,88.92,17.11,16.09,363.8,369.11,15.27,14.8
0,3,39,21,115,0.157,35,6,5,48,5,1,10,1,51.0,0,USC Upstate,266.56,255.56,119.06,110.31,765.81,784.94,0.12,0.13,251.19,290.85,29.29,29.83,50.79,39.08,350.13,369.67,31.0,34.92,19.89,13.0,120.6,65.62,17.11,13.45,363.8,358.32,15.27,7.88
0,3,32,9,100,0.230,30,2,7,45,9,1,10,1,40.0,1,Lipscomb,266.56,232.0,119.06,102.67,765.81,610.33,0.12,0.16,251.19,305.08,29.29,28.67,50.79,44.93,350.13,255.35,31.0,29.3,19.89,14.88,120.6,98.0,17.11,18.82,363.8,348.47,15.27,10.5
0,4,42,18,135,0.178,39,3,8,66,9,2,10,1,52.0,5,Kennesaw St.,266.56,181.95,119.06,79.74,765.81,503.63,0.12,0.27,251.19,213.73,29.29,24.18,50.79,34.13,350.13,237.24,31.0,24.3,19.89,11.73,120.6,71.92,17.11,13.73,363.8,267.72,15.27,7.11
